pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Grimmsnarl,20,move,1,Spirit Break,79.4%,,,,,,,,
Grimmsnarl,20,move,2,Parting Shot,77.7%,,,,,,,,
Grimmsnarl,20,move,3,Reflect,74.7%,,,,,,,,
Grimmsnarl,20,move,4,Light Screen,70.1%,,,,,,,,
Grimmsnarl,20,move,5,Taunt,29.2%,,,,,,,,
Grimmsnarl,20,move,6,Fake Out,25.6%,,,,,,,,
Grimmsnarl,20,move,7,Foul Play,15.4%,,,,,,,,
Grimmsnarl,20,move,8,Sucker Punch,14.2%,,,,,,,,
Grimmsnarl,20,move,9,Play Rough,7.1%,,,,,,,,
Grimmsnarl,20,move,10,Bulk Up,0.6%,,,,,,,,
Grimmsnarl,20,held_item,1,Light Clay,69.8%,,,,,,,,
Grimmsnarl,20,held_item,2,Leftovers,16.9%,,,,,,,,
Grimmsnarl,20,held_item,3,Expert Belt,5.8%,,,,,,,,
Grimmsnarl,20,held_item,4,Sitrus Berry,2.4%,,,,,,,,
Grimmsnarl,20,held_item,5,Black Glasses,1.3%,,,,,,,,
Grimmsnarl,20,held_item,6,Life Orb,0.9%,,,,,,,,
Grimmsnarl,20,held_item,7,Focus Sash,0.5%,,,,,,,,
Grimmsnarl,20,held_item,8,Muscle Band,0.3%,,,,,,,,
Grimmsnarl,20,held_item,9,Lum Berry,0.3%,,,,,,,,
Grimmsnarl,20,held_item,10,Iron Ball,0.3%,,,,,,,,
Grimmsnarl,20,teammate,1,Garchomp,,,,,,,,,
Grimmsnarl,20,teammate,2,Dragalge,,,,,,,,,
Grimmsnarl,20,teammate,3,Corviknight,,,,,,,,,
Grimmsnarl,20,teammate,4,Archaludon,,,,,,,,,
Grimmsnarl,20,teammate,5,Staraptor,,,,,,,,,
Grimmsnarl,20,teammate,6,Mimikyu,,,,,,,,,
Grimmsnarl,20,teammate,7,Metagross,,,,,,,,,
Grimmsnarl,20,teammate,8,Meowscarada,,,,,,,,,
Grimmsnarl,20,teammate,9,Gholdengo,,,,,,,,,
Grimmsnarl,20,teammate,10,Raichu,,,,,,,,,
Grimmsnarl,20,stat_alignment,1,Impish,59.1%,Defense,Sp. Atk,,,,,,
Grimmsnarl,20,stat_alignment,2,Adamant,17.8%,Attack,Sp. Atk,,,,,,
Grimmsnarl,20,stat_alignment,3,Careful,14.5%,Sp. Def,Sp. Atk,,,,,,
Grimmsnarl,20,stat_alignment,4,Bold,2.2%,Defense,Attack,,,,,,
Grimmsnarl,20,stat_alignment,5,Calm,1.9%,Sp. Def,Attack,,,,,,
Grimmsnarl,20,stat_alignment,6,Relaxed,1.2%,Defense,Speed,,,,,,
Grimmsnarl,20,stat_alignment,7,Brave,0.8%,Attack,Speed,,,,,,
Grimmsnarl,20,stat_alignment,8,Jolly,0.7%,Speed,Sp. Atk,,,,,,
Grimmsnarl,20,stat_alignment,9,Sassy,0.7%,Sp. Def,Speed,,,,,,
Grimmsnarl,20,stat_alignment,10,Lonely,0.3%,Attack,Defense,,,,,,
Grimmsnarl,20,stat_points,1,,25.2%,,,32,0,32,0,2,0
Grimmsnarl,20,stat_points,2,,4.8%,,,31,0,25,0,10,0
Grimmsnarl,20,stat_points,3,,4.0%,,,21,32,12,0,0,1
Grimmsnarl,20,stat_points,4,,3.6%,,,31,0,32,0,3,0
Grimmsnarl,20,stat_points,5,,2.8%,,,31,0,15,0,20,0
Grimmsnarl,20,stat_points,6,,2.7%,,,32,32,2,0,0,0
Grimmsnarl,20,stat_points,7,,2.3%,,,32,0,19,0,15,0
Grimmsnarl,20,stat_points,8,,2.3%,,,32,0,25,0,9,0
Grimmsnarl,20,stat_points,9,,2.2%,,,32,0,2,0,32,0
Grimmsnarl,20,stat_points,10,,2.0%,,,32,0,32,0,0,2
Grimmsnarl,20,stat_points,11,,1.9%,,,31,0,15,0,17,3
Grimmsnarl,20,stat_points,12,,1.6%,,,23,0,28,0,15,0
Grimmsnarl,20,ability,1,Prankster,99.2%,,,,,,,,
Grimmsnarl,20,ability,2,Frisk,0.4%,,,,,,,,
Grimmsnarl,20,ability,3,Pickpocket,0.3%,,,,,,,,
