pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hatterene,81,move,1,Trick Room,78.5%,,,,,,,,
Hatterene,81,move,2,Mystical Fire,54.1%,,,,,,,,
Hatterene,81,move,3,Psychic,49.4%,,,,,,,,
Hatterene,81,move,4,Misty Explosion,49.1%,,,,,,,,
Hatterene,81,move,5,Dazzling Gleam,30.1%,,,,,,,,
Hatterene,81,move,6,Draining Kiss,25.0%,,,,,,,,
Hatterene,81,move,7,Healing Wish,18.6%,,,,,,,,
Hatterene,81,move,8,Calm Mind,16.8%,,,,,,,,
Hatterene,81,move,9,Psychic Noise,13.9%,,,,,,,,
Hatterene,81,move,10,Giga Drain,11.7%,,,,,,,,
Hatterene,81,held_item,1,Focus Sash,42.3%,,,,,,,,
Hatterene,81,held_item,2,Sitrus Berry,21.4%,,,,,,,,
Hatterene,81,held_item,3,Leftovers,12.4%,,,,,,,,
Hatterene,81,held_item,4,Light Clay,3.8%,,,,,,,,
Hatterene,81,held_item,5,Life Orb,3.2%,,,,,,,,
Hatterene,81,held_item,6,Babiri Berry,2.9%,,,,,,,,
Hatterene,81,held_item,7,Fairy Feather,2.4%,,,,,,,,
Hatterene,81,held_item,8,Big Root,1.9%,,,,,,,,
Hatterene,81,held_item,9,Quick Claw,1.6%,,,,,,,,
Hatterene,81,held_item,10,Kebia Berry,1.2%,,,,,,,,
Hatterene,81,teammate,1,Mawile,,,,,,,,,
Hatterene,81,teammate,2,Garchomp,,,,,,,,,
Hatterene,81,teammate,3,Mimikyu,,,,,,,,,
Hatterene,81,teammate,4,Charizard,,,,,,,,,
Hatterene,81,teammate,5,Meowscarada,,,,,,,,,
Hatterene,81,teammate,6,Archaludon,,,,,,,,,
Hatterene,81,teammate,7,Basculegion Male,,,,,,,,,
Hatterene,81,teammate,8,Raichu,,,,,,,,,
Hatterene,81,teammate,9,Kingambit,,,,,,,,,
Hatterene,81,teammate,10,Staraptor,,,,,,,,,
Hatterene,81,stat_alignment,1,Quiet,41.9%,Sp. Atk,Speed,,,,,,
Hatterene,81,stat_alignment,2,Bold,20.6%,Defense,Attack,,,,,,
Hatterene,81,stat_alignment,3,Modest,18.0%,Sp. Atk,Attack,,,,,,
Hatterene,81,stat_alignment,4,Relaxed,9.4%,Defense,Speed,,,,,,
Hatterene,81,stat_alignment,5,Calm,5.9%,Sp. Def,Attack,,,,,,
Hatterene,81,stat_alignment,6,Sassy,3.8%,Sp. Def,Speed,,,,,,
Hatterene,81,stat_alignment,7,Mild,0.3%,Sp. Atk,Defense,,,,,,
Hatterene,81,stat_alignment,8,Timid,0.2%,Speed,Attack,,,,,,
Hatterene,81,stat_alignment,9,Gentle,0.1%,Sp. Def,Defense,,,,,,
Hatterene,81,stat_alignment,10,Serious,0.0%,,,,,,,,
Hatterene,81,stat_points,1,,26.0%,,,32,0,2,32,0,0
Hatterene,81,stat_points,2,,10.4%,,,32,0,32,0,2,0
Hatterene,81,stat_points,3,,10.1%,,,32,0,0,32,2,0
Hatterene,81,stat_points,4,,3.9%,,,32,0,32,2,0,0
Hatterene,81,stat_points,5,,2.2%,,,32,0,2,0,32,0
Hatterene,81,stat_points,6,,2.1%,,,2,0,32,32,0,0
Hatterene,81,stat_points,7,,2.0%,,,31,0,3,32,0,0
Hatterene,81,stat_points,8,,1.9%,,,0,0,2,32,32,0
Hatterene,81,stat_points,9,,1.9%,,,0,0,32,32,2,0
Hatterene,81,stat_points,10,,1.8%,,,32,0,0,32,0,0
Hatterene,81,stat_points,11,,1.4%,,,31,0,32,0,3,0
Hatterene,81,stat_points,12,,1.3%,,,2,0,0,32,32,0
Hatterene,81,ability,1,Magic Bounce,98.5%,,,,,,,,
Hatterene,81,ability,2,Healer,0.8%,,,,,,,,
Hatterene,81,ability,3,Anticipation,0.8%,,,,,,,,
