pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hawlucha,142,move,1,Brave Bird,53.2%,,,,,,,,
Hawlucha,142,move,2,High Jump Kick,50.6%,,,,,,,,
Hawlucha,142,move,3,Swords Dance,48.3%,,,,,,,,
Hawlucha,142,move,4,Stone Edge,35.8%,,,,,,,,
Hawlucha,142,move,5,Close Combat,30.8%,,,,,,,,
Hawlucha,142,move,6,Encore,23.7%,,,,,,,,
Hawlucha,142,move,7,Acrobatics,23.4%,,,,,,,,
Hawlucha,142,move,8,Bulk Up,11.0%,,,,,,,,
Hawlucha,142,move,9,Trailblaze,10.4%,,,,,,,,
Hawlucha,142,move,10,Dual Wingbeat,10.1%,,,,,,,,
Hawlucha,142,held_item,1,Hawluchanite,42.4%,,,,,,,,
Hawlucha,142,held_item,2,Sitrus Berry,17.0%,,,,,,,,
Hawlucha,142,held_item,3,Focus Sash,13.3%,,,,,,,,
Hawlucha,142,held_item,4,White Herb,12.2%,,,,,,,,
Hawlucha,142,held_item,5,Life Orb,3.5%,,,,,,,,
Hawlucha,142,held_item,6,Lum Berry,1.5%,,,,,,,,
Hawlucha,142,held_item,7,Choice Scarf,1.4%,,,,,,,,
Hawlucha,142,held_item,8,King's Rock,1.3%,,,,,,,,
Hawlucha,142,held_item,9,Leftovers,1.0%,,,,,,,,
Hawlucha,142,held_item,10,Expert Belt,0.7%,,,,,,,,
Hawlucha,142,teammate,1,Raichu,,,,,,,,,
Hawlucha,142,teammate,2,Garchomp,,,,,,,,,
Hawlucha,142,teammate,3,Meowscarada,,,,,,,,,
Hawlucha,142,teammate,4,Kingambit,,,,,,,,,
Hawlucha,142,teammate,5,Mimikyu,,,,,,,,,
Hawlucha,142,teammate,6,Archaludon,,,,,,,,,
Hawlucha,142,teammate,7,Dragonite,,,,,,,,,
Hawlucha,142,teammate,8,Metagross,,,,,,,,,
Hawlucha,142,teammate,9,Basculegion Male,,,,,,,,,
Hawlucha,142,teammate,10,Charizard,,,,,,,,,
Hawlucha,142,stat_alignment,1,Adamant,49.8%,Attack,Sp. Atk,,,,,,
Hawlucha,142,stat_alignment,2,Jolly,42.8%,Speed,Sp. Atk,,,,,,
Hawlucha,142,stat_alignment,3,Lonely,1.5%,Attack,Defense,,,,,,
Hawlucha,142,stat_alignment,4,Impish,1.2%,Defense,Sp. Atk,,,,,,
Hawlucha,142,stat_alignment,5,Naughty,1.1%,Attack,Sp. Def,,,,,,
Hawlucha,142,stat_alignment,6,Timid,1.1%,Speed,Attack,,,,,,
Hawlucha,142,stat_alignment,7,Hasty,0.8%,Speed,Defense,,,,,,
Hawlucha,142,stat_alignment,8,Naive,0.7%,Speed,Sp. Def,,,,,,
Hawlucha,142,stat_alignment,9,Careful,0.3%,Sp. Def,Sp. Atk,,,,,,
Hawlucha,142,stat_alignment,10,Brave,0.2%,Attack,Speed,,,,,,
Hawlucha,142,stat_points,1,,53.6%,,,2,32,0,0,0,32
Hawlucha,142,stat_points,2,,5.6%,,,0,32,2,0,0,32
Hawlucha,142,stat_points,3,,3.6%,,,0,32,0,0,2,32
Hawlucha,142,stat_points,4,,3.4%,,,0,32,0,0,0,32
Hawlucha,142,stat_points,5,,2.2%,,,27,18,8,0,0,13
Hawlucha,142,stat_points,6,,1.8%,,,32,0,2,0,0,32
Hawlucha,142,stat_points,7,,1.7%,,,32,32,0,0,0,2
Hawlucha,142,stat_points,8,,1.5%,,,27,32,0,0,0,7
Hawlucha,142,stat_points,9,,1.2%,,,32,2,0,0,0,32
Hawlucha,142,stat_points,10,,1.1%,,,32,32,2,0,0,0
Hawlucha,142,stat_points,11,,1.1%,,,32,0,0,0,0,32
Hawlucha,142,stat_points,12,,1.0%,,,32,0,0,0,2,32
Hawlucha,142,ability,1,Unburden,48.1%,,,,,,,,
Hawlucha,142,ability,2,Mold Breaker,42.4%,,,,,,,,
Hawlucha,142,ability,3,Limber,9.5%,,,,,,,,
