pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Heracross,108,move,1,Close Combat,88.1%,,,,,,,,
Heracross,108,move,2,Rock Blast,86.5%,,,,,,,,
Heracross,108,move,3,Bullet Seed,79.5%,,,,,,,,
Heracross,108,move,4,Pin Missile,51.7%,,,,,,,,
Heracross,108,move,5,Earthquake,45.8%,,,,,,,,
Heracross,108,move,6,Trailblaze,13.8%,,,,,,,,
Heracross,108,move,7,Megahorn,5.1%,,,,,,,,
Heracross,108,move,8,Swords Dance,4.5%,,,,,,,,
Heracross,108,move,9,Brick Break,3.9%,,,,,,,,
Heracross,108,move,10,Stone Edge,3.0%,,,,,,,,
Heracross,108,held_item,1,Heracronite,91.7%,,,,,,,,
Heracross,108,held_item,2,Choice Scarf,4.1%,,,,,,,,
Heracross,108,held_item,3,Focus Sash,1.6%,,,,,,,,
Heracross,108,held_item,4,Life Orb,0.7%,,,,,,,,
Heracross,108,held_item,5,Sitrus Berry,0.3%,,,,,,,,
Heracross,108,held_item,6,Quick Claw,0.2%,,,,,,,,
Heracross,108,held_item,7,White Herb,0.2%,,,,,,,,
Heracross,108,held_item,8,Expert Belt,0.2%,,,,,,,,
Heracross,108,held_item,9,Focus Band,0.1%,,,,,,,,
Heracross,108,held_item,10,Lum Berry,0.1%,,,,,,,,
Heracross,108,teammate,1,Garchomp,,,,,,,,,
Heracross,108,teammate,2,Mimikyu,,,,,,,,,
Heracross,108,teammate,3,Blaziken,,,,,,,,,
Heracross,108,teammate,4,Archaludon,,,,,,,,,
Heracross,108,teammate,5,Basculegion Male,,,,,,,,,
Heracross,108,teammate,6,Raichu,,,,,,,,,
Heracross,108,teammate,7,Grimmsnarl,,,,,,,,,
Heracross,108,teammate,8,Volcarona,,,,,,,,,
Heracross,108,teammate,9,Meowscarada,,,,,,,,,
Heracross,108,teammate,10,Charizard,,,,,,,,,
Heracross,108,stat_alignment,1,Adamant,64.3%,Attack,Sp. Atk,,,,,,
Heracross,108,stat_alignment,2,Jolly,24.3%,Speed,Sp. Atk,,,,,,
Heracross,108,stat_alignment,3,Brave,8.8%,Attack,Speed,,,,,,
Heracross,108,stat_alignment,4,Impish,1.2%,Defense,Sp. Atk,,,,,,
Heracross,108,stat_alignment,5,Careful,0.4%,Sp. Def,Sp. Atk,,,,,,
Heracross,108,stat_alignment,6,Lonely,0.3%,Attack,Defense,,,,,,
Heracross,108,stat_alignment,7,Naughty,0.2%,Attack,Sp. Def,,,,,,
Heracross,108,stat_alignment,8,Naive,0.1%,Speed,Sp. Def,,,,,,
Heracross,108,stat_alignment,9,Modest,0.1%,Sp. Atk,Attack,,,,,,
Heracross,108,stat_alignment,10,Gentle,0.1%,Sp. Def,Defense,,,,,,
Heracross,108,stat_points,1,,34.0%,,,2,32,0,0,0,32
Heracross,108,stat_points,2,,14.8%,,,32,32,2,0,0,0
Heracross,108,stat_points,3,,4.2%,,,32,32,0,0,0,2
Heracross,108,stat_points,4,,3.9%,,,0,32,2,0,0,32
Heracross,108,stat_points,5,,3.5%,,,32,32,0,0,2,0
Heracross,108,stat_points,6,,2.7%,,,0,32,0,0,2,32
Heracross,108,stat_points,7,,2.6%,,,32,32,1,0,1,0
Heracross,108,stat_points,8,,2.0%,,,0,32,0,0,0,32
Heracross,108,stat_points,9,,1.6%,,,20,32,0,0,0,14
Heracross,108,stat_points,10,,0.8%,,,2,32,32,0,0,0
Heracross,108,ability,1,Moxie,69.9%,,,,,,,,
Heracross,108,ability,2,Guts,27.3%,,,,,,,,
Heracross,108,ability,3,Swarm,2.7%,,,,,,,,
