pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hisuian Avalugg,196,move,1,Mountain Gale,64.2%,,,,,,,,
Hisuian Avalugg,196,move,2,Mirror Coat,59.0%,,,,,,,,
Hisuian Avalugg,196,move,3,Earthquake,48.6%,,,,,,,,
Hisuian Avalugg,196,move,4,Body Press,43.2%,,,,,,,,
Hisuian Avalugg,196,move,5,Rock Blast,31.2%,,,,,,,,
Hisuian Avalugg,196,move,6,Stone Edge,19.0%,,,,,,,,
Hisuian Avalugg,196,move,7,Icicle Spear,18.5%,,,,,,,,
Hisuian Avalugg,196,move,8,Stealth Rock,18.1%,,,,,,,,
Hisuian Avalugg,196,move,9,Recover,16.5%,,,,,,,,
Hisuian Avalugg,196,move,10,Rock Slide,11.0%,,,,,,,,
Hisuian Avalugg,196,held_item,1,Quick Claw,33.8%,,,,,,,,
Hisuian Avalugg,196,held_item,2,Leftovers,14.0%,,,,,,,,
Hisuian Avalugg,196,held_item,3,Sitrus Berry,13.4%,,,,,,,,
Hisuian Avalugg,196,held_item,4,Lum Berry,10.5%,,,,,,,,
Hisuian Avalugg,196,held_item,5,Zoom Lens,5.7%,,,,,,,,
Hisuian Avalugg,196,held_item,6,Wide Lens,5.3%,,,,,,,,
Hisuian Avalugg,196,held_item,7,Never-Melt Ice,2.6%,,,,,,,,
Hisuian Avalugg,196,held_item,8,Bright Powder,2.1%,,,,,,,,
Hisuian Avalugg,196,held_item,9,King's Rock,1.6%,,,,,,,,
Hisuian Avalugg,196,held_item,10,Expert Belt,1.6%,,,,,,,,
Hisuian Avalugg,196,teammate,1,Raichu,,,,,,,,,
Hisuian Avalugg,196,teammate,2,Garchomp,,,,,,,,,
Hisuian Avalugg,196,teammate,3,Mimikyu,,,,,,,,,
Hisuian Avalugg,196,teammate,4,Alolan Ninetales,,,,,,,,,
Hisuian Avalugg,196,teammate,5,Charizard,,,,,,,,,
Hisuian Avalugg,196,teammate,6,Froslass,,,,,,,,,
Hisuian Avalugg,196,teammate,7,Staraptor,,,,,,,,,
Hisuian Avalugg,196,teammate,8,Meowscarada,,,,,,,,,
Hisuian Avalugg,196,teammate,9,Dragonite,,,,,,,,,
Hisuian Avalugg,196,teammate,10,Mawile,,,,,,,,,
Hisuian Avalugg,196,stat_alignment,1,Adamant,16.8%,Attack,Sp. Atk,,,,,,
Hisuian Avalugg,196,stat_alignment,2,Impish,16.0%,Defense,Sp. Atk,,,,,,
Hisuian Avalugg,196,stat_alignment,3,Brave,15.7%,Attack,Speed,,,,,,
Hisuian Avalugg,196,stat_alignment,4,Relaxed,7.9%,Defense,Speed,,,,,,
Hisuian Avalugg,196,stat_alignment,5,Naughty,5.2%,Attack,Sp. Def,,,,,,
Hisuian Avalugg,196,stat_alignment,6,Jolly,2.2%,Speed,Sp. Atk,,,,,,
Hisuian Avalugg,196,stat_alignment,7,Lax,2.1%,Defense,Sp. Def,,,,,,
Hisuian Avalugg,196,stat_alignment,8,Careful,1.5%,Sp. Def,Sp. Atk,,,,,,
Hisuian Avalugg,196,stat_alignment,9,Sassy,0.9%,Sp. Def,Speed,,,,,,
Hisuian Avalugg,196,stat_alignment,10,Lonely,0.9%,Attack,Defense,,,,,,
Hisuian Avalugg,196,stat_points,1,,26.9%,,,32,32,2,0,0,0
Hisuian Avalugg,196,stat_points,2,,15.9%,,,2,32,32,0,0,0
Hisuian Avalugg,196,stat_points,3,,9.6%,,,32,2,32,0,0,0
Hisuian Avalugg,196,stat_points,4,,3.4%,,,1,32,1,0,0,32
Hisuian Avalugg,196,stat_points,5,,3.2%,,,32,0,32,0,2,0
Hisuian Avalugg,196,stat_points,6,,3.0%,,,32,0,32,0,0,0
Hisuian Avalugg,196,stat_points,7,,2.8%,,,32,32,0,0,2,0
Hisuian Avalugg,196,stat_points,8,,2.7%,,,2,32,0,0,0,32
Hisuian Avalugg,196,stat_points,9,,2.4%,,,0,32,2,0,0,32
Hisuian Avalugg,196,stat_points,10,,2.4%,,,24,32,0,0,0,10
Hisuian Avalugg,196,stat_points,11,,2.2%,,,0,32,32,0,2,0
Hisuian Avalugg,196,stat_points,12,,1.9%,,,0,32,32,0,0,0
Hisuian Avalugg,196,ability,1,Sturdy,90.7%,,,,,,,,
Hisuian Avalugg,196,ability,2,Ice Body,5.1%,,,,,,,,
Hisuian Avalugg,196,ability,3,Strong Jaw,4.2%,,,,,,,,
