pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hisuian Decidueye,130,move,1,Triple Arrows,99.5%,,,,,,,,
Hisuian Decidueye,130,move,2,Leaf Blade,90.2%,,,,,,,,
Hisuian Decidueye,130,move,3,Sucker Punch,62.8%,,,,,,,,
Hisuian Decidueye,130,move,4,U-turn,27.5%,,,,,,,,
Hisuian Decidueye,130,move,5,Rock Tomb,21.4%,,,,,,,,
Hisuian Decidueye,130,move,6,Shadow Sneak,15.7%,,,,,,,,
Hisuian Decidueye,130,move,7,Swords Dance,15.2%,,,,,,,,
Hisuian Decidueye,130,move,8,Brave Bird,12.3%,,,,,,,,
Hisuian Decidueye,130,move,9,Roost,7.7%,,,,,,,,
Hisuian Decidueye,130,move,10,Knock Off,6.1%,,,,,,,,
Hisuian Decidueye,130,held_item,1,Scope Lens,33.3%,,,,,,,,
Hisuian Decidueye,130,held_item,2,Focus Sash,24.0%,,,,,,,,
Hisuian Decidueye,130,held_item,3,Choice Scarf,14.6%,,,,,,,,
Hisuian Decidueye,130,held_item,4,Life Orb,5.9%,,,,,,,,
Hisuian Decidueye,130,held_item,5,Sitrus Berry,5.8%,,,,,,,,
Hisuian Decidueye,130,held_item,6,Quick Claw,3.9%,,,,,,,,
Hisuian Decidueye,130,held_item,7,Lum Berry,2.9%,,,,,,,,
Hisuian Decidueye,130,held_item,8,Leftovers,2.0%,,,,,,,,
Hisuian Decidueye,130,held_item,9,Expert Belt,1.5%,,,,,,,,
Hisuian Decidueye,130,held_item,10,Muscle Band,1.3%,,,,,,,,
Hisuian Decidueye,130,teammate,1,Garchomp,,,,,,,,,
Hisuian Decidueye,130,teammate,2,Raichu,,,,,,,,,
Hisuian Decidueye,130,teammate,3,Mimikyu,,,,,,,,,
Hisuian Decidueye,130,teammate,4,Metagross,,,,,,,,,
Hisuian Decidueye,130,teammate,5,Archaludon,,,,,,,,,
Hisuian Decidueye,130,teammate,6,Charizard,,,,,,,,,
Hisuian Decidueye,130,teammate,7,Staraptor,,,,,,,,,
Hisuian Decidueye,130,teammate,8,Blaziken,,,,,,,,,
Hisuian Decidueye,130,teammate,9,Skeledirge,,,,,,,,,
Hisuian Decidueye,130,teammate,10,Corviknight,,,,,,,,,
Hisuian Decidueye,130,stat_alignment,1,Adamant,65.2%,Attack,Sp. Atk,,,,,,
Hisuian Decidueye,130,stat_alignment,2,Jolly,22.6%,Speed,Sp. Atk,,,,,,
Hisuian Decidueye,130,stat_alignment,3,Brave,3.8%,Attack,Speed,,,,,,
Hisuian Decidueye,130,stat_alignment,4,Impish,2.9%,Defense,Sp. Atk,,,,,,
Hisuian Decidueye,130,stat_alignment,5,Careful,1.6%,Sp. Def,Sp. Atk,,,,,,
Hisuian Decidueye,130,stat_alignment,6,Naughty,1.0%,Attack,Sp. Def,,,,,,
Hisuian Decidueye,130,stat_alignment,7,Relaxed,0.8%,Defense,Speed,,,,,,
Hisuian Decidueye,130,stat_alignment,8,Lonely,0.7%,Attack,Defense,,,,,,
Hisuian Decidueye,130,stat_alignment,9,Naive,0.6%,Speed,Sp. Def,,,,,,
Hisuian Decidueye,130,stat_alignment,10,Gentle,0.2%,Sp. Def,Defense,,,,,,
Hisuian Decidueye,130,stat_points,1,,40.8%,,,2,32,0,0,0,32
Hisuian Decidueye,130,stat_points,2,,9.9%,,,32,32,2,0,0,0
Hisuian Decidueye,130,stat_points,3,,9.4%,,,0,32,2,0,0,32
Hisuian Decidueye,130,stat_points,4,,3.8%,,,32,32,0,0,0,2
Hisuian Decidueye,130,stat_points,5,,3.4%,,,32,32,0,0,2,0
Hisuian Decidueye,130,stat_points,6,,3.0%,,,0,32,0,0,2,32
Hisuian Decidueye,130,stat_points,7,,1.6%,,,0,32,0,0,0,32
Hisuian Decidueye,130,stat_points,8,,1.2%,,,2,32,32,0,0,0
Hisuian Decidueye,130,stat_points,9,,1.2%,,,28,18,12,0,0,8
Hisuian Decidueye,130,stat_points,10,,1.0%,,,0,32,2,0,32,0
Hisuian Decidueye,130,stat_points,11,,1.0%,,,0,32,32,0,2,0
Hisuian Decidueye,130,stat_points,12,,0.9%,,,32,2,32,0,0,0
Hisuian Decidueye,130,ability,1,Scrappy,97.1%,,,,,,,,
Hisuian Decidueye,130,ability,2,Overgrow,2.9%,,,,,,,,
