pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hisuian Goodra,86,move,1,Flash Cannon,60.3%,,,,,,,,
Hisuian Goodra,86,move,2,Draco Meteor,43.5%,,,,,,,,
Hisuian Goodra,86,move,3,Shelter,40.7%,,,,,,,,
Hisuian Goodra,86,move,4,Thunderbolt,39.2%,,,,,,,,
Hisuian Goodra,86,move,5,Body Press,36.3%,,,,,,,,
Hisuian Goodra,86,move,6,Flamethrower,25.8%,,,,,,,,
Hisuian Goodra,86,move,7,Ice Beam,24.9%,,,,,,,,
Hisuian Goodra,86,move,8,Acid Spray,16.9%,,,,,,,,
Hisuian Goodra,86,move,9,Dragon Pulse,12.2%,,,,,,,,
Hisuian Goodra,86,move,10,Fire Blast,10.4%,,,,,,,,
Hisuian Goodra,86,held_item,1,Leftovers,44.0%,,,,,,,,
Hisuian Goodra,86,held_item,2,Sitrus Berry,17.9%,,,,,,,,
Hisuian Goodra,86,held_item,3,Shuca Berry,6.0%,,,,,,,,
Hisuian Goodra,86,held_item,4,Chesto Berry,5.9%,,,,,,,,
Hisuian Goodra,86,held_item,5,White Herb,3.8%,,,,,,,,
Hisuian Goodra,86,held_item,6,Expert Belt,3.7%,,,,,,,,
Hisuian Goodra,86,held_item,7,Life Orb,3.6%,,,,,,,,
Hisuian Goodra,86,held_item,8,Chople Berry,2.8%,,,,,,,,
Hisuian Goodra,86,held_item,9,Dragon Fang,2.2%,,,,,,,,
Hisuian Goodra,86,held_item,10,Quick Claw,2.0%,,,,,,,,
Hisuian Goodra,86,teammate,1,Garchomp,,,,,,,,,
Hisuian Goodra,86,teammate,2,Raichu,,,,,,,,,
Hisuian Goodra,86,teammate,3,Meowscarada,,,,,,,,,
Hisuian Goodra,86,teammate,4,Staraptor,,,,,,,,,
Hisuian Goodra,86,teammate,5,Mimikyu,,,,,,,,,
Hisuian Goodra,86,teammate,6,Gyarados,,,,,,,,,
Hisuian Goodra,86,teammate,7,Basculegion Male,,,,,,,,,
Hisuian Goodra,86,teammate,8,Charizard,,,,,,,,,
Hisuian Goodra,86,teammate,9,Dragonite,,,,,,,,,
Hisuian Goodra,86,teammate,10,Swampert,,,,,,,,,
Hisuian Goodra,86,stat_alignment,1,Modest,35.1%,Sp. Atk,Attack,,,,,,
Hisuian Goodra,86,stat_alignment,2,Bold,22.6%,Defense,Attack,,,,,,
Hisuian Goodra,86,stat_alignment,3,Calm,17.4%,Sp. Def,Attack,,,,,,
Hisuian Goodra,86,stat_alignment,4,Sassy,6.0%,Sp. Def,Speed,,,,,,
Hisuian Goodra,86,stat_alignment,5,Relaxed,5.6%,Defense,Speed,,,,,,
Hisuian Goodra,86,stat_alignment,6,Quiet,4.2%,Sp. Atk,Speed,,,,,,
Hisuian Goodra,86,stat_alignment,7,Impish,3.2%,Defense,Sp. Atk,,,,,,
Hisuian Goodra,86,stat_alignment,8,Careful,1.7%,Sp. Def,Sp. Atk,,,,,,
Hisuian Goodra,86,stat_alignment,9,Timid,1.6%,Speed,Attack,,,,,,
Hisuian Goodra,86,stat_alignment,10,Adamant,1.3%,Attack,Sp. Atk,,,,,,
Hisuian Goodra,86,stat_points,1,,15.8%,,,32,0,32,0,2,0
Hisuian Goodra,86,stat_points,2,,8.3%,,,32,0,0,32,2,0
Hisuian Goodra,86,stat_points,3,,7.0%,,,32,0,2,32,0,0
Hisuian Goodra,86,stat_points,4,,6.4%,,,32,0,2,0,32,0
Hisuian Goodra,86,stat_points,5,,4.0%,,,32,0,32,2,0,0
Hisuian Goodra,86,stat_points,6,,3.0%,,,32,0,0,2,32,0
Hisuian Goodra,86,stat_points,7,,2.8%,,,32,0,0,32,0,2
Hisuian Goodra,86,stat_points,8,,2.1%,,,32,0,32,0,0,2
Hisuian Goodra,86,stat_points,9,,1.9%,,,2,0,0,32,32,0
Hisuian Goodra,86,stat_points,10,,1.8%,,,0,0,32,32,2,0
Hisuian Goodra,86,stat_points,11,,1.8%,,,2,0,32,32,0,0
Hisuian Goodra,86,stat_points,12,,1.7%,,,0,0,2,32,32,0
Hisuian Goodra,86,ability,1,Shell Armor,39.0%,,,,,,,,
Hisuian Goodra,86,ability,2,Gooey,33.8%,,,,,,,,
Hisuian Goodra,86,ability,3,Sap Sipper,27.2%,,,,,,,,
