pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hisuian Samurott,37,move,1,Ceaseless Edge,99.2%,,,,,,,,
Hisuian Samurott,37,move,2,Sacred Sword,86.2%,,,,,,,,
Hisuian Samurott,37,move,3,Razor Shell,72.3%,,,,,,,,
Hisuian Samurott,37,move,4,Sucker Punch,69.2%,,,,,,,,
Hisuian Samurott,37,move,5,Flip Turn,20.2%,,,,,,,,
Hisuian Samurott,37,move,6,Encore,13.7%,,,,,,,,
Hisuian Samurott,37,move,7,Aqua Cutter,9.4%,,,,,,,,
Hisuian Samurott,37,move,8,Aqua Jet,7.5%,,,,,,,,
Hisuian Samurott,37,move,9,Swords Dance,6.0%,,,,,,,,
Hisuian Samurott,37,move,10,Ice Beam,5.0%,,,,,,,,
Hisuian Samurott,37,held_item,1,Focus Sash,33.4%,,,,,,,,
Hisuian Samurott,37,held_item,2,Black Glasses,30.7%,,,,,,,,
Hisuian Samurott,37,held_item,3,Choice Scarf,19.2%,,,,,,,,
Hisuian Samurott,37,held_item,4,Sitrus Berry,7.1%,,,,,,,,
Hisuian Samurott,37,held_item,5,Life Orb,4.1%,,,,,,,,
Hisuian Samurott,37,held_item,6,Lum Berry,1.0%,,,,,,,,
Hisuian Samurott,37,held_item,7,Expert Belt,0.7%,,,,,,,,
Hisuian Samurott,37,held_item,8,Muscle Band,0.5%,,,,,,,,
Hisuian Samurott,37,held_item,9,Wide Lens,0.5%,,,,,,,,
Hisuian Samurott,37,held_item,10,Leftovers,0.5%,,,,,,,,
Hisuian Samurott,37,teammate,1,Garchomp,,,,,,,,,
Hisuian Samurott,37,teammate,2,Alolan Ninetales,,,,,,,,,
Hisuian Samurott,37,teammate,3,Corviknight,,,,,,,,,
Hisuian Samurott,37,teammate,4,Metagross,,,,,,,,,
Hisuian Samurott,37,teammate,5,Delphox,,,,,,,,,
Hisuian Samurott,37,teammate,6,Blaziken,,,,,,,,,
Hisuian Samurott,37,teammate,7,Raichu,,,,,,,,,
Hisuian Samurott,37,teammate,8,Mimikyu,,,,,,,,,
Hisuian Samurott,37,teammate,9,Hippowdon,,,,,,,,,
Hisuian Samurott,37,teammate,10,Dragalge,,,,,,,,,
Hisuian Samurott,37,stat_alignment,1,Adamant,67.8%,Attack,Sp. Atk,,,,,,
Hisuian Samurott,37,stat_alignment,2,Jolly,20.3%,Speed,Sp. Atk,,,,,,
Hisuian Samurott,37,stat_alignment,3,Impish,9.4%,Defense,Sp. Atk,,,,,,
Hisuian Samurott,37,stat_alignment,4,Naive,2.4%,Speed,Sp. Def,,,,,,
Hisuian Samurott,37,stat_alignment,5,Naughty,2.3%,Attack,Sp. Def,,,,,,
Hisuian Samurott,37,stat_alignment,6,Lonely,0.5%,Attack,Defense,,,,,,
Hisuian Samurott,37,stat_alignment,7,Brave,0.3%,Attack,Speed,,,,,,
Hisuian Samurott,37,stat_alignment,8,Careful,0.3%,Sp. Def,Sp. Atk,,,,,,
Hisuian Samurott,37,stat_alignment,9,Hasty,0.2%,Speed,Defense,,,,,,
Hisuian Samurott,37,stat_alignment,10,Relaxed,0.1%,Defense,Speed,,,,,,
Hisuian Samurott,37,stat_points,1,,36.5%,,,2,32,0,0,0,32
Hisuian Samurott,37,stat_points,2,,7.0%,,,16,32,1,0,7,10
Hisuian Samurott,37,stat_points,3,,6.5%,,,20,32,2,0,2,10
Hisuian Samurott,37,stat_points,4,,5.2%,,,0,32,2,0,0,32
Hisuian Samurott,37,stat_points,5,,3.1%,,,14,32,0,0,10,10
Hisuian Samurott,37,stat_points,6,,3.1%,,,24,32,0,0,0,10
Hisuian Samurott,37,stat_points,7,,3.1%,,,0,32,0,0,2,32
Hisuian Samurott,37,stat_points,8,,2.4%,,,32,0,22,0,1,11
Hisuian Samurott,37,stat_points,9,,2.0%,,,32,32,0,0,0,2
Hisuian Samurott,37,stat_points,10,,1.5%,,,26,32,0,0,0,8
Hisuian Samurott,37,stat_points,11,,1.4%,,,0,32,1,0,1,32
Hisuian Samurott,37,stat_points,12,,1.3%,,,0,32,0,0,0,32
Hisuian Samurott,37,ability,1,Sharpness,98.6%,,,,,,,,
Hisuian Samurott,37,ability,2,Torrent,1.4%,,,,,,,,
