pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hisuian Typhlosion,123,move,1,Eruption,80.3%,,,,,,,,
Hisuian Typhlosion,123,move,2,Shadow Ball,58.2%,,,,,,,,
Hisuian Typhlosion,123,move,3,Infernal Parade,56.4%,,,,,,,,
Hisuian Typhlosion,123,move,4,Focus Blast,40.8%,,,,,,,,
Hisuian Typhlosion,123,move,5,Flamethrower,29.8%,,,,,,,,
Hisuian Typhlosion,123,move,6,Will-O-Wisp,19.9%,,,,,,,,
Hisuian Typhlosion,123,move,7,Overheat,17.0%,,,,,,,,
Hisuian Typhlosion,123,move,8,Extrasensory,15.8%,,,,,,,,
Hisuian Typhlosion,123,move,9,Burn Up,15.0%,,,,,,,,
Hisuian Typhlosion,123,move,10,Curse,1.2%,,,,,,,,
Hisuian Typhlosion,123,held_item,1,Choice Scarf,65.7%,,,,,,,,
Hisuian Typhlosion,123,held_item,2,Focus Sash,15.2%,,,,,,,,
Hisuian Typhlosion,123,held_item,3,Charcoal,3.9%,,,,,,,,
Hisuian Typhlosion,123,held_item,4,Life Orb,3.1%,,,,,,,,
Hisuian Typhlosion,123,held_item,5,Sitrus Berry,2.0%,,,,,,,,
Hisuian Typhlosion,123,held_item,6,Quick Claw,1.5%,,,,,,,,
Hisuian Typhlosion,123,held_item,7,Wise Glasses,1.1%,,,,,,,,
Hisuian Typhlosion,123,held_item,8,Leftovers,1.1%,,,,,,,,
Hisuian Typhlosion,123,held_item,9,White Herb,0.9%,,,,,,,,
Hisuian Typhlosion,123,held_item,10,Expert Belt,0.5%,,,,,,,,
Hisuian Typhlosion,123,teammate,1,Garchomp,,,,,,,,,
Hisuian Typhlosion,123,teammate,2,Staraptor,,,,,,,,,
Hisuian Typhlosion,123,teammate,3,Raichu,,,,,,,,,
Hisuian Typhlosion,123,teammate,4,Corviknight,,,,,,,,,
Hisuian Typhlosion,123,teammate,5,Meowscarada,,,,,,,,,
Hisuian Typhlosion,123,teammate,6,Metagross,,,,,,,,,
Hisuian Typhlosion,123,teammate,7,Archaludon,,,,,,,,,
Hisuian Typhlosion,123,teammate,8,Alolan Ninetales,,,,,,,,,
Hisuian Typhlosion,123,teammate,9,Mimikyu,,,,,,,,,
Hisuian Typhlosion,123,teammate,10,Dragonite,,,,,,,,,
Hisuian Typhlosion,123,stat_alignment,1,Modest,56.4%,Sp. Atk,Attack,,,,,,
Hisuian Typhlosion,123,stat_alignment,2,Timid,36.7%,Speed,Attack,,,,,,
Hisuian Typhlosion,123,stat_alignment,3,Mild,2.0%,Sp. Atk,Defense,,,,,,
Hisuian Typhlosion,123,stat_alignment,4,Bold,1.0%,Defense,Attack,,,,,,
Hisuian Typhlosion,123,stat_alignment,5,Naive,1.0%,Speed,Sp. Def,,,,,,
Hisuian Typhlosion,123,stat_alignment,6,Calm,0.9%,Sp. Def,Attack,,,,,,
Hisuian Typhlosion,123,stat_alignment,7,Hasty,0.7%,Speed,Defense,,,,,,
Hisuian Typhlosion,123,stat_alignment,8,Quiet,0.4%,Sp. Atk,Speed,,,,,,
Hisuian Typhlosion,123,stat_alignment,9,Jolly,0.3%,Speed,Sp. Atk,,,,,,
Hisuian Typhlosion,123,stat_alignment,10,Gentle,0.2%,Sp. Def,Defense,,,,,,
Hisuian Typhlosion,123,stat_points,1,,48.5%,,,2,0,0,32,0,32
Hisuian Typhlosion,123,stat_points,2,,10.7%,,,1,0,1,32,0,32
Hisuian Typhlosion,123,stat_points,3,,9.3%,,,0,0,2,32,0,32
Hisuian Typhlosion,123,stat_points,4,,7.0%,,,0,0,0,32,2,32
Hisuian Typhlosion,123,stat_points,5,,2.7%,,,1,0,0,32,1,32
Hisuian Typhlosion,123,stat_points,6,,2.6%,,,0,0,0,32,0,32
Hisuian Typhlosion,123,stat_points,7,,2.5%,,,1,0,0,32,0,32
Hisuian Typhlosion,123,stat_points,8,,1.0%,,,3,0,0,32,0,31
Hisuian Typhlosion,123,stat_points,9,,0.7%,,,0,2,0,32,0,32
Hisuian Typhlosion,123,stat_points,10,,0.7%,,,32,0,0,32,2,0
Hisuian Typhlosion,123,stat_points,11,,0.6%,,,5,0,0,32,0,29
Hisuian Typhlosion,123,ability,1,Frisk,71.8%,,,,,,,,
Hisuian Typhlosion,123,ability,2,Blaze,28.2%,,,,,,,,
