pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hisuian Zoroark,59,move,1,Bitter Malice,67.6%,,,,,,,,
Hisuian Zoroark,59,move,2,Icy Wind,49.2%,,,,,,,,
Hisuian Zoroark,59,move,3,Flamethrower,40.1%,,,,,,,,
Hisuian Zoroark,59,move,4,Shadow Ball,28.8%,,,,,,,,
Hisuian Zoroark,59,move,5,Focus Blast,25.0%,,,,,,,,
Hisuian Zoroark,59,move,6,Hyper Voice,19.1%,,,,,,,,
Hisuian Zoroark,59,move,7,Will-O-Wisp,19.0%,,,,,,,,
Hisuian Zoroark,59,move,8,Taunt,18.9%,,,,,,,,
Hisuian Zoroark,59,move,9,Memento,17.7%,,,,,,,,
Hisuian Zoroark,59,move,10,Nasty Plot,16.5%,,,,,,,,
Hisuian Zoroark,59,held_item,1,Focus Sash,68.6%,,,,,,,,
Hisuian Zoroark,59,held_item,2,Choice Scarf,11.2%,,,,,,,,
Hisuian Zoroark,59,held_item,3,Life Orb,8.2%,,,,,,,,
Hisuian Zoroark,59,held_item,4,Bright Powder,2.1%,,,,,,,,
Hisuian Zoroark,59,held_item,5,Spell Tag,1.3%,,,,,,,,
Hisuian Zoroark,59,held_item,6,Sitrus Berry,1.2%,,,,,,,,
Hisuian Zoroark,59,held_item,7,Expert Belt,1.0%,,,,,,,,
Hisuian Zoroark,59,held_item,8,Quick Claw,0.8%,,,,,,,,
Hisuian Zoroark,59,held_item,9,Wise Glasses,0.7%,,,,,,,,
Hisuian Zoroark,59,held_item,10,Colbur Berry,0.6%,,,,,,,,
Hisuian Zoroark,59,teammate,1,Garchomp,,,,,,,,,
Hisuian Zoroark,59,teammate,2,Raichu,,,,,,,,,
Hisuian Zoroark,59,teammate,3,Meowscarada,,,,,,,,,
Hisuian Zoroark,59,teammate,4,Staraptor,,,,,,,,,
Hisuian Zoroark,59,teammate,5,Archaludon,,,,,,,,,
Hisuian Zoroark,59,teammate,6,Metagross,,,,,,,,,
Hisuian Zoroark,59,teammate,7,Mimikyu,,,,,,,,,
Hisuian Zoroark,59,teammate,8,Charizard,,,,,,,,,
Hisuian Zoroark,59,teammate,9,Corviknight,,,,,,,,,
Hisuian Zoroark,59,teammate,10,Blaziken,,,,,,,,,
Hisuian Zoroark,59,stat_alignment,1,Timid,69.6%,Speed,Attack,,,,,,
Hisuian Zoroark,59,stat_alignment,2,Modest,18.0%,Sp. Atk,Attack,,,,,,
Hisuian Zoroark,59,stat_alignment,3,Naive,3.9%,Speed,Sp. Def,,,,,,
Hisuian Zoroark,59,stat_alignment,4,Hasty,3.1%,Speed,Defense,,,,,,
Hisuian Zoroark,59,stat_alignment,5,Mild,1.7%,Sp. Atk,Defense,,,,,,
Hisuian Zoroark,59,stat_alignment,6,Rash,1.0%,Sp. Atk,Sp. Def,,,,,,
Hisuian Zoroark,59,stat_alignment,7,Jolly,0.7%,Speed,Sp. Atk,,,,,,
Hisuian Zoroark,59,stat_alignment,8,Quiet,0.5%,Sp. Atk,Speed,,,,,,
Hisuian Zoroark,59,stat_alignment,9,Bold,0.4%,Defense,Attack,,,,,,
Hisuian Zoroark,59,stat_alignment,10,Calm,0.3%,Sp. Def,Attack,,,,,,
Hisuian Zoroark,59,stat_points,1,,45.2%,,,2,0,0,32,0,32
Hisuian Zoroark,59,stat_points,2,,15.0%,,,1,0,1,32,0,32
Hisuian Zoroark,59,stat_points,3,,8.4%,,,0,0,2,32,0,32
Hisuian Zoroark,59,stat_points,4,,6.9%,,,0,0,0,32,2,32
Hisuian Zoroark,59,stat_points,5,,3.8%,,,1,0,0,32,1,32
Hisuian Zoroark,59,stat_points,6,,3.5%,,,0,2,0,32,0,32
Hisuian Zoroark,59,stat_points,7,,3.0%,,,0,0,0,32,0,32
Hisuian Zoroark,59,stat_points,8,,1.3%,,,1,0,0,32,0,32
Hisuian Zoroark,59,stat_points,9,,1.2%,,,0,0,1,32,1,32
Hisuian Zoroark,59,stat_points,10,,0.8%,,,1,1,0,32,0,32
Hisuian Zoroark,59,stat_points,11,,0.6%,,,32,0,0,32,0,2
Hisuian Zoroark,59,stat_points,12,,0.4%,,,0,0,32,32,0,2
Hisuian Zoroark,59,ability,1,Illusion,100.0%,,,,,,,,
