pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Houndoom,184,move,1,Dark Pulse,78.6%,,,,,,,,
Houndoom,184,move,2,Flamethrower,59.9%,,,,,,,,
Houndoom,184,move,3,Destiny Bond,50.1%,,,,,,,,
Houndoom,184,move,4,Sucker Punch,34.2%,,,,,,,,
Houndoom,184,move,5,Sludge Bomb,25.3%,,,,,,,,
Houndoom,184,move,6,Counter,24.8%,,,,,,,,
Houndoom,184,move,7,Overheat,23.1%,,,,,,,,
Houndoom,184,move,8,Solar Beam,14.9%,,,,,,,,
Houndoom,184,move,9,Fire Blast,14.2%,,,,,,,,
Houndoom,184,move,10,Nasty Plot,13.5%,,,,,,,,
Houndoom,184,held_item,1,Houndoominite,45.6%,,,,,,,,
Houndoom,184,held_item,2,Focus Sash,40.2%,,,,,,,,
Houndoom,184,held_item,3,Choice Scarf,4.6%,,,,,,,,
Houndoom,184,held_item,4,Life Orb,2.5%,,,,,,,,
Houndoom,184,held_item,5,Charcoal,2.2%,,,,,,,,
Houndoom,184,held_item,6,Sitrus Berry,1.0%,,,,,,,,
Houndoom,184,held_item,7,White Herb,0.7%,,,,,,,,
Houndoom,184,held_item,8,Leftovers,0.5%,,,,,,,,
Houndoom,184,held_item,9,Wise Glasses,0.5%,,,,,,,,
Houndoom,184,held_item,10,Black Glasses,0.3%,,,,,,,,
Houndoom,184,teammate,1,Garchomp,,,,,,,,,
Houndoom,184,teammate,2,Meowscarada,,,,,,,,,
Houndoom,184,teammate,3,Raichu,,,,,,,,,
Houndoom,184,teammate,4,Staraptor,,,,,,,,,
Houndoom,184,teammate,5,Mimikyu,,,,,,,,,
Houndoom,184,teammate,6,Metagross,,,,,,,,,
Houndoom,184,teammate,7,Corviknight,,,,,,,,,
Houndoom,184,teammate,8,Torkoal,,,,,,,,,
Houndoom,184,teammate,9,Gyarados,,,,,,,,,
Houndoom,184,teammate,10,Archaludon,,,,,,,,,
Houndoom,184,stat_alignment,1,Timid,58.5%,Speed,Attack,,,,,,
Houndoom,184,stat_alignment,2,Modest,15.7%,Sp. Atk,Attack,,,,,,
Houndoom,184,stat_alignment,3,Hasty,10.8%,Speed,Defense,,,,,,
Houndoom,184,stat_alignment,4,Naive,4.7%,Speed,Sp. Def,,,,,,
Houndoom,184,stat_alignment,5,Mild,4.0%,Sp. Atk,Defense,,,,,,
Houndoom,184,stat_alignment,6,Jolly,1.7%,Speed,Sp. Atk,,,,,,
Houndoom,184,stat_alignment,7,Quiet,1.0%,Sp. Atk,Speed,,,,,,
Houndoom,184,stat_alignment,8,Adamant,0.9%,Attack,Sp. Atk,,,,,,
Houndoom,184,stat_alignment,9,Rash,0.6%,Sp. Atk,Sp. Def,,,,,,
Houndoom,184,stat_alignment,10,Brave,0.6%,Attack,Speed,,,,,,
Houndoom,184,stat_points,1,,36.1%,,,2,0,0,32,0,32
Houndoom,184,stat_points,2,,12.6%,,,1,0,1,32,0,32
Houndoom,184,stat_points,3,,5.7%,,,0,2,0,32,0,32
Houndoom,184,stat_points,4,,5.4%,,,0,0,0,32,0,32
Houndoom,184,stat_points,5,,5.2%,,,1,0,0,32,1,32
Houndoom,184,stat_points,6,,4.9%,,,0,0,2,32,0,32
Houndoom,184,stat_points,7,,4.9%,,,0,0,0,32,2,32
Houndoom,184,stat_points,8,,1.8%,,,1,1,0,32,0,32
Houndoom,184,stat_points,9,,1.3%,,,1,0,0,32,0,32
Houndoom,184,stat_points,10,,1.0%,,,2,32,0,0,0,32
Houndoom,184,stat_points,11,,0.8%,,,30,10,0,26,0,0
Houndoom,184,stat_points,12,,0.8%,,,32,0,0,32,2,0
Houndoom,184,ability,1,Flash Fire,88.2%,,,,,,,,
Houndoom,184,ability,2,Unnerve,6.9%,,,,,,,,
Houndoom,184,ability,3,Early Bird,4.8%,,,,,,,,
