pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Houndstone,125,move,1,Last Respects,75.9%,,,,,,,,
Houndstone,125,move,2,Shadow Sneak,62.3%,,,,,,,,
Houndstone,125,move,3,Will-O-Wisp,44.7%,,,,,,,,
Houndstone,125,move,4,Play Rough,30.0%,,,,,,,,
Houndstone,125,move,5,Pain Split,29.7%,,,,,,,,
Houndstone,125,move,6,Yawn,24.3%,,,,,,,,
Houndstone,125,move,7,Poltergeist,20.6%,,,,,,,,
Houndstone,125,move,8,Body Press,17.9%,,,,,,,,
Houndstone,125,move,9,Psychic Fangs,14.9%,,,,,,,,
Houndstone,125,move,10,Roar,12.5%,,,,,,,,
Houndstone,125,held_item,1,Leftovers,40.0%,,,,,,,,
Houndstone,125,held_item,2,Spell Tag,16.8%,,,,,,,,
Houndstone,125,held_item,3,Life Orb,14.0%,,,,,,,,
Houndstone,125,held_item,4,Sitrus Berry,12.6%,,,,,,,,
Houndstone,125,held_item,5,Choice Scarf,3.1%,,,,,,,,
Houndstone,125,held_item,6,Kasib Berry,2.0%,,,,,,,,
Houndstone,125,held_item,7,Focus Sash,1.8%,,,,,,,,
Houndstone,125,held_item,8,Chesto Berry,1.7%,,,,,,,,
Houndstone,125,held_item,9,Quick Claw,1.1%,,,,,,,,
Houndstone,125,held_item,10,Lum Berry,1.0%,,,,,,,,
Houndstone,125,teammate,1,Garchomp,,,,,,,,,
Houndstone,125,teammate,2,Hippowdon,,,,,,,,,
Houndstone,125,teammate,3,Tyranitar,,,,,,,,,
Houndstone,125,teammate,4,Raichu,,,,,,,,,
Houndstone,125,teammate,5,Excadrill,,,,,,,,,
Houndstone,125,teammate,6,Charizard,,,,,,,,,
Houndstone,125,teammate,7,Blastoise,,,,,,,,,
Houndstone,125,teammate,8,Greninja,,,,,,,,,
Houndstone,125,teammate,9,Gyarados,,,,,,,,,
Houndstone,125,teammate,10,Staraptor,,,,,,,,,
Houndstone,125,stat_alignment,1,Impish,45.1%,Defense,Sp. Atk,,,,,,
Houndstone,125,stat_alignment,2,Adamant,37.9%,Attack,Sp. Atk,,,,,,
Houndstone,125,stat_alignment,3,Jolly,7.1%,Speed,Sp. Atk,,,,,,
Houndstone,125,stat_alignment,4,Careful,3.9%,Sp. Def,Sp. Atk,,,,,,
Houndstone,125,stat_alignment,5,Brave,1.7%,Attack,Speed,,,,,,
Houndstone,125,stat_alignment,6,Bold,1.7%,Defense,Attack,,,,,,
Houndstone,125,stat_alignment,7,Relaxed,0.9%,Defense,Speed,,,,,,
Houndstone,125,stat_alignment,8,Calm,0.4%,Sp. Def,Attack,,,,,,
Houndstone,125,stat_alignment,9,Lonely,0.3%,Attack,Defense,,,,,,
Houndstone,125,stat_alignment,10,Lax,0.2%,Defense,Sp. Def,,,,,,
Houndstone,125,stat_points,1,,18.1%,,,2,32,0,0,0,32
Houndstone,125,stat_points,2,,12.3%,,,32,0,32,0,2,0
Houndstone,125,stat_points,3,,11.1%,,,30,0,30,0,3,3
Houndstone,125,stat_points,4,,7.5%,,,32,2,32,0,0,0
Houndstone,125,stat_points,5,,3.6%,,,32,0,32,0,0,2
Houndstone,125,stat_points,6,,3.2%,,,32,32,2,0,0,0
Houndstone,125,stat_points,7,,2.9%,,,0,32,2,0,0,32
Houndstone,125,stat_points,8,,2.5%,,,2,32,32,0,0,0
Houndstone,125,stat_points,9,,1.7%,,,0,32,0,0,2,32
Houndstone,125,stat_points,10,,1.5%,,,32,32,0,0,2,0
Houndstone,125,stat_points,11,,1.2%,,,2,32,4,0,0,28
Houndstone,125,stat_points,12,,1.1%,,,32,32,0,0,0,2
Houndstone,125,ability,1,Fluffy,69.5%,,,,,,,,
Houndstone,125,ability,2,Sand Rush,30.5%,,,,,,,,
