pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hydrapple,165,move,1,Fickle Beam,80.3%,,,,,,,,
Hydrapple,165,move,2,Earth Power,73.0%,,,,,,,,
Hydrapple,165,move,3,Giga Drain,54.7%,,,,,,,,
Hydrapple,165,move,4,Recover,30.9%,,,,,,,,
Hydrapple,165,move,5,Yawn,30.1%,,,,,,,,
Hydrapple,165,move,6,Leaf Storm,22.9%,,,,,,,,
Hydrapple,165,move,7,Sucker Punch,20.3%,,,,,,,,
Hydrapple,165,move,8,Draco Meteor,19.6%,,,,,,,,
Hydrapple,165,move,9,Hydro Pump,11.8%,,,,,,,,
Hydrapple,165,move,10,Energy Ball,10.1%,,,,,,,,
Hydrapple,165,held_item,1,Leftovers,16.6%,,,,,,,,
Hydrapple,165,held_item,2,Yache Berry,14.8%,,,,,,,,
Hydrapple,165,held_item,3,Sitrus Berry,12.5%,,,,,,,,
Hydrapple,165,held_item,4,Life Orb,12.3%,,,,,,,,
Hydrapple,165,held_item,5,Quick Claw,7.8%,,,,,,,,
Hydrapple,165,held_item,6,Haban Berry,,,,,,,,,
Hydrapple,165,held_item,7,Focus Sash,5.0%,,,,,,,,
Hydrapple,165,held_item,8,White Herb,3.4%,,,,,,,,
Hydrapple,165,held_item,9,Lum Berry,3.4%,,,,,,,,
Hydrapple,165,held_item,10,Expert Belt,2.6%,,,,,,,,
Hydrapple,165,teammate,1,Raichu,,,,,,,,,
Hydrapple,165,teammate,2,Garchomp,,,,,,,,,
Hydrapple,165,teammate,3,Metagross,,,,,,,,,
Hydrapple,165,teammate,4,Dragalge,,,,,,,,,
Hydrapple,165,teammate,5,Corviknight,,,,,,,,,
Hydrapple,165,teammate,6,Charizard,,,,,,,,,
Hydrapple,165,teammate,7,Staraptor,,,,,,,,,
Hydrapple,165,teammate,8,Mimikyu,,,,,,,,,
Hydrapple,165,teammate,9,Archaludon,,,,,,,,,
Hydrapple,165,teammate,10,Blaziken,,,,,,,,,
Hydrapple,165,stat_alignment,1,Modest,47.3%,Sp. Atk,Attack,,,,,,
Hydrapple,165,stat_alignment,2,Quiet,18.3%,Sp. Atk,Speed,,,,,,
Hydrapple,165,stat_alignment,3,Bold,17.2%,Defense,Attack,,,,,,
Hydrapple,165,stat_alignment,4,Calm,8.6%,Sp. Def,Attack,,,,,,
Hydrapple,165,stat_alignment,5,Relaxed,4.6%,Defense,Speed,,,,,,
Hydrapple,165,stat_alignment,6,Sassy,1.8%,Sp. Def,Speed,,,,,,
Hydrapple,165,stat_alignment,7,Timid,0.8%,Speed,Attack,,,,,,
Hydrapple,165,stat_alignment,8,Mild,0.6%,Sp. Atk,Defense,,,,,,
Hydrapple,165,stat_alignment,9,Rash,0.2%,Sp. Atk,Sp. Def,,,,,,
Hydrapple,165,stat_alignment,10,Brave,0.2%,Attack,Speed,,,,,,
Hydrapple,165,stat_points,1,,21.3%,,,32,0,2,32,0,0
Hydrapple,165,stat_points,2,,13.0%,,,32,0,0,32,2,0
Hydrapple,165,stat_points,3,,5.0%,,,32,0,32,2,0,0
Hydrapple,165,stat_points,4,,4.7%,,,32,0,32,0,2,0
Hydrapple,165,stat_points,5,,3.7%,,,2,0,32,32,0,0
Hydrapple,165,stat_points,6,,2.8%,,,0,0,32,32,2,0
Hydrapple,165,stat_points,7,,2.4%,,,32,0,2,0,32,0
Hydrapple,165,stat_points,8,,2.2%,,,2,0,0,32,32,0
Hydrapple,165,stat_points,9,,2.1%,,,32,0,0,32,0,2
Hydrapple,165,stat_points,10,,1.6%,,,0,0,2,32,32,0
Hydrapple,165,stat_points,11,,1.4%,,,32,0,0,2,32,0
Hydrapple,165,ability,1,Regenerator,92.9%,,,,,,,,
Hydrapple,165,ability,2,Supersweet Syrup,3.9%,,,,,,,,
Hydrapple,165,ability,3,Sticky Hold,3.2%,,,,,,,,
