pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hydreigon,19,move,1,Dark Pulse,99.1%,,,,,,,,
Hydreigon,19,move,2,Draco Meteor,95.3%,,,,,,,,
Hydreigon,19,move,3,U-turn,73.7%,,,,,,,,
Hydreigon,19,move,4,Flamethrower,35.7%,,,,,,,,
Hydreigon,19,move,5,Fire Blast,28.3%,,,,,,,,
Hydreigon,19,move,6,Flash Cannon,13.2%,,,,,,,,
Hydreigon,19,move,7,Earth Power,10.1%,,,,,,,,
Hydreigon,19,move,8,Focus Blast,5.7%,,,,,,,,
Hydreigon,19,move,9,Stealth Rock,3.5%,,,,,,,,
Hydreigon,19,move,10,Taunt,3.1%,,,,,,,,
Hydreigon,19,held_item,1,Choice Scarf,83.3%,,,,,,,,
Hydreigon,19,held_item,2,Life Orb,7.2%,,,,,,,,
Hydreigon,19,held_item,3,Focus Sash,3.3%,,,,,,,,
Hydreigon,19,held_item,4,White Herb,1.2%,,,,,,,,
Hydreigon,19,held_item,5,Sitrus Berry,0.7%,,,,,,,,
Hydreigon,19,held_item,6,Lum Berry,0.6%,,,,,,,,
Hydreigon,19,held_item,7,Leftovers,0.6%,,,,,,,,
Hydreigon,19,held_item,8,Expert Belt,0.5%,,,,,,,,
Hydreigon,19,held_item,9,Black Glasses,0.5%,,,,,,,,
Hydreigon,19,held_item,10,Haban Berry,0.4%,,,,,,,,
Hydreigon,19,teammate,1,Metagross,,,,,,,,,
Hydreigon,19,teammate,2,Garchomp,,,,,,,,,
Hydreigon,19,teammate,3,Mimikyu,,,,,,,,,
Hydreigon,19,teammate,4,Hippowdon,,,,,,,,,
Hydreigon,19,teammate,5,Primarina,,,,,,,,,
Hydreigon,19,teammate,6,Blaziken,,,,,,,,,
Hydreigon,19,teammate,7,Raichu,,,,,,,,,
Hydreigon,19,teammate,8,Rotom Wash,,,,,,,,,
Hydreigon,19,teammate,9,Gyarados,,,,,,,,,
Hydreigon,19,teammate,10,Alolan Ninetales,,,,,,,,,
Hydreigon,19,stat_alignment,1,Modest,67.2%,Sp. Atk,Attack,,,,,,
Hydreigon,19,stat_alignment,2,Timid,31.0%,Speed,Attack,,,,,,
Hydreigon,19,stat_alignment,3,Mild,0.4%,Sp. Atk,Defense,,,,,,
Hydreigon,19,stat_alignment,4,Hasty,0.2%,Speed,Defense,,,,,,
Hydreigon,19,stat_alignment,5,Naive,0.2%,Speed,Sp. Def,,,,,,
Hydreigon,19,stat_alignment,6,Bold,0.2%,Defense,Attack,,,,,,
Hydreigon,19,stat_alignment,7,Calm,0.2%,Sp. Def,Attack,,,,,,
Hydreigon,19,stat_alignment,8,Quiet,0.1%,Sp. Atk,Speed,,,,,,
Hydreigon,19,stat_alignment,9,Rash,0.1%,Sp. Atk,Sp. Def,,,,,,
Hydreigon,19,stat_alignment,10,Jolly,0.1%,Speed,Sp. Atk,,,,,,
Hydreigon,19,stat_points,1,,69.5%,,,2,0,0,32,0,32
Hydreigon,19,stat_points,2,,5.9%,,,8,0,0,32,0,26
Hydreigon,19,stat_points,3,,4.8%,,,0,0,2,32,0,32
Hydreigon,19,stat_points,4,,3.7%,,,0,0,1,32,1,32
Hydreigon,19,stat_points,5,,3.7%,,,0,0,0,32,2,32
Hydreigon,19,stat_points,6,,1.4%,,,1,0,1,32,0,32
Hydreigon,19,stat_points,7,,1.3%,,,0,0,0,32,0,32
Hydreigon,19,stat_points,8,,0.9%,,,1,0,0,32,0,32
Hydreigon,19,stat_points,9,,0.6%,,,0,0,0,32,1,32
Hydreigon,19,stat_points,10,,0.5%,,,0,0,1,32,0,32
Hydreigon,19,stat_points,11,,0.4%,,,32,0,0,32,0,2
Hydreigon,19,stat_points,12,,0.4%,,,14,0,0,32,0,20
Hydreigon,19,ability,1,Levitate,100.0%,,,,,,,,
