pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Incineroar,75,move,1,Parting Shot,84.4%,,,,,,,,
Incineroar,75,move,2,Flare Blitz,78.5%,,,,,,,,
Incineroar,75,move,3,Darkest Lariat,67.3%,,,,,,,,
Incineroar,75,move,4,Fake Out,54.2%,,,,,,,,
Incineroar,75,move,5,Will-O-Wisp,36.4%,,,,,,,,
Incineroar,75,move,6,Taunt,14.4%,,,,,,,,
Incineroar,75,move,7,Throat Chop,8.8%,,,,,,,,
Incineroar,75,move,8,Drain Punch,5.4%,,,,,,,,
Incineroar,75,move,9,Close Combat,5.1%,,,,,,,,
Incineroar,75,move,10,Earthquake,1.9%,,,,,,,,
Incineroar,75,held_item,1,Sitrus Berry,56.9%,,,,,,,,
Incineroar,75,held_item,2,Leftovers,17.2%,,,,,,,,
Incineroar,75,held_item,3,Chople Berry,3.7%,,,,,,,,
Incineroar,75,held_item,4,Quick Claw,3.2%,,,,,,,,
Incineroar,75,held_item,5,Shuca Berry,2.3%,,,,,,,,
Incineroar,75,held_item,6,Focus Sash,2.3%,,,,,,,,
Incineroar,75,held_item,7,Life Orb,1.8%,,,,,,,,
Incineroar,75,held_item,8,Lum Berry,1.2%,,,,,,,,
Incineroar,75,held_item,9,Passho Berry,1.2%,,,,,,,,
Incineroar,75,held_item,10,Choice Scarf,1.1%,,,,,,,,
Incineroar,75,teammate,1,Garchomp,,,,,,,,,
Incineroar,75,teammate,2,Raichu,,,,,,,,,
Incineroar,75,teammate,3,Staraptor,,,,,,,,,
Incineroar,75,teammate,4,Meowscarada,,,,,,,,,
Incineroar,75,teammate,5,Basculegion Male,,,,,,,,,
Incineroar,75,teammate,6,Archaludon,,,,,,,,,
Incineroar,75,teammate,7,Mimikyu,,,,,,,,,
Incineroar,75,teammate,8,Metagross,,,,,,,,,
Incineroar,75,teammate,9,Dragonite,,,,,,,,,
Incineroar,75,teammate,10,Charizard,,,,,,,,,
Incineroar,75,stat_alignment,1,Adamant,31.6%,Attack,Sp. Atk,,,,,,
Incineroar,75,stat_alignment,2,Impish,26.5%,Defense,Sp. Atk,,,,,,
Incineroar,75,stat_alignment,3,Careful,23.0%,Sp. Def,Sp. Atk,,,,,,
Incineroar,75,stat_alignment,4,Relaxed,9.4%,Defense,Speed,,,,,,
Incineroar,75,stat_alignment,5,Jolly,4.5%,Speed,Sp. Atk,,,,,,
Incineroar,75,stat_alignment,6,Sassy,2.9%,Sp. Def,Speed,,,,,,
Incineroar,75,stat_alignment,7,Brave,2.1%,Attack,Speed,,,,,,
Incineroar,75,stat_alignment,8,Naughty,0.9%,Attack,Sp. Def,,,,,,
Incineroar,75,stat_alignment,9,Lonely,0.6%,Attack,Defense,,,,,,
Incineroar,75,stat_alignment,10,Bold,0.5%,Defense,Attack,,,,,,
Incineroar,75,stat_points,1,,10.5%,,,32,0,32,0,2,0
Incineroar,75,stat_points,2,,6.2%,,,32,0,2,0,32,0
Incineroar,75,stat_points,3,,5.7%,,,32,32,2,0,0,0
Incineroar,75,stat_points,4,,4.4%,,,32,32,0,0,2,0
Incineroar,75,stat_points,5,,3.1%,,,32,32,0,0,0,2
Incineroar,75,stat_points,6,,3.0%,,,32,0,14,0,20,0
Incineroar,75,stat_points,7,,2.6%,,,32,2,32,0,0,0
Incineroar,75,stat_points,8,,2.5%,,,2,32,0,0,0,32
Incineroar,75,stat_points,9,,2.1%,,,2,32,32,0,0,0
Incineroar,75,stat_points,10,,1.8%,,,2,32,0,0,32,0
Incineroar,75,stat_points,11,,1.6%,,,3,0,17,0,18,0
Incineroar,75,stat_points,12,,1.5%,,,32,0,17,0,17,0
Incineroar,75,ability,1,Intimidate,97.9%,,,,,,,,
Incineroar,75,ability,2,Blaze,2.1%,,,,,,,,
