pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Kingambit,24,move,1,Sucker Punch,99.2%,,,,,,,,
Kingambit,24,move,2,Kowtow Cleave,94.9%,,,,,,,,
Kingambit,24,move,3,Iron Head,90.8%,,,,,,,,
Kingambit,24,move,4,Swords Dance,77.3%,,,,,,,,
Kingambit,24,move,5,Brick Break,10.4%,,,,,,,,
Kingambit,24,move,6,Low Kick,10.0%,,,,,,,,
Kingambit,24,move,7,Guillotine,3.8%,,,,,,,,
Kingambit,24,move,8,Protect,3.0%,,,,,,,,
Kingambit,24,move,9,Metal Burst,2.6%,,,,,,,,
Kingambit,24,move,10,Stealth Rock,0.8%,,,,,,,,
Kingambit,24,held_item,1,Black Glasses,53.4%,,,,,,,,
Kingambit,24,held_item,2,Life Orb,15.2%,,,,,,,,
Kingambit,24,held_item,3,Focus Sash,7.6%,,,,,,,,
Kingambit,24,held_item,4,Chople Berry,6.1%,,,,,,,,
Kingambit,24,held_item,5,Sitrus Berry,5.2%,,,,,,,,
Kingambit,24,held_item,6,Lum Berry,4.4%,,,,,,,,
Kingambit,24,held_item,7,Leftovers,2.2%,,,,,,,,
Kingambit,24,held_item,8,Quick Claw,1.6%,,,,,,,,
Kingambit,24,held_item,9,Muscle Band,0.9%,,,,,,,,
Kingambit,24,held_item,10,Shuca Berry,0.7%,,,,,,,,
Kingambit,24,teammate,1,Garchomp,,,,,,,,,
Kingambit,24,teammate,2,Raichu,,,,,,,,,
Kingambit,24,teammate,3,Staraptor,,,,,,,,,
Kingambit,24,teammate,4,Charizard,,,,,,,,,
Kingambit,24,teammate,5,Archaludon,,,,,,,,,
Kingambit,24,teammate,6,Meowscarada,,,,,,,,,
Kingambit,24,teammate,7,Basculegion Male,,,,,,,,,
Kingambit,24,teammate,8,Mimikyu,,,,,,,,,
Kingambit,24,teammate,9,Dragonite,,,,,,,,,
Kingambit,24,teammate,10,Primarina,,,,,,,,,
Kingambit,24,stat_alignment,1,Adamant,92.5%,Attack,Sp. Atk,,,,,,
Kingambit,24,stat_alignment,2,Brave,3.5%,Attack,Speed,,,,,,
Kingambit,24,stat_alignment,3,Jolly,0.9%,Speed,Sp. Atk,,,,,,
Kingambit,24,stat_alignment,4,Impish,0.9%,Defense,Sp. Atk,,,,,,
Kingambit,24,stat_alignment,5,Careful,0.6%,Sp. Def,Sp. Atk,,,,,,
Kingambit,24,stat_alignment,6,Naughty,0.5%,Attack,Sp. Def,,,,,,
Kingambit,24,stat_alignment,7,Relaxed,0.3%,Defense,Speed,,,,,,
Kingambit,24,stat_alignment,8,Lonely,0.2%,Attack,Defense,,,,,,
Kingambit,24,stat_alignment,9,Sassy,0.2%,Sp. Def,Speed,,,,,,
Kingambit,24,stat_alignment,10,Lax,0.1%,Defense,Sp. Def,,,,,,
Kingambit,24,stat_points,1,,40.4%,,,32,32,0,0,0,2
Kingambit,24,stat_points,2,,12.6%,,,32,32,2,0,0,0
Kingambit,24,stat_points,3,,9.7%,,,32,32,0,0,2,0
Kingambit,24,stat_points,4,,3.7%,,,2,32,0,0,0,32
Kingambit,24,stat_points,5,,1.9%,,,2,32,32,0,0,0
Kingambit,24,stat_points,6,,1.8%,,,10,32,0,0,0,24
Kingambit,24,stat_points,7,,1.4%,,,0,32,2,0,0,32
Kingambit,24,stat_points,8,,1.3%,,,32,32,1,0,1,0
Kingambit,24,stat_points,9,,1.3%,,,0,32,32,0,2,0
Kingambit,24,stat_points,10,,1.0%,,,32,32,1,0,0,1
Kingambit,24,ability,1,Supreme Overlord,86.7%,,,,,,,,
Kingambit,24,ability,2,Defiant,12.9%,,,,,,,,
Kingambit,24,ability,3,Pressure,0.4%,,,,,,,,
