pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Kleavor,73,move,1,Stone Axe,99.8%,,,,,,,,
Kleavor,73,move,2,X-Scissor,66.0%,,,,,,,,
Kleavor,73,move,3,Close Combat,53.7%,,,,,,,,
Kleavor,73,move,4,Night Slash,43.1%,,,,,,,,
Kleavor,73,move,5,U-turn,29.5%,,,,,,,,
Kleavor,73,move,6,Brick Break,15.5%,,,,,,,,
Kleavor,73,move,7,Tailwind,15.3%,,,,,,,,
Kleavor,73,move,8,Quick Attack,14.9%,,,,,,,,
Kleavor,73,move,9,Feint,14.5%,,,,,,,,
Kleavor,73,move,10,Counter,9.0%,,,,,,,,
Kleavor,73,held_item,1,Focus Sash,61.7%,,,,,,,,
Kleavor,73,held_item,2,Choice Scarf,25.8%,,,,,,,,
Kleavor,73,held_item,3,Life Orb,2.5%,,,,,,,,
Kleavor,73,held_item,4,Sitrus Berry,2.2%,,,,,,,,
Kleavor,73,held_item,5,Quick Claw,1.9%,,,,,,,,
Kleavor,73,held_item,6,Wide Lens,1.1%,,,,,,,,
Kleavor,73,held_item,7,Hard Stone,0.6%,,,,,,,,
Kleavor,73,held_item,8,Passho Berry,0.5%,,,,,,,,
Kleavor,73,held_item,9,Muscle Band,0.5%,,,,,,,,
Kleavor,73,held_item,10,Leftovers,0.5%,,,,,,,,
Kleavor,73,teammate,1,Garchomp,,,,,,,,,
Kleavor,73,teammate,2,Raichu,,,,,,,,,
Kleavor,73,teammate,3,Staraptor,,,,,,,,,
Kleavor,73,teammate,4,Mimikyu,,,,,,,,,
Kleavor,73,teammate,5,Meowscarada,,,,,,,,,
Kleavor,73,teammate,6,Archaludon,,,,,,,,,
Kleavor,73,teammate,7,Charizard,,,,,,,,,
Kleavor,73,teammate,8,Basculegion Male,,,,,,,,,
Kleavor,73,teammate,9,Metagross,,,,,,,,,
Kleavor,73,teammate,10,Volcarona,,,,,,,,,
Kleavor,73,stat_alignment,1,Adamant,49.9%,Attack,Sp. Atk,,,,,,
Kleavor,73,stat_alignment,2,Jolly,44.0%,Speed,Sp. Atk,,,,,,
Kleavor,73,stat_alignment,3,Impish,1.2%,Defense,Sp. Atk,,,,,,
Kleavor,73,stat_alignment,4,Naughty,1.1%,Attack,Sp. Def,,,,,,
Kleavor,73,stat_alignment,5,Careful,0.8%,Sp. Def,Sp. Atk,,,,,,
Kleavor,73,stat_alignment,6,Naive,0.7%,Speed,Sp. Def,,,,,,
Kleavor,73,stat_alignment,7,Lonely,0.6%,Attack,Defense,,,,,,
Kleavor,73,stat_alignment,8,Brave,0.6%,Attack,Speed,,,,,,
Kleavor,73,stat_alignment,9,Hasty,0.4%,Speed,Defense,,,,,,
Kleavor,73,stat_alignment,10,Sassy,0.3%,Sp. Def,Speed,,,,,,
Kleavor,73,stat_points,1,,55.4%,,,2,32,0,0,0,32
Kleavor,73,stat_points,2,,12.8%,,,0,32,2,0,0,32
Kleavor,73,stat_points,3,,7.0%,,,0,32,0,0,2,32
Kleavor,73,stat_points,4,,3.0%,,,0,32,0,0,0,32
Kleavor,73,stat_points,5,,2.0%,,,32,32,0,0,0,2
Kleavor,73,stat_points,6,,1.8%,,,32,32,2,0,0,0
Kleavor,73,stat_points,7,,1.2%,,,32,32,0,0,2,0
Kleavor,73,stat_points,8,,1.1%,,,1,32,0,0,0,32
Kleavor,73,stat_points,9,,0.9%,,,0,32,1,0,1,32
Kleavor,73,stat_points,10,,0.8%,,,2,32,32,0,0,0
Kleavor,73,stat_points,11,,0.7%,,,0,32,2,0,32,0
Kleavor,73,stat_points,12,,0.6%,,,0,32,32,0,0,2
Kleavor,73,ability,1,Sharpness,98.1%,,,,,,,,
Kleavor,73,ability,2,Swarm,1.4%,,,,,,,,
Kleavor,73,ability,3,Sheer Force,0.5%,,,,,,,,
