pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Klefki,132,move,1,Reflect,81.3%,,,,,,,,
Klefki,132,move,2,Light Screen,80.7%,,,,,,,,
Klefki,132,move,3,Steel Beam,59.4%,,,,,,,,
Klefki,132,move,4,Thunder Wave,44.2%,,,,,,,,
Klefki,132,move,5,Foul Play,21.7%,,,,,,,,
Klefki,132,move,6,Spikes,20.8%,,,,,,,,
Klefki,132,move,7,Trick Room,14.1%,,,,,,,,
Klefki,132,move,8,Draining Kiss,12.4%,,,,,,,,
Klefki,132,move,9,Calm Mind,9.4%,,,,,,,,
Klefki,132,move,10,Dazzling Gleam,8.7%,,,,,,,,
Klefki,132,held_item,1,Light Clay,74.0%,,,,,,,,
Klefki,132,held_item,2,Leftovers,8.2%,,,,,,,,
Klefki,132,held_item,3,Focus Sash,3.4%,,,,,,,,
Klefki,132,held_item,4,Damp Rock,2.9%,,,,,,,,
Klefki,132,held_item,5,Sitrus Berry,2.9%,,,,,,,,
Klefki,132,held_item,6,Bright Powder,1.2%,,,,,,,,
Klefki,132,held_item,7,Mental Herb,1.1%,,,,,,,,
Klefki,132,held_item,8,Iron Ball,1.0%,,,,,,,,
Klefki,132,held_item,9,Choice Scarf,0.9%,,,,,,,,
Klefki,132,held_item,10,Fairy Feather,0.6%,,,,,,,,
Klefki,132,teammate,1,Garchomp,,,,,,,,,
Klefki,132,teammate,2,Raichu,,,,,,,,,
Klefki,132,teammate,3,Staraptor,,,,,,,,,
Klefki,132,teammate,4,Archaludon,,,,,,,,,
Klefki,132,teammate,5,Mimikyu,,,,,,,,,
Klefki,132,teammate,6,Meowscarada,,,,,,,,,
Klefki,132,teammate,7,Metagross,,,,,,,,,
Klefki,132,teammate,8,Swampert,,,,,,,,,
Klefki,132,teammate,9,Blaziken,,,,,,,,,
Klefki,132,teammate,10,Mawile,,,,,,,,,
Klefki,132,stat_alignment,1,Bold,52.3%,Defense,Attack,,,,,,
Klefki,132,stat_alignment,2,Calm,19.6%,Sp. Def,Attack,,,,,,
Klefki,132,stat_alignment,3,Modest,12.2%,Sp. Atk,Attack,,,,,,
Klefki,132,stat_alignment,4,Timid,3.5%,Speed,Attack,,,,,,
Klefki,132,stat_alignment,5,Relaxed,3.0%,Defense,Speed,,,,,,
Klefki,132,stat_alignment,6,Quiet,2.1%,Sp. Atk,Speed,,,,,,
Klefki,132,stat_alignment,7,Impish,2.1%,Defense,Sp. Atk,,,,,,
Klefki,132,stat_alignment,8,Sassy,1.8%,Sp. Def,Speed,,,,,,
Klefki,132,stat_alignment,9,Careful,1.1%,Sp. Def,Sp. Atk,,,,,,
Klefki,132,stat_alignment,10,Mild,0.5%,Sp. Atk,Defense,,,,,,
Klefki,132,stat_points,1,,26.1%,,,32,0,32,0,2,0
Klefki,132,stat_points,2,,6.0%,,,32,0,2,0,32,0
Klefki,132,stat_points,3,,5.7%,,,2,0,32,0,32,0
Klefki,132,stat_points,4,,3.1%,,,32,0,21,0,13,0
Klefki,132,stat_points,5,,2.1%,,,32,0,0,32,2,0
Klefki,132,stat_points,6,,2.1%,,,32,0,2,32,0,0
Klefki,132,stat_points,7,,2.1%,,,32,0,19,0,15,0
Klefki,132,stat_points,8,,1.6%,,,32,0,9,0,25,0
Klefki,132,stat_points,9,,1.6%,,,0,0,2,32,32,0
Klefki,132,stat_points,10,,1.6%,,,32,0,32,2,0,0
Klefki,132,stat_points,11,,1.3%,,,32,0,32,0,0,0
Klefki,132,stat_points,12,,1.3%,,,32,0,17,0,17,0
Klefki,132,ability,1,Prankster,99.0%,,,,,,,,
Klefki,132,ability,2,Magician,1.0%,,,,,,,,
