pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Kommo-o,152,move,1,Clanging Scales,58.3%,,,,,,,,
Kommo-o,152,move,2,Clangorous Soul,54.0%,,,,,,,,
Kommo-o,152,move,3,Aura Sphere,30.9%,,,,,,,,
Kommo-o,152,move,4,Flamethrower,30.9%,,,,,,,,
Kommo-o,152,move,5,Drain Punch,28.0%,,,,,,,,
Kommo-o,152,move,6,Vacuum Wave,26.5%,,,,,,,,
Kommo-o,152,move,7,Flash Cannon,20.1%,,,,,,,,
Kommo-o,152,move,8,Earthquake,14.7%,,,,,,,,
Kommo-o,152,move,9,Boomburst,9.2%,,,,,,,,
Kommo-o,152,move,10,Iron Head,9.0%,,,,,,,,
Kommo-o,152,held_item,1,Sitrus Berry,32.3%,,,,,,,,
Kommo-o,152,held_item,2,Focus Sash,13.1%,,,,,,,,
Kommo-o,152,held_item,3,Leftovers,12.1%,,,,,,,,
Kommo-o,152,held_item,4,Life Orb,,,,,,,,,
Kommo-o,152,held_item,5,Lum Berry,5.2%,,,,,,,,
Kommo-o,152,held_item,6,Roseli Berry,4.6%,,,,,,,,
Kommo-o,152,held_item,7,Haban Berry,4.4%,,,,,,,,
Kommo-o,152,held_item,8,Choice Scarf,4.1%,,,,,,,,
Kommo-o,152,held_item,9,Expert Belt,2.3%,,,,,,,,
Kommo-o,152,held_item,10,White Herb,1.8%,,,,,,,,
Kommo-o,152,teammate,1,Metagross,,,,,,,,,
Kommo-o,152,teammate,2,Raichu,,,,,,,,,
Kommo-o,152,teammate,3,Meowscarada,,,,,,,,,
Kommo-o,152,teammate,4,Charizard,,,,,,,,,
Kommo-o,152,teammate,5,Garchomp,,,,,,,,,
Kommo-o,152,teammate,6,Mimikyu,,,,,,,,,
Kommo-o,152,teammate,7,Staraptor,,,,,,,,,
Kommo-o,152,teammate,8,Archaludon,,,,,,,,,
Kommo-o,152,teammate,9,Gyarados,,,,,,,,,
Kommo-o,152,teammate,10,Basculegion Male,,,,,,,,,
Kommo-o,152,stat_alignment,1,Modest,34.1%,Sp. Atk,Attack,,,,,,
Kommo-o,152,stat_alignment,2,Timid,17.4%,Speed,Attack,,,,,,
Kommo-o,152,stat_alignment,3,Adamant,14.5%,Attack,Sp. Atk,,,,,,
Kommo-o,152,stat_alignment,4,Jolly,13.4%,Speed,Sp. Atk,,,,,,
Kommo-o,152,stat_alignment,5,Bold,4.3%,Defense,Attack,,,,,,
Kommo-o,152,stat_alignment,6,Impish,4.0%,Defense,Sp. Atk,,,,,,
Kommo-o,152,stat_alignment,7,Careful,1.9%,Sp. Def,Sp. Atk,,,,,,
Kommo-o,152,stat_alignment,8,Hasty,1.9%,Speed,Defense,,,,,,
Kommo-o,152,stat_alignment,9,Quiet,1.5%,Sp. Atk,Speed,,,,,,
Kommo-o,152,stat_alignment,10,Mild,1.2%,Sp. Atk,Defense,,,,,,
Kommo-o,152,stat_points,1,,15.8%,,,2,0,0,32,0,32
Kommo-o,152,stat_points,2,,8.0%,,,2,32,0,0,0,32
Kommo-o,152,stat_points,3,,3.4%,,,0,0,0,32,2,32
Kommo-o,152,stat_points,4,,3.1%,,,32,0,0,32,0,2
Kommo-o,152,stat_points,5,,2.5%,,,0,0,2,32,0,32
Kommo-o,152,stat_points,6,,2.0%,,,1,0,1,32,0,32
Kommo-o,152,stat_points,7,,1.5%,,,0,32,0,0,2,32
Kommo-o,152,stat_points,8,,1.5%,,,1,0,0,32,1,32
Kommo-o,152,stat_points,9,,1.4%,,,0,0,32,32,0,2
Kommo-o,152,stat_points,10,,1.4%,,,2,0,32,32,0,0
Kommo-o,152,stat_points,11,,1.4%,,,7,0,1,32,1,25
Kommo-o,152,stat_points,12,,1.3%,,,31,0,0,32,0,3
Kommo-o,152,ability,1,Bulletproof,67.8%,,,,,,,,
Kommo-o,152,ability,2,Soundproof,21.2%,,,,,,,,
Kommo-o,152,ability,3,Overcoat,11.0%,,,,,,,,
