pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Leafeon,187,move,1,Leaf Blade,67.7%,,,,,,,,
Leafeon,187,move,2,Knock Off,55.8%,,,,,,,,
Leafeon,187,move,3,Swords Dance,36.0%,,,,,,,,
Leafeon,187,move,4,Leech Seed,35.3%,,,,,,,,
Leafeon,187,move,5,Solar Blade,31.2%,,,,,,,,
Leafeon,187,move,6,Yawn,27.4%,,,,,,,,
Leafeon,187,move,7,Synthesis,26.1%,,,,,,,,
Leafeon,187,move,8,Protect,17.0%,,,,,,,,
Leafeon,187,move,9,Sunny Day,12.2%,,,,,,,,
Leafeon,187,move,10,Charm,10.4%,,,,,,,,
Leafeon,187,held_item,1,Leftovers,27.8%,,,,,,,,
Leafeon,187,held_item,2,Life Orb,18.6%,,,,,,,,
Leafeon,187,held_item,3,Sitrus Berry,14.3%,,,,,,,,
Leafeon,187,held_item,4,Miracle Seed,8.1%,,,,,,,,
Leafeon,187,held_item,5,Focus Sash,7.0%,,,,,,,,
Leafeon,187,held_item,6,Lum Berry,4.7%,,,,,,,,
Leafeon,187,held_item,7,Big Root,2.9%,,,,,,,,
Leafeon,187,held_item,8,Scope Lens,2.9%,,,,,,,,
Leafeon,187,held_item,9,Bright Powder,2.7%,,,,,,,,
Leafeon,187,held_item,10,Quick Claw,1.4%,,,,,,,,
Leafeon,187,teammate,1,Charizard,,,,,,,,,
Leafeon,187,teammate,2,Garchomp,,,,,,,,,
Leafeon,187,teammate,3,Umbreon,,,,,,,,,
Leafeon,187,teammate,4,Sylveon,,,,,,,,,
Leafeon,187,teammate,5,Mimikyu,,,,,,,,,
Leafeon,187,teammate,6,Espeon,,,,,,,,,
Leafeon,187,teammate,7,Vaporeon,,,,,,,,,
Leafeon,187,teammate,8,Raichu,,,,,,,,,
Leafeon,187,teammate,9,Metagross,,,,,,,,,
Leafeon,187,teammate,10,Jolteon,,,,,,,,,
Leafeon,187,stat_alignment,1,Impish,41.1%,Defense,Sp. Atk,,,,,,
Leafeon,187,stat_alignment,2,Adamant,36.9%,Attack,Sp. Atk,,,,,,
Leafeon,187,stat_alignment,3,Jolly,11.1%,Speed,Sp. Atk,,,,,,
Leafeon,187,stat_alignment,4,Careful,3.4%,Sp. Def,Sp. Atk,,,,,,
Leafeon,187,stat_alignment,5,Naughty,1.5%,Attack,Sp. Def,,,,,,
Leafeon,187,stat_alignment,6,Bold,1.3%,Defense,Attack,,,,,,
Leafeon,187,stat_alignment,7,Relaxed,1.1%,Defense,Speed,,,,,,
Leafeon,187,stat_alignment,8,Lonely,0.7%,Attack,Defense,,,,,,
Leafeon,187,stat_alignment,9,Naive,0.5%,Speed,Sp. Def,,,,,,
Leafeon,187,stat_alignment,10,Mild,0.5%,Sp. Atk,Defense,,,,,,
Leafeon,187,stat_points,1,,10.5%,,,2,32,0,0,0,32
Leafeon,187,stat_points,2,,9.2%,,,32,0,32,0,2,0
Leafeon,187,stat_points,3,,8.1%,,,32,2,32,0,0,0
Leafeon,187,stat_points,4,,7.7%,,,32,0,32,0,0,2
Leafeon,187,stat_points,5,,4.8%,,,1,32,1,0,0,32
Leafeon,187,stat_points,6,,3.4%,,,0,32,2,0,0,32
Leafeon,187,stat_points,7,,2.6%,,,32,32,2,0,0,0
Leafeon,187,stat_points,8,,2.5%,,,32,32,0,0,0,2
Leafeon,187,stat_points,9,,2.5%,,,0,32,0,0,2,32
Leafeon,187,stat_points,10,,2.0%,,,32,0,32,0,0,0
Leafeon,187,stat_points,11,,1.9%,,,0,32,32,0,0,2
Leafeon,187,stat_points,12,,1.8%,,,4,32,0,0,0,30
Leafeon,187,ability,1,Chlorophyll,89.7%,,,,,,,,
Leafeon,187,ability,2,Leaf Guard,10.3%,,,,,,,,
