pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Lucario,46,move,1,Close Combat,64.5%,,,,,,,,
Lucario,46,move,2,Bullet Punch,49.1%,,,,,,,,
Lucario,46,move,3,Swords Dance,46.3%,,,,,,,,
Lucario,46,move,4,Meteor Mash,39.3%,,,,,,,,
Lucario,46,move,5,Vacuum Wave,29.2%,,,,,,,,
Lucario,46,move,6,Aura Sphere,28.9%,,,,,,,,
Lucario,46,move,7,Flash Cannon,24.9%,,,,,,,,
Lucario,46,move,8,Extreme Speed,20.1%,,,,,,,,
Lucario,46,move,9,Earthquake,18.8%,,,,,,,,
Lucario,46,move,10,Nasty Plot,18.2%,,,,,,,,
Lucario,46,held_item,1,Lucarionite,91.3%,,,,,,,,
Lucario,46,held_item,2,Focus Sash,4.3%,,,,,,,,
Lucario,46,held_item,3,Choice Scarf,1.3%,,,,,,,,
Lucario,46,held_item,4,Life Orb,1.0%,,,,,,,,
Lucario,46,held_item,5,Quick Claw,0.3%,,,,,,,,
Lucario,46,held_item,6,Expert Belt,0.2%,,,,,,,,
Lucario,46,held_item,7,Black Belt,0.1%,,,,,,,,
Lucario,46,held_item,8,Sitrus Berry,0.1%,,,,,,,,
Lucario,46,held_item,9,Lum Berry,0.1%,,,,,,,,
Lucario,46,held_item,10,Focus Band,0.1%,,,,,,,,
Lucario,46,teammate,1,Garchomp,,,,,,,,,
Lucario,46,teammate,2,Meowscarada,,,,,,,,,
Lucario,46,teammate,3,Hippowdon,,,,,,,,,
Lucario,46,teammate,4,Mimikyu,,,,,,,,,
Lucario,46,teammate,5,Charizard,,,,,,,,,
Lucario,46,teammate,6,Dragonite,,,,,,,,,
Lucario,46,teammate,7,Primarina,,,,,,,,,
Lucario,46,teammate,8,Archaludon,,,,,,,,,
Lucario,46,teammate,9,Gyarados,,,,,,,,,
Lucario,46,teammate,10,Basculegion Male,,,,,,,,,
Lucario,46,stat_alignment,1,Jolly,53.9%,Speed,Sp. Atk,,,,,,
Lucario,46,stat_alignment,2,Timid,24.8%,Speed,Attack,,,,,,
Lucario,46,stat_alignment,3,Adamant,10.1%,Attack,Sp. Atk,,,,,,
Lucario,46,stat_alignment,4,Modest,3.7%,Sp. Atk,Attack,,,,,,
Lucario,46,stat_alignment,5,Naive,2.5%,Speed,Sp. Def,,,,,,
Lucario,46,stat_alignment,6,Hasty,0.8%,Speed,Defense,,,,,,
Lucario,46,stat_alignment,7,Naughty,0.7%,Attack,Sp. Def,,,,,,
Lucario,46,stat_alignment,8,Lonely,0.4%,Attack,Defense,,,,,,
Lucario,46,stat_alignment,9,Rash,0.2%,Sp. Atk,Sp. Def,,,,,,
Lucario,46,stat_alignment,10,Mild,0.2%,Sp. Atk,Defense,,,,,,
Lucario,46,stat_points,1,,48.4%,,,2,32,0,0,0,32
Lucario,46,stat_points,2,,24.8%,,,2,0,0,32,0,32
Lucario,46,stat_points,3,,4.3%,,,0,32,2,0,0,32
Lucario,46,stat_points,4,,2.0%,,,2,27,9,0,0,28
Lucario,46,stat_points,5,,1.8%,,,0,32,0,0,2,32
Lucario,46,stat_points,6,,1.7%,,,0,0,2,32,0,32
Lucario,46,stat_points,7,,1.3%,,,0,32,0,0,0,32
Lucario,46,stat_points,8,,1.1%,,,0,32,1,0,1,32
Lucario,46,stat_points,9,,0.9%,,,0,0,0,32,2,32
Lucario,46,stat_points,10,,0.6%,,,32,0,2,0,0,32
Lucario,46,stat_points,11,,0.6%,,,0,2,0,32,0,32
Lucario,46,stat_points,12,,0.6%,,,0,0,0,32,0,32
Lucario,46,ability,1,Inner Focus,84.2%,,,,,,,,
Lucario,46,ability,2,Steadfast,7.9%,,,,,,,,
Lucario,46,ability,3,Justified,7.9%,,,,,,,,
