pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Luxray,200,move,1,Ice Fang,65.9%,,,,,,,,
Luxray,200,move,2,Supercell Slam,60.2%,,,,,,,,
Luxray,200,move,3,Volt Switch,46.3%,,,,,,,,
Luxray,200,move,4,Superpower,35.1%,,,,,,,,
Luxray,200,move,5,Quick Attack,25.9%,,,,,,,,
Luxray,200,move,6,Psychic Fangs,22.3%,,,,,,,,
Luxray,200,move,7,Baby-Doll Eyes,18.6%,,,,,,,,
Luxray,200,move,8,Thunder Wave,17.9%,,,,,,,,
Luxray,200,move,9,Wild Charge,17.9%,,,,,,,,
Luxray,200,move,10,Play Rough,12.4%,,,,,,,,
Luxray,200,held_item,1,Sitrus Berry,31.3%,,,,,,,,
Luxray,200,held_item,2,Shuca Berry,20.0%,,,,,,,,
Luxray,200,held_item,3,Life Orb,10.3%,,,,,,,,
Luxray,200,held_item,4,Choice Scarf,9.2%,,,,,,,,
Luxray,200,held_item,5,Focus Sash,6.1%,,,,,,,,
Luxray,200,held_item,6,Leftovers,5.8%,,,,,,,,
Luxray,200,held_item,7,Expert Belt,4.9%,,,,,,,,
Luxray,200,held_item,8,Quick Claw,3.2%,,,,,,,,
Luxray,200,held_item,9,Magnet,1.6%,,,,,,,,
Luxray,200,held_item,10,Damp Rock,1.5%,,,,,,,,
Luxray,200,teammate,1,Garchomp,,,,,,,,,
Luxray,200,teammate,2,Staraptor,,,,,,,,,
Luxray,200,teammate,3,Charizard,,,,,,,,,
Luxray,200,teammate,4,Dragonite,,,,,,,,,
Luxray,200,teammate,5,Meowscarada,,,,,,,,,
Luxray,200,teammate,6,Raichu,,,,,,,,,
Luxray,200,teammate,7,Hydreigon,,,,,,,,,
Luxray,200,teammate,8,Corviknight,,,,,,,,,
Luxray,200,teammate,9,Primarina,,,,,,,,,
Luxray,200,teammate,10,Gyarados,,,,,,,,,
Luxray,200,stat_alignment,1,Adamant,16.6%,Attack,Sp. Atk,,,,,,
Luxray,200,stat_alignment,2,Impish,15.6%,Defense,Sp. Atk,,,,,,
Luxray,200,stat_alignment,3,Jolly,11.9%,Speed,Sp. Atk,,,,,,
Luxray,200,stat_alignment,4,Relaxed,5.3%,Defense,Speed,,,,,,
Luxray,200,stat_alignment,5,Bold,4.9%,Defense,Attack,,,,,,
Luxray,200,stat_alignment,6,Brave,2.9%,Attack,Speed,,,,,,
Luxray,200,stat_alignment,7,Calm,2.2%,Sp. Def,Attack,,,,,,
Luxray,200,stat_alignment,8,Careful,2.1%,Sp. Def,Sp. Atk,,,,,,
Luxray,200,stat_alignment,9,Sassy,1.8%,Sp. Def,Speed,,,,,,
Luxray,200,stat_alignment,10,Naughty,1.6%,Attack,Sp. Def,,,,,,
Luxray,200,stat_points,1,,13.5%,,,2,32,0,0,0,32
Luxray,200,stat_points,2,,8.6%,,,32,32,2,0,0,0
Luxray,200,stat_points,3,,8.6%,,,32,32,1,0,1,0
Luxray,200,stat_points,4,,7.4%,,,32,0,32,0,2,0
Luxray,200,stat_points,5,,4.2%,,,32,2,32,0,0,0
Luxray,200,stat_points,6,,4.1%,,,32,32,0,0,0,2
Luxray,200,stat_points,7,,3.9%,,,20,26,0,0,20,0
Luxray,200,stat_points,8,,2.8%,,,2,32,32,0,0,0
Luxray,200,stat_points,9,,2.1%,,,32,0,32,0,0,0
Luxray,200,stat_points,10,,2.1%,,,0,32,2,0,0,32
Luxray,200,stat_points,11,,1.7%,,,32,0,32,0,0,2
Luxray,200,stat_points,12,,1.7%,,,0,32,32,0,2,0
Luxray,200,ability,1,Intimidate,92.2%,,,,,,,,
Luxray,200,ability,2,Guts,5.0%,,,,,,,,
Luxray,200,ability,3,Rivalry,2.8%,,,,,,,,
