pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Lycanroc Dusk Form,139,move,1,Accelerock,93.9%,,,,,,,,
Lycanroc Dusk Form,139,move,2,Close Combat,63.0%,,,,,,,,
Lycanroc Dusk Form,139,move,3,Stealth Rock,33.5%,,,,,,,,
Lycanroc Dusk Form,139,move,4,Endeavor,29.2%,,,,,,,,
Lycanroc Dusk Form,139,move,5,Counter,27.4%,,,,,,,,
Lycanroc Dusk Form,139,move,6,Drill Run,19.4%,,,,,,,,
Lycanroc Dusk Form,139,move,7,Swords Dance,14.6%,,,,,,,,
Lycanroc Dusk Form,139,move,8,Play Rough,14.1%,,,,,,,,
Lycanroc Dusk Form,139,move,9,Sucker Punch,13.8%,,,,,,,,
Lycanroc Dusk Form,139,move,10,Psychic Fangs,12.0%,,,,,,,,
Lycanroc Dusk Form,139,held_item,1,Focus Sash,83.8%,,,,,,,,
Lycanroc Dusk Form,139,held_item,2,Life Orb,8.1%,,,,,,,,
Lycanroc Dusk Form,139,held_item,3,Choice Scarf,1.7%,,,,,,,,
Lycanroc Dusk Form,139,held_item,4,Expert Belt,1.6%,,,,,,,,
Lycanroc Dusk Form,139,held_item,5,Hard Stone,1.4%,,,,,,,,
Lycanroc Dusk Form,139,held_item,6,Muscle Band,0.6%,,,,,,,,
Lycanroc Dusk Form,139,held_item,7,Wide Lens,0.4%,,,,,,,,
Lycanroc Dusk Form,139,held_item,8,Quick Claw,0.3%,,,,,,,,
Lycanroc Dusk Form,139,held_item,9,Black Glasses,0.3%,,,,,,,,
Lycanroc Dusk Form,139,held_item,10,King's Rock,0.2%,,,,,,,,
Lycanroc Dusk Form,139,teammate,1,Meowscarada,,,,,,,,,
Lycanroc Dusk Form,139,teammate,2,Raichu,,,,,,,,,
Lycanroc Dusk Form,139,teammate,3,Garchomp,,,,,,,,,
Lycanroc Dusk Form,139,teammate,4,Mimikyu,,,,,,,,,
Lycanroc Dusk Form,139,teammate,5,Charizard,,,,,,,,,
Lycanroc Dusk Form,139,teammate,6,Staraptor,,,,,,,,,
Lycanroc Dusk Form,139,teammate,7,Metagross,,,,,,,,,
Lycanroc Dusk Form,139,teammate,8,Alolan Ninetales,,,,,,,,,
Lycanroc Dusk Form,139,teammate,9,Archaludon,,,,,,,,,
Lycanroc Dusk Form,139,teammate,10,Rotom Wash,,,,,,,,,
Lycanroc Dusk Form,139,stat_alignment,1,Jolly,57.9%,Speed,Sp. Atk,,,,,,
Lycanroc Dusk Form,139,stat_alignment,2,Adamant,34.8%,Attack,Sp. Atk,,,,,,
Lycanroc Dusk Form,139,stat_alignment,3,Hasty,3.0%,Speed,Defense,,,,,,
Lycanroc Dusk Form,139,stat_alignment,4,Naive,1.5%,Speed,Sp. Def,,,,,,
Lycanroc Dusk Form,139,stat_alignment,5,Naughty,1.2%,Attack,Sp. Def,,,,,,
Lycanroc Dusk Form,139,stat_alignment,6,Lonely,1.0%,Attack,Defense,,,,,,
Lycanroc Dusk Form,139,stat_alignment,7,Brave,0.4%,Attack,Speed,,,,,,
Lycanroc Dusk Form,139,stat_alignment,8,Careful,0.1%,Sp. Def,Sp. Atk,,,,,,
Lycanroc Dusk Form,139,stat_alignment,9,Quiet,0.0%,Sp. Atk,Speed,,,,,,
Lycanroc Dusk Form,139,stat_alignment,10,Timid,0.0%,Speed,Attack,,,,,,
Lycanroc Dusk Form,139,stat_points,1,,54.6%,,,2,32,0,0,0,32
Lycanroc Dusk Form,139,stat_points,2,,8.6%,,,0,32,2,0,0,32
Lycanroc Dusk Form,139,stat_points,3,,8.4%,,,1,32,1,0,0,32
Lycanroc Dusk Form,139,stat_points,4,,5.9%,,,0,32,0,0,2,32
Lycanroc Dusk Form,139,stat_points,5,,5.2%,,,0,32,0,0,0,32
Lycanroc Dusk Form,139,stat_points,6,,4.0%,,,1,32,0,0,1,32
Lycanroc Dusk Form,139,stat_points,7,,3.0%,,,1,32,0,0,0,32
Lycanroc Dusk Form,139,stat_points,8,,1.7%,,,0,32,1,0,1,32
Lycanroc Dusk Form,139,stat_points,9,,0.8%,,,32,32,0,0,0,2
Lycanroc Dusk Form,139,stat_points,10,,0.5%,,,9,32,0,0,0,25
Lycanroc Dusk Form,139,stat_points,11,,0.5%,,,32,32,2,0,0,0
Lycanroc Dusk Form,139,ability,1,Tough Claws,100.0%,,,,,,,,
