pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Lycanroc Midnight Form,220,move,1,Stone Edge,59.9%,,,,,,,,
Lycanroc Midnight Form,220,move,2,Sucker Punch,59.3%,,,,,,,,
Lycanroc Midnight Form,220,move,3,Close Combat,47.3%,,,,,,,,
Lycanroc Midnight Form,220,move,4,Counter,36.9%,,,,,,,,
Lycanroc Midnight Form,220,move,5,Stealth Rock,22.8%,,,,,,,,
Lycanroc Midnight Form,220,move,6,Endeavor,21.0%,,,,,,,,
Lycanroc Midnight Form,220,move,7,Rock Slide,19.9%,,,,,,,,
Lycanroc Midnight Form,220,move,8,Iron Tail,19.8%,,,,,,,,
Lycanroc Midnight Form,220,move,9,Upper Hand,14.0%,,,,,,,,
Lycanroc Midnight Form,220,move,10,Zen Headbutt,14.0%,,,,,,,,
Lycanroc Midnight Form,220,held_item,1,Focus Sash,60.5%,,,,,,,,
Lycanroc Midnight Form,220,held_item,2,White Herb,13.7%,,,,,,,,
Lycanroc Midnight Form,220,held_item,3,Choice Scarf,7.4%,,,,,,,,
Lycanroc Midnight Form,220,held_item,4,Sitrus Berry,5.4%,,,,,,,,
Lycanroc Midnight Form,220,held_item,5,Life Orb,3.6%,,,,,,,,
Lycanroc Midnight Form,220,held_item,6,Scope Lens,1.9%,,,,,,,,
Lycanroc Midnight Form,220,held_item,7,Bright Powder,1.4%,,,,,,,,
Lycanroc Midnight Form,220,held_item,8,Light Ball,1.1%,,,,,,,,
Lycanroc Midnight Form,220,held_item,9,Focus Band,0.8%,,,,,,,,
Lycanroc Midnight Form,220,held_item,10,Passho Berry,0.7%,,,,,,,,
Lycanroc Midnight Form,220,teammate,1,Kingambit,,,,,,,,,
Lycanroc Midnight Form,220,teammate,2,Raichu,,,,,,,,,
Lycanroc Midnight Form,220,teammate,3,Pidgeot,,,,,,,,,
Lycanroc Midnight Form,220,teammate,4,Greninja,,,,,,,,,
Lycanroc Midnight Form,220,teammate,5,Alolan Ninetales,,,,,,,,,
Lycanroc Midnight Form,220,teammate,6,Dragonite,,,,,,,,,
Lycanroc Midnight Form,220,teammate,7,Staraptor,,,,,,,,,
Lycanroc Midnight Form,220,teammate,8,Sceptile,,,,,,,,,
Lycanroc Midnight Form,220,teammate,9,Garchomp,,,,,,,,,
Lycanroc Midnight Form,220,teammate,10,Mimikyu,,,,,,,,,
Lycanroc Midnight Form,220,stat_alignment,1,Adamant,36.2%,Attack,Sp. Atk,,,,,,
Lycanroc Midnight Form,220,stat_alignment,2,Jolly,33.1%,Speed,Sp. Atk,,,,,,
Lycanroc Midnight Form,220,stat_alignment,3,Careful,15.6%,Sp. Def,Sp. Atk,,,,,,
Lycanroc Midnight Form,220,stat_alignment,4,Impish,4.3%,Defense,Sp. Atk,,,,,,
Lycanroc Midnight Form,220,stat_alignment,5,Lonely,3.7%,Attack,Defense,,,,,,
Lycanroc Midnight Form,220,stat_alignment,6,Hasty,3.1%,Speed,Defense,,,,,,
Lycanroc Midnight Form,220,stat_alignment,7,Docile,0.9%,,,,,,,,
Lycanroc Midnight Form,220,stat_alignment,8,Relaxed,0.8%,Defense,Speed,,,,,,
Lycanroc Midnight Form,220,stat_alignment,9,Naive,0.8%,Speed,Sp. Def,,,,,,
Lycanroc Midnight Form,220,stat_alignment,10,Brave,0.7%,Attack,Speed,,,,,,
Lycanroc Midnight Form,220,stat_points,1,,27.8%,,,2,32,0,0,0,32
Lycanroc Midnight Form,220,stat_points,2,,14.7%,,,1,32,1,0,0,32
Lycanroc Midnight Form,220,stat_points,3,,13.4%,,,0,32,9,0,15,10
Lycanroc Midnight Form,220,stat_points,4,,7.5%,,,0,32,0,0,2,32
Lycanroc Midnight Form,220,stat_points,5,,4.7%,,,0,32,2,0,0,32
Lycanroc Midnight Form,220,stat_points,6,,3.8%,,,0,32,0,0,0,32
Lycanroc Midnight Form,220,stat_points,7,,3.0%,,,0,6,25,0,25,10
Lycanroc Midnight Form,220,stat_points,8,,2.8%,,,32,0,32,0,0,2
Lycanroc Midnight Form,220,stat_points,9,,1.8%,,,1,32,0,0,1,32
Lycanroc Midnight Form,220,stat_points,10,,1.4%,,,1,32,0,0,0,32
Lycanroc Midnight Form,220,stat_points,11,,1.3%,,,32,32,0,0,0,0
Lycanroc Midnight Form,220,stat_points,12,,1.1%,,,27,0,32,0,0,6
Lycanroc Midnight Form,220,ability,1,No Guard,79.8%,,,,,,,,
Lycanroc Midnight Form,220,ability,2,Vital Spirit,18.6%,,,,,,,,
Lycanroc Midnight Form,220,ability,3,Keen Eye,1.6%,,,,,,,,
