pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Lycanroc,219,move,1,Accelerock,79.8%,,,,,,,,
Lycanroc,219,move,2,Close Combat,50.8%,,,,,,,,
Lycanroc,219,move,3,Endeavor,46.7%,,,,,,,,
Lycanroc,219,move,4,Stealth Rock,45.7%,,,,,,,,
Lycanroc,219,move,5,Stone Edge,22.2%,,,,,,,,
Lycanroc,219,move,6,Taunt,20.8%,,,,,,,,
Lycanroc,219,move,7,Rock Slide,19.4%,,,,,,,,
Lycanroc,219,move,8,Drill Run,18.6%,,,,,,,,
Lycanroc,219,move,9,Psychic Fangs,11.5%,,,,,,,,
Lycanroc,219,move,10,Play Rough,11.0%,,,,,,,,
Lycanroc,219,held_item,1,Focus Sash,83.4%,,,,,,,,
Lycanroc,219,held_item,2,Life Orb,5.7%,,,,,,,,
Lycanroc,219,held_item,3,Choice Scarf,4.5%,,,,,,,,
Lycanroc,219,held_item,4,Hard Stone,1.0%,,,,,,,,
Lycanroc,219,held_item,5,Muscle Band,1.0%,,,,,,,,
Lycanroc,219,held_item,6,Metronome,0.7%,,,,,,,,
Lycanroc,219,held_item,7,Shuca Berry,0.5%,,,,,,,,
Lycanroc,219,held_item,8,Lum Berry,0.5%,,,,,,,,
Lycanroc,219,held_item,9,Expert Belt,0.4%,,,,,,,,
Lycanroc,219,held_item,10,Sitrus Berry,0.3%,,,,,,,,
Lycanroc,219,teammate,1,Garchomp,,,,,,,,,
Lycanroc,219,teammate,2,Raichu,,,,,,,,,
Lycanroc,219,teammate,3,Meowscarada,,,,,,,,,
Lycanroc,219,teammate,4,Dragonite,,,,,,,,,
Lycanroc,219,teammate,5,Archaludon,,,,,,,,,
Lycanroc,219,teammate,6,Hippowdon,,,,,,,,,
Lycanroc,219,teammate,7,Tyranitar,,,,,,,,,
Lycanroc,219,teammate,8,Staraptor,,,,,,,,,
Lycanroc,219,teammate,9,Gyarados,,,,,,,,,
Lycanroc,219,teammate,10,Mimikyu,,,,,,,,,
Lycanroc,219,stat_alignment,1,Jolly,59.8%,Speed,Sp. Atk,,,,,,
Lycanroc,219,stat_alignment,2,Adamant,33.4%,Attack,Sp. Atk,,,,,,
Lycanroc,219,stat_alignment,3,Hasty,3.8%,Speed,Defense,,,,,,
Lycanroc,219,stat_alignment,4,Naive,1.1%,Speed,Sp. Def,,,,,,
Lycanroc,219,stat_alignment,5,Naughty,0.8%,Attack,Sp. Def,,,,,,
Lycanroc,219,stat_alignment,6,Serious,0.4%,,,,,,,,
Lycanroc,219,stat_alignment,7,Impish,0.3%,Defense,Sp. Atk,,,,,,
Lycanroc,219,stat_alignment,8,Brave,0.2%,Attack,Speed,,,,,,
Lycanroc,219,stat_alignment,9,Relaxed,0.1%,Defense,Speed,,,,,,
Lycanroc,219,stat_alignment,10,Lonely,0.1%,Attack,Defense,,,,,,
Lycanroc,219,stat_points,1,,50.0%,,,2,32,0,0,0,32
Lycanroc,219,stat_points,2,,10.5%,,,0,32,2,0,0,32
Lycanroc,219,stat_points,3,,6.0%,,,1,32,1,0,0,32
Lycanroc,219,stat_points,4,,5.6%,,,0,32,0,0,0,32
Lycanroc,219,stat_points,5,,4.7%,,,0,32,0,0,2,32
Lycanroc,219,stat_points,6,,3.1%,,,1,32,0,0,0,32
Lycanroc,219,stat_points,7,,3.1%,,,0,32,1,0,0,32
Lycanroc,219,stat_points,8,,2.2%,,,1,32,0,0,1,32
Lycanroc,219,stat_points,9,,1.4%,,,0,32,5,0,5,24
Lycanroc,219,stat_points,10,,1.2%,,,0,32,1,0,1,32
Lycanroc,219,stat_points,11,,1.0%,,,3,32,0,0,0,31
Lycanroc,219,stat_points,12,,0.9%,,,32,2,0,0,0,32
Lycanroc,219,ability,1,Sand Rush,47.5%,,,,,,,,
Lycanroc,219,ability,2,Steadfast,33.5%,,,,,,,,
Lycanroc,219,ability,3,Keen Eye,18.9%,,,,,,,,
