pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Machamp,153,move,1,Dynamic Punch,85.9%,,,,,,,,
Machamp,153,move,2,Bullet Punch,81.1%,,,,,,,,
Machamp,153,move,3,Stone Edge,70.0%,,,,,,,,
Machamp,153,move,4,Ice Punch,65.7%,,,,,,,,
Machamp,153,move,5,Knock Off,17.0%,,,,,,,,
Machamp,153,move,6,Earthquake,14.5%,,,,,,,,
Machamp,153,move,7,Darkest Lariat,7.9%,,,,,,,,
Machamp,153,move,8,Thunder Punch,6.6%,,,,,,,,
Machamp,153,move,9,Drain Punch,5.9%,,,,,,,,
Machamp,153,move,10,Close Combat,4.5%,,,,,,,,
Machamp,153,held_item,1,Quick Claw,27.2%,,,,,,,,
Machamp,153,held_item,2,Focus Sash,14.3%,,,,,,,,
Machamp,153,held_item,3,Life Orb,12.2%,,,,,,,,
Machamp,153,held_item,4,Sitrus Berry,9.9%,,,,,,,,
Machamp,153,held_item,5,Choice Scarf,5.7%,,,,,,,,
Machamp,153,held_item,6,Leftovers,5.1%,,,,,,,,
Machamp,153,held_item,7,Expert Belt,4.8%,,,,,,,,
Machamp,153,held_item,8,Lum Berry,4.5%,,,,,,,,
Machamp,153,held_item,9,Muscle Band,3.9%,,,,,,,,
Machamp,153,held_item,10,Black Belt,2.6%,,,,,,,,
Machamp,153,teammate,1,Raichu,,,,,,,,,
Machamp,153,teammate,2,Garchomp,,,,,,,,,
Machamp,153,teammate,3,Charizard,,,,,,,,,
Machamp,153,teammate,4,Dragonite,,,,,,,,,
Machamp,153,teammate,5,Gengar,,,,,,,,,
Machamp,153,teammate,6,Meowscarada,,,,,,,,,
Machamp,153,teammate,7,Kingambit,,,,,,,,,
Machamp,153,teammate,8,Basculegion Male,,,,,,,,,
Machamp,153,teammate,9,Archaludon,,,,,,,,,
Machamp,153,teammate,10,Mimikyu,,,,,,,,,
Machamp,153,stat_alignment,1,Adamant,84.5%,Attack,Sp. Atk,,,,,,
Machamp,153,stat_alignment,2,Jolly,6.9%,Speed,Sp. Atk,,,,,,
Machamp,153,stat_alignment,3,Brave,3.5%,Attack,Speed,,,,,,
Machamp,153,stat_alignment,4,Careful,1.8%,Sp. Def,Sp. Atk,,,,,,
Machamp,153,stat_alignment,5,Impish,1.2%,Defense,Sp. Atk,,,,,,
Machamp,153,stat_alignment,6,Lonely,0.7%,Attack,Defense,,,,,,
Machamp,153,stat_alignment,7,Relaxed,0.3%,Defense,Speed,,,,,,
Machamp,153,stat_alignment,8,Naughty,0.3%,Attack,Sp. Def,,,,,,
Machamp,153,stat_alignment,9,Timid,0.3%,Speed,Attack,,,,,,
Machamp,153,stat_alignment,10,Naive,0.2%,Speed,Sp. Def,,,,,,
Machamp,153,stat_points,1,,38.7%,,,32,32,0,0,0,2
Machamp,153,stat_points,2,,15.3%,,,32,32,2,0,0,0
Machamp,153,stat_points,3,,11.0%,,,2,32,0,0,0,32
Machamp,153,stat_points,4,,6.8%,,,32,32,0,0,2,0
Machamp,153,stat_points,5,,1.6%,,,0,32,2,0,0,32
Machamp,153,stat_points,6,,1.4%,,,2,32,32,0,0,0
Machamp,153,stat_points,7,,1.3%,,,2,32,0,0,32,0
Machamp,153,stat_points,8,,1.2%,,,0,32,0,0,0,32
Machamp,153,stat_points,9,,1.2%,,,15,26,15,0,10,0
Machamp,153,stat_points,10,,1.1%,,,32,32,0,0,0,0
Machamp,153,stat_points,11,,0.9%,,,32,32,1,0,1,0
Machamp,153,stat_points,12,,0.7%,,,30,20,9,0,7,0
Machamp,153,ability,1,No Guard,90.9%,,,,,,,,
Machamp,153,ability,2,Guts,8.7%,,,,,,,,
Machamp,153,ability,3,Steadfast,0.4%,,,,,,,,
