pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Maushold,87,move,1,Population Bomb,94.7%,,,,,,,,
Maushold,87,move,2,Tidy Up,84.8%,,,,,,,,
Maushold,87,move,3,Encore,58.7%,,,,,,,,
Maushold,87,move,4,Bite,41.7%,,,,,,,,
Maushold,87,move,5,Baton Pass,24.9%,,,,,,,,
Maushold,87,move,6,Bullet Seed,24.1%,,,,,,,,
Maushold,87,move,7,Play Rough,8.5%,,,,,,,,
Maushold,87,move,8,U-turn,6.6%,,,,,,,,
Maushold,87,move,9,Crunch,6.3%,,,,,,,,
Maushold,87,move,10,Super Fang,5.6%,,,,,,,,
Maushold,87,held_item,1,Wide Lens,61.0%,,,,,,,,
Maushold,87,held_item,2,King's Rock,19.9%,,,,,,,,
Maushold,87,held_item,3,Sitrus Berry,8.9%,,,,,,,,
Maushold,87,held_item,4,Focus Sash,3.4%,,,,,,,,
Maushold,87,held_item,5,Choice Scarf,1.4%,,,,,,,,
Maushold,87,held_item,6,Silk Scarf,1.4%,,,,,,,,
Maushold,87,held_item,7,Life Orb,0.6%,,,,,,,,
Maushold,87,held_item,8,Scope Lens,0.5%,,,,,,,,
Maushold,87,held_item,9,Metronome,0.5%,,,,,,,,
Maushold,87,held_item,10,Chople Berry,0.5%,,,,,,,,
Maushold,87,teammate,1,Garchomp,,,,,,,,,
Maushold,87,teammate,2,Raichu,,,,,,,,,
Maushold,87,teammate,3,Staraptor,,,,,,,,,
Maushold,87,teammate,4,Meowscarada,,,,,,,,,
Maushold,87,teammate,5,Mimikyu,,,,,,,,,
Maushold,87,teammate,6,Charizard,,,,,,,,,
Maushold,87,teammate,7,Basculegion Male,,,,,,,,,
Maushold,87,teammate,8,Archaludon,,,,,,,,,
Maushold,87,teammate,9,Metagross,,,,,,,,,
Maushold,87,teammate,10,Blaziken,,,,,,,,,
Maushold,87,stat_alignment,1,Jolly,71.1%,Speed,Sp. Atk,,,,,,
Maushold,87,stat_alignment,2,Adamant,16.3%,Attack,Sp. Atk,,,,,,
Maushold,87,stat_alignment,3,Impish,6.6%,Defense,Sp. Atk,,,,,,
Maushold,87,stat_alignment,4,Naive,0.9%,Speed,Sp. Def,,,,,,
Maushold,87,stat_alignment,5,Naughty,0.8%,Attack,Sp. Def,,,,,,
Maushold,87,stat_alignment,6,Hasty,0.8%,Speed,Defense,,,,,,
Maushold,87,stat_alignment,7,Careful,0.7%,Sp. Def,Sp. Atk,,,,,,
Maushold,87,stat_alignment,8,Bold,0.7%,Defense,Attack,,,,,,
Maushold,87,stat_alignment,9,Timid,0.5%,Speed,Attack,,,,,,
Maushold,87,stat_alignment,10,Lonely,0.5%,Attack,Defense,,,,,,
Maushold,87,stat_points,1,,54.7%,,,2,32,0,0,0,32
Maushold,87,stat_points,2,,11.2%,,,0,32,2,0,0,32
Maushold,87,stat_points,3,,5.9%,,,0,32,0,0,2,32
Maushold,87,stat_points,4,,3.5%,,,0,32,0,0,0,32
Maushold,87,stat_points,5,,2.3%,,,32,0,2,0,0,32
Maushold,87,stat_points,6,,1.9%,,,32,0,32,0,0,2
Maushold,87,stat_points,7,,1.1%,,,1,32,0,0,0,32
Maushold,87,stat_points,8,,1.0%,,,32,0,32,0,2,0
Maushold,87,stat_points,9,,0.9%,,,32,32,0,0,0,2
Maushold,87,stat_points,10,,0.9%,,,32,2,0,0,0,32
Maushold,87,stat_points,11,,0.7%,,,0,32,1,0,0,32
Maushold,87,stat_points,12,,0.6%,,,2,32,32,0,0,0
Maushold,87,ability,1,Technician,89.1%,,,,,,,,
Maushold,87,ability,2,Cheek Pouch,9.7%,,,,,,,,
Maushold,87,ability,3,Friend Guard,1.3%,,,,,,,,
