pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Mawile,26,move,1,Sucker Punch,98.8%,,,,,,,,
Mawile,26,move,2,Play Rough,98.8%,,,,,,,,
Mawile,26,move,3,Swords Dance,87.3%,,,,,,,,
Mawile,26,move,4,Iron Head,31.8%,,,,,,,,
Mawile,26,move,5,Ice Fang,25.9%,,,,,,,,
Mawile,26,move,6,Knock Off,21.9%,,,,,,,,
Mawile,26,move,7,Thunder Punch,21.5%,,,,,,,,
Mawile,26,move,8,Brick Break,4.0%,,,,,,,,
Mawile,26,move,9,Ice Punch,2.2%,,,,,,,,
Mawile,26,move,10,Psychic Fangs,2.0%,,,,,,,,
Mawile,26,held_item,1,Mawilite,99.6%,,,,,,,,
Mawile,26,held_item,2,Focus Sash,0.1%,,,,,,,,
Mawile,26,held_item,3,Life Orb,0.0%,,,,,,,,
Mawile,26,held_item,4,Sitrus Berry,0.0%,,,,,,,,
Mawile,26,held_item,5,Damp Rock,0.0%,,,,,,,,
Mawile,26,held_item,6,Leftovers,0.0%,,,,,,,,
Mawile,26,held_item,7,Quick Claw,0.0%,,,,,,,,
Mawile,26,held_item,8,Bright Powder,0.0%,,,,,,,,
Mawile,26,held_item,9,Light Ball,0.0%,,,,,,,,
Mawile,26,held_item,10,Focus Band,0.0%,,,,,,,,
Mawile,26,teammate,1,Mimikyu,,,,,,,,,
Mawile,26,teammate,2,Garchomp,,,,,,,,,
Mawile,26,teammate,3,Gyarados,,,,,,,,,
Mawile,26,teammate,4,Hippowdon,,,,,,,,,
Mawile,26,teammate,5,Glimmora,,,,,,,,,
Mawile,26,teammate,6,Meowscarada,,,,,,,,,
Mawile,26,teammate,7,Hydreigon,,,,,,,,,
Mawile,26,teammate,8,Archaludon,,,,,,,,,
Mawile,26,teammate,9,Rotom Wash,,,,,,,,,
Mawile,26,teammate,10,Alolan Ninetales,,,,,,,,,
Mawile,26,stat_alignment,1,Adamant,85.8%,Attack,Sp. Atk,,,,,,
Mawile,26,stat_alignment,2,Brave,11.9%,Attack,Speed,,,,,,
Mawile,26,stat_alignment,3,Jolly,0.6%,Speed,Sp. Atk,,,,,,
Mawile,26,stat_alignment,4,Impish,0.5%,Defense,Sp. Atk,,,,,,
Mawile,26,stat_alignment,5,Careful,0.3%,Sp. Def,Sp. Atk,,,,,,
Mawile,26,stat_alignment,6,Naughty,0.2%,Attack,Sp. Def,,,,,,
Mawile,26,stat_alignment,7,Lonely,0.1%,Attack,Defense,,,,,,
Mawile,26,stat_alignment,8,Relaxed,0.1%,Defense,Speed,,,,,,
Mawile,26,stat_alignment,9,Sassy,0.1%,Sp. Def,Speed,,,,,,
Mawile,26,stat_alignment,10,Hardy,0.0%,,,,,,,,
Mawile,26,stat_points,1,,29.3%,,,32,32,2,0,0,0
Mawile,26,stat_points,2,,15.7%,,,32,32,0,0,2,0
Mawile,26,stat_points,3,,8.6%,,,32,32,0,0,0,2
Mawile,26,stat_points,4,,6.4%,,,32,32,1,0,1,0
Mawile,26,stat_points,5,,5.4%,,,30,32,0,0,0,4
Mawile,26,stat_points,6,,3.8%,,,16,27,0,0,0,23
Mawile,26,stat_points,7,,3.6%,,,22,26,0,0,0,18
Mawile,26,stat_points,8,,1.9%,,,32,14,0,0,0,20
Mawile,26,stat_points,9,,1.5%,,,16,32,0,0,0,18
Mawile,26,stat_points,10,,1.4%,,,8,32,1,0,1,24
Mawile,26,stat_points,11,,1.3%,,,32,32,1,0,0,1
Mawile,26,stat_points,12,,0.8%,,,32,32,0,0,0,0
Mawile,26,ability,1,Intimidate,96.9%,,,,,,,,
Mawile,26,ability,2,Hyper Cutter,1.8%,,,,,,,,
Mawile,26,ability,3,Sheer Force,1.3%,,,,,,,,
