pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Medicham,168,move,1,Close Combat,64.9%,,,,,,,,
Medicham,168,move,2,Bullet Punch,59.1%,,,,,,,,
Medicham,168,move,3,Fake Out,56.2%,,,,,,,,
Medicham,168,move,4,Zen Headbutt,46.4%,,,,,,,,
Medicham,168,move,5,Ice Punch,30.9%,,,,,,,,
Medicham,168,move,6,Psycho Cut,26.7%,,,,,,,,
Medicham,168,move,7,Thunder Punch,25.5%,,,,,,,,
Medicham,168,move,8,High Jump Kick,24.4%,,,,,,,,
Medicham,168,move,9,Drain Punch,8.0%,,,,,,,,
Medicham,168,move,10,Poison Jab,6.3%,,,,,,,,
Medicham,168,held_item,1,Medichamite,74.0%,,,,,,,,
Medicham,168,held_item,2,Focus Sash,15.5%,,,,,,,,
Medicham,168,held_item,3,Choice Scarf,9.4%,,,,,,,,
Medicham,168,held_item,4,Life Orb,2.0%,,,,,,,,
Medicham,168,held_item,5,Expert Belt,0.7%,,,,,,,,
Medicham,168,held_item,6,Muscle Band,0.4%,,,,,,,,
Medicham,168,held_item,7,Quick Claw,0.4%,,,,,,,,
Medicham,168,held_item,8,Sitrus Berry,0.3%,,,,,,,,
Medicham,168,held_item,9,Iron Ball,0.3%,,,,,,,,
Medicham,168,held_item,10,White Herb,0.3%,,,,,,,,
Medicham,168,teammate,1,Garchomp,,,,,,,,,
Medicham,168,teammate,2,Archaludon,,,,,,,,,
Medicham,168,teammate,3,Mimikyu,,,,,,,,,
Medicham,168,teammate,4,Meowscarada,,,,,,,,,
Medicham,168,teammate,5,Raichu,,,,,,,,,
Medicham,168,teammate,6,Basculegion Male,,,,,,,,,
Medicham,168,teammate,7,Gyarados,,,,,,,,,
Medicham,168,teammate,8,Dragonite,,,,,,,,,
Medicham,168,teammate,9,Kingambit,,,,,,,,,
Medicham,168,teammate,10,Corviknight,,,,,,,,,
Medicham,168,stat_alignment,1,Adamant,57.3%,Attack,Sp. Atk,,,,,,
Medicham,168,stat_alignment,2,Jolly,35.6%,Speed,Sp. Atk,,,,,,
Medicham,168,stat_alignment,3,Brave,3.1%,Attack,Speed,,,,,,
Medicham,168,stat_alignment,4,Naughty,1.1%,Attack,Sp. Def,,,,,,
Medicham,168,stat_alignment,5,Serious,1.0%,,,,,,,,
Medicham,168,stat_alignment,6,Impish,0.5%,Defense,Sp. Atk,,,,,,
Medicham,168,stat_alignment,7,Lonely,0.4%,Attack,Defense,,,,,,
Medicham,168,stat_alignment,8,Careful,0.3%,Sp. Def,Sp. Atk,,,,,,
Medicham,168,stat_alignment,9,Naive,0.3%,Speed,Sp. Def,,,,,,
Medicham,168,stat_alignment,10,Hasty,0.2%,Speed,Defense,,,,,,
Medicham,168,stat_points,1,,44.1%,,,2,32,0,0,0,32
Medicham,168,stat_points,2,,9.2%,,,0,32,2,0,0,32
Medicham,168,stat_points,3,,5.8%,,,0,32,0,0,2,32
Medicham,168,stat_points,4,,3.7%,,,0,32,0,0,0,32
Medicham,168,stat_points,5,,2.7%,,,8,31,27,0,0,0
Medicham,168,stat_points,6,,2.5%,,,32,32,2,0,0,0
Medicham,168,stat_points,7,,2.4%,,,32,32,0,0,0,2
Medicham,168,stat_points,8,,1.7%,,,1,32,0,0,1,32
Medicham,168,stat_points,9,,1.7%,,,0,32,1,0,1,32
Medicham,168,stat_points,10,,1.4%,,,32,32,0,0,2,0
Medicham,168,stat_points,11,,1.3%,,,32,32,1,0,1,0
Medicham,168,stat_points,12,,1.3%,,,22,32,0,0,0,12
Medicham,168,ability,1,Pure Power,98.6%,,,,,,,,
Medicham,168,ability,2,Telepathy,1.4%,,,,,,,,
