pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Meganium,40,move,1,Solar Beam,97.9%,,,,,,,,
Meganium,40,move,2,Weather Ball,95.4%,,,,,,,,
Meganium,40,move,3,Dazzling Gleam,74.7%,,,,,,,,
Meganium,40,move,4,Synthesis,74.2%,,,,,,,,
Meganium,40,move,5,Earth Power,21.1%,,,,,,,,
Meganium,40,move,6,Substitute,15.1%,,,,,,,,
Meganium,40,move,7,Trailblaze,7.8%,,,,,,,,
Meganium,40,move,8,Leech Seed,4.1%,,,,,,,,
Meganium,40,move,9,Ancient Power,3.2%,,,,,,,,
Meganium,40,move,10,Giga Drain,1.4%,,,,,,,,
Meganium,40,held_item,1,Meganiumite,99.0%,,,,,,,,
Meganium,40,held_item,2,Sitrus Berry,0.1%,,,,,,,,
Meganium,40,held_item,3,Leftovers,0.1%,,,,,,,,
Meganium,40,held_item,4,Bright Powder,0.1%,,,,,,,,
Meganium,40,held_item,5,Big Root,0.0%,,,,,,,,
Meganium,40,held_item,6,Light Clay,0.0%,,,,,,,,
Meganium,40,held_item,7,Focus Sash,0.0%,,,,,,,,
Meganium,40,held_item,8,Lum Berry,0.0%,,,,,,,,
Meganium,40,held_item,9,Quick Claw,0.0%,,,,,,,,
Meganium,40,held_item,10,Focus Band,0.0%,,,,,,,,
Meganium,40,teammate,1,Garchomp,,,,,,,,,
Meganium,40,teammate,2,Archaludon,,,,,,,,,
Meganium,40,teammate,3,Hippowdon,,,,,,,,,
Meganium,40,teammate,4,Corviknight,,,,,,,,,
Meganium,40,teammate,5,Swampert,,,,,,,,,
Meganium,40,teammate,6,Pelipper,,,,,,,,,
Meganium,40,teammate,7,Basculegion Male,,,,,,,,,
Meganium,40,teammate,8,Mimikyu,,,,,,,,,
Meganium,40,teammate,9,Gholdengo,,,,,,,,,
Meganium,40,teammate,10,Grimmsnarl,,,,,,,,,
Meganium,40,stat_alignment,1,Modest,87.0%,Sp. Atk,Attack,,,,,,
Meganium,40,stat_alignment,2,Timid,5.8%,Speed,Attack,,,,,,
Meganium,40,stat_alignment,3,Bold,3.8%,Defense,Attack,,,,,,
Meganium,40,stat_alignment,4,Calm,1.8%,Sp. Def,Attack,,,,,,
Meganium,40,stat_alignment,5,Quiet,0.7%,Sp. Atk,Speed,,,,,,
Meganium,40,stat_alignment,6,Mild,0.2%,Sp. Atk,Defense,,,,,,
Meganium,40,stat_alignment,7,Relaxed,0.1%,Defense,Speed,,,,,,
Meganium,40,stat_alignment,8,Sassy,0.1%,Sp. Def,Speed,,,,,,
Meganium,40,stat_alignment,9,Hasty,0.1%,Speed,Defense,,,,,,
Meganium,40,stat_alignment,10,Careful,0.0%,Sp. Def,Sp. Atk,,,,,,
Meganium,40,stat_points,1,,28.0%,,,32,0,0,32,0,2
Meganium,40,stat_points,2,,5.8%,,,29,0,0,19,0,18
Meganium,40,stat_points,3,,5.5%,,,2,0,0,32,0,32
Meganium,40,stat_points,4,,4.6%,,,32,0,2,32,0,0
Meganium,40,stat_points,5,,3.5%,,,21,0,0,32,0,13
Meganium,40,stat_points,6,,3.3%,,,32,0,0,32,2,0
Meganium,40,stat_points,7,,2.8%,,,32,0,3,17,0,14
Meganium,40,stat_points,8,,2.0%,,,32,0,1,32,1,0
Meganium,40,stat_points,9,,1.7%,,,6,0,1,32,0,27
Meganium,40,stat_points,10,,1.6%,,,32,0,20,0,14,0
Meganium,40,stat_points,11,,1.2%,,,6,0,0,32,2,26
Meganium,40,stat_points,12,,0.9%,,,26,0,0,32,0,8
Meganium,40,ability,1,Overgrow,66.3%,,,,,,,,
Meganium,40,ability,2,Leaf Guard,33.7%,,,,,,,,
