pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Meowscarada,3,move,1,Flower Trick,98.2%,,,,,,,,
Meowscarada,3,move,2,Triple Axel,89.2%,,,,,,,,
Meowscarada,3,move,3,U-turn,72.0%,,,,,,,,
Meowscarada,3,move,4,Knock Off,68.4%,,,,,,,,
Meowscarada,3,move,5,Sucker Punch,15.5%,,,,,,,,
Meowscarada,3,move,6,Thunder Punch,14.4%,,,,,,,,
Meowscarada,3,move,7,Play Rough,9.7%,,,,,,,,
Meowscarada,3,move,8,Low Kick,4.1%,,,,,,,,
Meowscarada,3,move,9,Trick,4.1%,,,,,,,,
Meowscarada,3,move,10,Brick Break,4.0%,,,,,,,,
Meowscarada,3,held_item,1,Choice Scarf,72.8%,,,,,,,,
Meowscarada,3,held_item,2,Focus Sash,18.4%,,,,,,,,
Meowscarada,3,held_item,3,Life Orb,4.2%,,,,,,,,
Meowscarada,3,held_item,4,Expert Belt,1.1%,,,,,,,,
Meowscarada,3,held_item,5,Quick Claw,0.5%,,,,,,,,
Meowscarada,3,held_item,6,Sitrus Berry,0.5%,,,,,,,,
Meowscarada,3,held_item,7,Muscle Band,0.4%,,,,,,,,
Meowscarada,3,held_item,8,Wide Lens,0.3%,,,,,,,,
Meowscarada,3,held_item,9,Lum Berry,0.3%,,,,,,,,
Meowscarada,3,held_item,10,Leftovers,0.2%,,,,,,,,
Meowscarada,3,teammate,1,Garchomp,,,,,,,,,
Meowscarada,3,teammate,2,Raichu,,,,,,,,,
Meowscarada,3,teammate,3,Archaludon,,,,,,,,,
Meowscarada,3,teammate,4,Mimikyu,,,,,,,,,
Meowscarada,3,teammate,5,Charizard,,,,,,,,,
Meowscarada,3,teammate,6,Staraptor,,,,,,,,,
Meowscarada,3,teammate,7,Metagross,,,,,,,,,
Meowscarada,3,teammate,8,Hippowdon,,,,,,,,,
Meowscarada,3,teammate,9,Primarina,,,,,,,,,
Meowscarada,3,teammate,10,Corviknight,,,,,,,,,
Meowscarada,3,stat_alignment,1,Jolly,59.4%,Speed,Sp. Atk,,,,,,
Meowscarada,3,stat_alignment,2,Adamant,34.0%,Attack,Sp. Atk,,,,,,
Meowscarada,3,stat_alignment,3,Naive,1.9%,Speed,Sp. Def,,,,,,
Meowscarada,3,stat_alignment,4,Naughty,1.1%,Attack,Sp. Def,,,,,,
Meowscarada,3,stat_alignment,5,Hasty,0.9%,Speed,Defense,,,,,,
Meowscarada,3,stat_alignment,6,Rash,0.7%,Sp. Atk,Sp. Def,,,,,,
Meowscarada,3,stat_alignment,7,Lonely,0.6%,Attack,Defense,,,,,,
Meowscarada,3,stat_alignment,8,Modest,0.4%,Sp. Atk,Attack,,,,,,
Meowscarada,3,stat_alignment,9,Timid,0.4%,Speed,Attack,,,,,,
Meowscarada,3,stat_alignment,10,Brave,0.1%,Attack,Speed,,,,,,
Meowscarada,3,stat_points,1,,62.7%,,,2,32,0,0,0,32
Meowscarada,3,stat_points,2,,9.9%,,,0,32,2,0,0,32
Meowscarada,3,stat_points,3,,5.3%,,,0,32,0,0,2,32
Meowscarada,3,stat_points,4,,3.2%,,,0,32,1,0,1,32
Meowscarada,3,stat_points,5,,2.1%,,,0,32,0,0,0,32
Meowscarada,3,stat_points,6,,1.6%,,,4,30,20,0,0,12
Meowscarada,3,stat_points,7,,0.9%,,,24,12,11,0,0,19
Meowscarada,3,stat_points,8,,0.8%,,,1,32,0,0,0,32
Meowscarada,3,stat_points,9,,0.7%,,,0,2,0,32,0,32
Meowscarada,3,stat_points,10,,0.6%,,,1,32,1,0,0,32
Meowscarada,3,stat_points,11,,0.5%,,,0,32,0,2,0,32
Meowscarada,3,stat_points,12,,0.5%,,,0,32,1,0,0,32
Meowscarada,3,ability,1,Protean,95.5%,,,,,,,,
Meowscarada,3,ability,2,Overgrow,4.5%,,,,,,,,
