pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Meowstic,170,move,1,Reflect,54.2%,,,,,,,,
Meowstic,170,move,2,Light Screen,48.8%,,,,,,,,
Meowstic,170,move,3,Psychic,38.4%,,,,,,,,
Meowstic,170,move,4,Yawn,35.0%,,,,,,,,
Meowstic,170,move,5,Thunderbolt,31.9%,,,,,,,,
Meowstic,170,move,6,Energy Ball,27.2%,,,,,,,,
Meowstic,170,move,7,Alluring Voice,22.5%,,,,,,,,
Meowstic,170,move,8,Thunder Wave,14.0%,,,,,,,,
Meowstic,170,move,9,Calm Mind,12.0%,,,,,,,,
Meowstic,170,move,10,Psychic Terrain,0.3%,,,,,,,,
Meowstic,170,held_item,1,Light Clay,44.9%,,,,,,,,
Meowstic,170,held_item,2,Meowsticite,37.0%,,,,,,,,
Meowstic,170,held_item,3,Focus Sash,4.9%,,,,,,,,
Meowstic,170,held_item,4,Sitrus Berry,2.1%,,,,,,,,
Meowstic,170,held_item,5,Damp Rock,1.3%,,,,,,,,
Meowstic,170,held_item,6,Iron Ball,1.2%,,,,,,,,
Meowstic,170,held_item,7,Mental Herb,1.1%,,,,,,,,
Meowstic,170,held_item,8,Leftovers,1.0%,,,,,,,,
Meowstic,170,held_item,9,Expert Belt,1.0%,,,,,,,,
Meowstic,170,held_item,10,Bright Powder,0.8%,,,,,,,,
Meowstic,170,teammate,1,Garchomp,,,,,,,,,
Meowstic,170,teammate,2,Meowscarada,,,,,,,,,
Meowstic,170,teammate,3,Raichu,,,,,,,,,
Meowstic,170,teammate,4,Mimikyu,,,,,,,,,
Meowstic,170,teammate,5,Corviknight,,,,,,,,,
Meowstic,170,teammate,6,Staraptor,,,,,,,,,
Meowstic,170,teammate,7,Archaludon,,,,,,,,,
Meowstic,170,teammate,8,Blaziken,,,,,,,,,
Meowstic,170,teammate,9,Mawile,,,,,,,,,
Meowstic,170,teammate,10,Swampert,,,,,,,,,
Meowstic,170,stat_alignment,1,Timid,30.2%,Speed,Attack,,,,,,
Meowstic,170,stat_alignment,2,Bold,26.9%,Defense,Attack,,,,,,
Meowstic,170,stat_alignment,3,Modest,24.9%,Sp. Atk,Attack,,,,,,
Meowstic,170,stat_alignment,4,Calm,12.1%,Sp. Def,Attack,,,,,,
Meowstic,170,stat_alignment,5,Adamant,1.0%,Attack,Sp. Atk,,,,,,
Meowstic,170,stat_alignment,6,Relaxed,0.8%,Defense,Speed,,,,,,
Meowstic,170,stat_alignment,7,Careful,0.7%,Sp. Def,Sp. Atk,,,,,,
Meowstic,170,stat_alignment,8,Sassy,0.7%,Sp. Def,Speed,,,,,,
Meowstic,170,stat_alignment,9,Impish,0.7%,Defense,Sp. Atk,,,,,,
Meowstic,170,stat_alignment,10,Hasty,0.6%,Speed,Defense,,,,,,
Meowstic,170,stat_points,1,,17.5%,,,2,0,0,32,0,32
Meowstic,170,stat_points,2,,11.7%,,,32,0,32,0,2,0
Meowstic,170,stat_points,3,,5.2%,,,0,0,2,32,0,32
Meowstic,170,stat_points,4,,3.3%,,,0,0,0,32,2,32
Meowstic,170,stat_points,5,,3.3%,,,32,0,14,0,20,0
Meowstic,170,stat_points,6,,2.2%,,,2,0,32,0,32,0
Meowstic,170,stat_points,7,,2.0%,,,32,0,2,32,0,0
Meowstic,170,stat_points,8,,1.8%,,,32,0,25,0,9,0
Meowstic,170,stat_points,9,,1.7%,,,32,0,24,0,10,0
Meowstic,170,stat_points,10,,1.5%,,,2,0,32,32,0,0
Meowstic,170,stat_points,11,,1.5%,,,32,0,0,32,0,2
Meowstic,170,stat_points,12,,1.4%,,,32,0,0,2,0,32
Meowstic,170,ability,1,Prankster,91.9%,,,,,,,,
Meowstic,170,ability,2,Infiltrator,6.6%,,,,,,,,
Meowstic,170,ability,3,Keen Eye,1.5%,,,,,,,,
