pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Metagross,6,move,1,Psychic Fangs,88.1%,,,,,,,,
Metagross,6,move,2,Bullet Punch,82.7%,,,,,,,,
Metagross,6,move,3,Earthquake,75.7%,,,,,,,,
Metagross,6,move,4,Ice Punch,58.4%,,,,,,,,
Metagross,6,move,5,Thunder Punch,28.4%,,,,,,,,
Metagross,6,move,6,Iron Head,24.0%,,,,,,,,
Metagross,6,move,7,Meteor Mash,20.7%,,,,,,,,
Metagross,6,move,8,Trailblaze,4.5%,,,,,,,,
Metagross,6,move,9,Grass Knot,2.3%,,,,,,,,
Metagross,6,move,10,Hammer Arm,1.9%,,,,,,,,
Metagross,6,held_item,1,Metagrossite,97.0%,,,,,,,,
Metagross,6,held_item,2,Life Orb,0.6%,,,,,,,,
Metagross,6,held_item,3,Sitrus Berry,0.4%,,,,,,,,
Metagross,6,held_item,4,Shuca Berry,0.3%,,,,,,,,
Metagross,6,held_item,5,Leftovers,0.2%,,,,,,,,
Metagross,6,held_item,6,Choice Scarf,0.2%,,,,,,,,
Metagross,6,held_item,7,Light Clay,0.2%,,,,,,,,
Metagross,6,held_item,8,Expert Belt,0.1%,,,,,,,,
Metagross,6,held_item,9,Focus Sash,0.1%,,,,,,,,
Metagross,6,held_item,10,Quick Claw,0.1%,,,,,,,,
Metagross,6,teammate,1,Garchomp,,,,,,,,,
Metagross,6,teammate,2,Mimikyu,,,,,,,,,
Metagross,6,teammate,3,Hydreigon,,,,,,,,,
Metagross,6,teammate,4,Meowscarada,,,,,,,,,
Metagross,6,teammate,5,Hippowdon,,,,,,,,,
Metagross,6,teammate,6,Archaludon,,,,,,,,,
Metagross,6,teammate,7,Primarina,,,,,,,,,
Metagross,6,teammate,8,Charizard,,,,,,,,,
Metagross,6,teammate,9,Rotom Wash,,,,,,,,,
Metagross,6,teammate,10,Alolan Ninetales,,,,,,,,,
Metagross,6,stat_alignment,1,Jolly,57.7%,Speed,Sp. Atk,,,,,,
Metagross,6,stat_alignment,2,Adamant,39.2%,Attack,Sp. Atk,,,,,,
Metagross,6,stat_alignment,3,Impish,0.9%,Defense,Sp. Atk,,,,,,
Metagross,6,stat_alignment,4,Careful,0.4%,Sp. Def,Sp. Atk,,,,,,
Metagross,6,stat_alignment,5,Brave,0.4%,Attack,Speed,,,,,,
Metagross,6,stat_alignment,6,Naive,0.4%,Speed,Sp. Def,,,,,,
Metagross,6,stat_alignment,7,Naughty,0.3%,Attack,Sp. Def,,,,,,
Metagross,6,stat_alignment,8,Lonely,0.2%,Attack,Defense,,,,,,
Metagross,6,stat_alignment,9,Relaxed,0.1%,Defense,Speed,,,,,,
Metagross,6,stat_alignment,10,Hasty,0.1%,Speed,Defense,,,,,,
Metagross,6,stat_points,1,,38.9%,,,2,32,0,0,0,32
Metagross,6,stat_points,2,,7.8%,,,12,22,0,0,0,32
Metagross,6,stat_points,3,,3.9%,,,32,32,0,0,0,2
Metagross,6,stat_points,4,,3.4%,,,26,32,0,0,0,8
Metagross,6,stat_points,5,,3.3%,,,22,32,3,0,0,9
Metagross,6,stat_points,6,,2.9%,,,0,32,2,0,0,32
Metagross,6,stat_points,7,,2.5%,,,32,32,1,0,1,0
Metagross,6,stat_points,8,,2.3%,,,32,32,2,0,0,0
Metagross,6,stat_points,9,,1.9%,,,32,32,0,0,2,0
Metagross,6,stat_points,10,,1.8%,,,0,32,0,0,2,32
Metagross,6,stat_points,11,,1.3%,,,9,32,0,0,0,25
Metagross,6,stat_points,12,,1.1%,,,26,31,0,0,0,9
Metagross,6,ability,1,Clear Body,99.1%,,,,,,,,
Metagross,6,ability,2,Light Metal,0.9%,,,,,,,,
