pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Milotic,65,move,1,Scald,94.3%,,,,,,,,
Milotic,65,move,2,Recover,91.6%,,,,,,,,
Milotic,65,move,3,Ice Beam,67.5%,,,,,,,,
Milotic,65,move,4,Mirror Coat,60.6%,,,,,,,,
Milotic,65,move,5,Haze,28.4%,,,,,,,,
Milotic,65,move,6,Flip Turn,7.1%,,,,,,,,
Milotic,65,move,7,Coil,5.2%,,,,,,,,
Milotic,65,move,8,Icy Wind,4.8%,,,,,,,,
Milotic,65,move,9,Protect,4.4%,,,,,,,,
Milotic,65,move,10,Hypnosis,4.4%,,,,,,,,
Milotic,65,held_item,1,Leftovers,65.0%,,,,,,,,
Milotic,65,held_item,2,Sitrus Berry,20.3%,,,,,,,,
Milotic,65,held_item,3,Lum Berry,9.4%,,,,,,,,
Milotic,65,held_item,4,Wacan Berry,1.3%,,,,,,,,
Milotic,65,held_item,5,Mystic Water,1.1%,,,,,,,,
Milotic,65,held_item,6,Bright Powder,1.0%,,,,,,,,
Milotic,65,held_item,7,Quick Claw,0.7%,,,,,,,,
Milotic,65,held_item,8,Life Orb,0.6%,,,,,,,,
Milotic,65,held_item,9,Shell Bell,0.6%,,,,,,,,
Milotic,65,held_item,10,Focus Sash,0.5%,,,,,,,,
Milotic,65,teammate,1,Garchomp,,,,,,,,,
Milotic,65,teammate,2,Mimikyu,,,,,,,,,
Milotic,65,teammate,3,Metagross,,,,,,,,,
Milotic,65,teammate,4,Meowscarada,,,,,,,,,
Milotic,65,teammate,5,Raichu,,,,,,,,,
Milotic,65,teammate,6,Mawile,,,,,,,,,
Milotic,65,teammate,7,Charizard,,,,,,,,,
Milotic,65,teammate,8,Staraptor,,,,,,,,,
Milotic,65,teammate,9,Blaziken,,,,,,,,,
Milotic,65,teammate,10,Hydreigon,,,,,,,,,
Milotic,65,stat_alignment,1,Bold,60.1%,Defense,Attack,,,,,,
Milotic,65,stat_alignment,2,Calm,19.0%,Sp. Def,Attack,,,,,,
Milotic,65,stat_alignment,3,Modest,12.4%,Sp. Atk,Attack,,,,,,
Milotic,65,stat_alignment,4,Relaxed,3.0%,Defense,Speed,,,,,,
Milotic,65,stat_alignment,5,Sassy,1.3%,Sp. Def,Speed,,,,,,
Milotic,65,stat_alignment,6,Timid,1.2%,Speed,Attack,,,,,,
Milotic,65,stat_alignment,7,Quiet,1.0%,Sp. Atk,Speed,,,,,,
Milotic,65,stat_alignment,8,Impish,0.5%,Defense,Sp. Atk,,,,,,
Milotic,65,stat_alignment,9,Careful,0.4%,Sp. Def,Sp. Atk,,,,,,
Milotic,65,stat_alignment,10,Mild,0.4%,Sp. Atk,Defense,,,,,,
Milotic,65,stat_points,1,,30.9%,,,32,0,32,0,2,0
Milotic,65,stat_points,2,,5.8%,,,32,0,2,0,32,0
Milotic,65,stat_points,3,,4.9%,,,32,0,27,0,0,7
Milotic,65,stat_points,4,,4.2%,,,32,0,32,2,0,0
Milotic,65,stat_points,5,,3.5%,,,31,0,32,0,3,0
Milotic,65,stat_points,6,,3.0%,,,32,0,32,0,0,2
Milotic,65,stat_points,7,,2.1%,,,32,0,0,2,32,0
Milotic,65,stat_points,8,,1.9%,,,32,0,2,32,0,0
Milotic,65,stat_points,9,,1.7%,,,32,0,32,0,0,0
Milotic,65,stat_points,10,,1.4%,,,32,0,0,32,0,2
Milotic,65,stat_points,11,,1.2%,,,32,0,0,32,2,0
Milotic,65,stat_points,12,,1.2%,,,0,0,32,32,2,0
Milotic,65,ability,1,Competitive,61.9%,,,,,,,,
Milotic,65,ability,2,Marvel Scale,20.4%,,,,,,,,
Milotic,65,ability,3,Cute Charm,17.7%,,,,,,,,
