pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Mimikyu,2,move,1,Shadow Sneak,95.9%,,,,,,,,
Mimikyu,2,move,2,Play Rough,95.5%,,,,,,,,
Mimikyu,2,move,3,Swords Dance,79.4%,,,,,,,,
Mimikyu,2,move,4,Shadow Claw,61.3%,,,,,,,,
Mimikyu,2,move,5,Curse,16.2%,,,,,,,,
Mimikyu,2,move,6,Trick Room,14.2%,,,,,,,,
Mimikyu,2,move,7,Drain Punch,12.9%,,,,,,,,
Mimikyu,2,move,8,Wood Hammer,11.9%,,,,,,,,
Mimikyu,2,move,9,Will-O-Wisp,3.0%,,,,,,,,
Mimikyu,2,move,10,Destiny Bond,2.3%,,,,,,,,
Mimikyu,2,held_item,1,Life Orb,83.3%,,,,,,,,
Mimikyu,2,held_item,2,Lum Berry,4.6%,,,,,,,,
Mimikyu,2,held_item,3,Scope Lens,2.9%,,,,,,,,
Mimikyu,2,held_item,4,Spell Tag,2.6%,,,,,,,,
Mimikyu,2,held_item,5,Fairy Feather,1.1%,,,,,,,,
Mimikyu,2,held_item,6,Sitrus Berry,0.9%,,,,,,,,
Mimikyu,2,held_item,7,Leftovers,0.9%,,,,,,,,
Mimikyu,2,held_item,8,Bright Powder,0.7%,,,,,,,,
Mimikyu,2,held_item,9,Mental Herb,0.6%,,,,,,,,
Mimikyu,2,held_item,10,Choice Scarf,0.4%,,,,,,,,
Mimikyu,2,teammate,1,Garchomp,,,,,,,,,
Mimikyu,2,teammate,2,Archaludon,,,,,,,,,
Mimikyu,2,teammate,3,Metagross,,,,,,,,,
Mimikyu,2,teammate,4,Meowscarada,,,,,,,,,
Mimikyu,2,teammate,5,Charizard,,,,,,,,,
Mimikyu,2,teammate,6,Raichu,,,,,,,,,
Mimikyu,2,teammate,7,Hippowdon,,,,,,,,,
Mimikyu,2,teammate,8,Mawile,,,,,,,,,
Mimikyu,2,teammate,9,Staraptor,,,,,,,,,
Mimikyu,2,teammate,10,Blaziken,,,,,,,,,
Mimikyu,2,stat_alignment,1,Adamant,76.8%,Attack,Sp. Atk,,,,,,
Mimikyu,2,stat_alignment,2,Jolly,16.9%,Speed,Sp. Atk,,,,,,
Mimikyu,2,stat_alignment,3,Brave,3.0%,Attack,Speed,,,,,,
Mimikyu,2,stat_alignment,4,Impish,0.7%,Defense,Sp. Atk,,,,,,
Mimikyu,2,stat_alignment,5,Lonely,0.4%,Attack,Defense,,,,,,
Mimikyu,2,stat_alignment,6,Naughty,0.4%,Attack,Sp. Def,,,,,,
Mimikyu,2,stat_alignment,7,Careful,0.4%,Sp. Def,Sp. Atk,,,,,,
Mimikyu,2,stat_alignment,8,Relaxed,0.3%,Defense,Speed,,,,,,
Mimikyu,2,stat_alignment,9,Hasty,0.3%,Speed,Defense,,,,,,
Mimikyu,2,stat_alignment,10,Naive,0.2%,Speed,Sp. Def,,,,,,
Mimikyu,2,stat_points,1,,23.1%,,,2,32,0,0,0,32
Mimikyu,2,stat_points,2,,19.7%,,,1,32,1,0,0,32
Mimikyu,2,stat_points,3,,6.1%,,,32,32,2,0,0,0
Mimikyu,2,stat_points,4,,4.7%,,,29,32,5,0,0,0
Mimikyu,2,stat_points,5,,4.5%,,,0,32,2,0,0,32
Mimikyu,2,stat_points,6,,3.2%,,,29,30,7,0,0,0
Mimikyu,2,stat_points,7,,2.7%,,,0,32,0,0,2,32
Mimikyu,2,stat_points,8,,2.4%,,,1,32,0,0,1,32
Mimikyu,2,stat_points,9,,1.9%,,,28,30,7,0,0,1
Mimikyu,2,stat_points,10,,1.8%,,,32,32,0,0,0,2
Mimikyu,2,stat_points,11,,1.7%,,,1,32,0,0,0,32
Mimikyu,2,stat_points,12,,1.6%,,,28,30,4,0,1,3
Mimikyu,2,ability,1,Disguise,100.0%,,,,,,,,
