pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Morpeko,173,move,1,Aura Wheel,99.8%,,,,,,,,
Morpeko,173,move,2,Protect,47.6%,,,,,,,,
Morpeko,173,move,3,Endeavor,43.4%,,,,,,,,
Morpeko,173,move,4,Fake Out,34.2%,,,,,,,,
Morpeko,173,move,5,Quick Attack,26.9%,,,,,,,,
Morpeko,173,move,6,Parting Shot,24.0%,,,,,,,,
Morpeko,173,move,7,Reversal,15.7%,,,,,,,,
Morpeko,173,move,8,Knock Off,11.8%,,,,,,,,
Morpeko,173,move,9,Seed Bomb,11.8%,,,,,,,,
Morpeko,173,move,10,Taunt,9.0%,,,,,,,,
Morpeko,173,held_item,1,Focus Sash,85.0%,,,,,,,,
Morpeko,173,held_item,2,Life Orb,3.5%,,,,,,,,
Morpeko,173,held_item,3,Choice Scarf,3.4%,,,,,,,,
Morpeko,173,held_item,4,Bright Powder,1.0%,,,,,,,,
Morpeko,173,held_item,5,Muscle Band,0.9%,,,,,,,,
Morpeko,173,held_item,6,Focus Band,0.7%,,,,,,,,
Morpeko,173,held_item,7,Lum Berry,0.6%,,,,,,,,
Morpeko,173,held_item,8,Sitrus Berry,0.6%,,,,,,,,
Morpeko,173,held_item,9,Metronome,0.6%,,,,,,,,
Morpeko,173,held_item,10,King's Rock,0.6%,,,,,,,,
Morpeko,173,teammate,1,Garchomp,,,,,,,,,
Morpeko,173,teammate,2,Mimikyu,,,,,,,,,
Morpeko,173,teammate,3,Staraptor,,,,,,,,,
Morpeko,173,teammate,4,Meowscarada,,,,,,,,,
Morpeko,173,teammate,5,Raichu,,,,,,,,,
Morpeko,173,teammate,6,Charizard,,,,,,,,,
Morpeko,173,teammate,7,Primarina,,,,,,,,,
Morpeko,173,teammate,8,Metagross,,,,,,,,,
Morpeko,173,teammate,9,Dragonite,,,,,,,,,
Morpeko,173,teammate,10,Corviknight,,,,,,,,,
Morpeko,173,stat_alignment,1,Adamant,48.5%,Attack,Sp. Atk,,,,,,
Morpeko,173,stat_alignment,2,Jolly,38.9%,Speed,Sp. Atk,,,,,,
Morpeko,173,stat_alignment,3,Hasty,3.5%,Speed,Defense,,,,,,
Morpeko,173,stat_alignment,4,Naughty,2.9%,Attack,Sp. Def,,,,,,
Morpeko,173,stat_alignment,5,Naive,2.5%,Speed,Sp. Def,,,,,,
Morpeko,173,stat_alignment,6,Lonely,1.5%,Attack,Defense,,,,,,
Morpeko,173,stat_alignment,7,Brave,0.6%,Attack,Speed,,,,,,
Morpeko,173,stat_alignment,8,Timid,0.4%,Speed,Attack,,,,,,
Morpeko,173,stat_alignment,9,Impish,0.4%,Defense,Sp. Atk,,,,,,
Morpeko,173,stat_alignment,10,Gentle,0.3%,Sp. Def,Defense,,,,,,
Morpeko,173,stat_points,1,,56.1%,,,2,32,0,0,0,32
Morpeko,173,stat_points,2,,13.5%,,,0,32,2,0,0,32
Morpeko,173,stat_points,3,,7.1%,,,0,32,0,0,2,32
Morpeko,173,stat_points,4,,5.6%,,,0,32,0,0,0,32
Morpeko,173,stat_points,5,,2.5%,,,0,32,1,0,1,32
Morpeko,173,stat_points,6,,1.7%,,,1,32,0,0,0,32
Morpeko,173,stat_points,7,,1.3%,,,2,32,2,0,2,28
Morpeko,173,stat_points,8,,1.2%,,,1,32,1,0,0,32
Morpeko,173,stat_points,9,,1.1%,,,32,32,0,0,0,2
Morpeko,173,stat_points,10,,0.9%,,,0,32,0,0,1,32
Morpeko,173,stat_points,11,,0.8%,,,0,32,0,0,32,2
Morpeko,173,stat_points,12,,0.7%,,,0,32,1,0,0,32
Morpeko,173,ability,1,Hunger Switch,100.0%,,,,,,,,
