pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Mr. Rime,180,move,1,Freeze-Dry,85.4%,,,,,,,,
Mr. Rime,180,move,2,Psychic,44.6%,,,,,,,,
Mr. Rime,180,move,3,Ice Shard,30.7%,,,,,,,,
Mr. Rime,180,move,4,Mirror Coat,26.9%,,,,,,,,
Mr. Rime,180,move,5,Trick Room,21.0%,,,,,,,,
Mr. Rime,180,move,6,Sheer Cold,20.3%,,,,,,,,
Mr. Rime,180,move,7,Thunderbolt,15.7%,,,,,,,,
Mr. Rime,180,move,8,Focus Blast,15.7%,,,,,,,,
Mr. Rime,180,move,9,Rapid Spin,12.1%,,,,,,,,
Mr. Rime,180,move,10,Ice Beam,1.2%,,,,,,,,
Mr. Rime,180,held_item,1,Focus Sash,42.4%,,,,,,,,
Mr. Rime,180,held_item,2,Choice Scarf,12.1%,,,,,,,,
Mr. Rime,180,held_item,3,Sitrus Berry,9.6%,,,,,,,,
Mr. Rime,180,held_item,4,Leftovers,4.5%,,,,,,,,
Mr. Rime,180,held_item,5,Quick Claw,4.1%,,,,,,,,
Mr. Rime,180,held_item,6,Lum Berry,3.8%,,,,,,,,
Mr. Rime,180,held_item,7,Never-Melt Ice,3.4%,,,,,,,,
Mr. Rime,180,held_item,8,Expert Belt,3.1%,,,,,,,,
Mr. Rime,180,held_item,9,Life Orb,2.9%,,,,,,,,
Mr. Rime,180,held_item,10,Occa Berry,2.1%,,,,,,,,
Mr. Rime,180,teammate,1,Garchomp,,,,,,,,,
Mr. Rime,180,teammate,2,Raichu,,,,,,,,,
Mr. Rime,180,teammate,3,Mimikyu,,,,,,,,,
Mr. Rime,180,teammate,4,Charizard,,,,,,,,,
Mr. Rime,180,teammate,5,Meowscarada,,,,,,,,,
Mr. Rime,180,teammate,6,Staraptor,,,,,,,,,
Mr. Rime,180,teammate,7,Swampert,,,,,,,,,
Mr. Rime,180,teammate,8,Mawile,,,,,,,,,
Mr. Rime,180,teammate,9,Corviknight,,,,,,,,,
Mr. Rime,180,teammate,10,Dragonite,,,,,,,,,
Mr. Rime,180,stat_alignment,1,Modest,38.4%,Sp. Atk,Attack,,,,,,
Mr. Rime,180,stat_alignment,2,Timid,25.0%,Speed,Attack,,,,,,
Mr. Rime,180,stat_alignment,3,Quiet,11.3%,Sp. Atk,Speed,,,,,,
Mr. Rime,180,stat_alignment,4,Bold,8.8%,Defense,Attack,,,,,,
Mr. Rime,180,stat_alignment,5,Calm,5.9%,Sp. Def,Attack,,,,,,
Mr. Rime,180,stat_alignment,6,Naive,2.0%,Speed,Sp. Def,,,,,,
Mr. Rime,180,stat_alignment,7,Hasty,2.0%,Speed,Defense,,,,,,
Mr. Rime,180,stat_alignment,8,Sassy,2.0%,Sp. Def,Speed,,,,,,
Mr. Rime,180,stat_alignment,9,Rash,1.4%,Sp. Atk,Sp. Def,,,,,,
Mr. Rime,180,stat_alignment,10,Relaxed,0.9%,Defense,Speed,,,,,,
Mr. Rime,180,stat_points,1,,20.9%,,,2,0,0,32,0,32
Mr. Rime,180,stat_points,2,,7.0%,,,32,0,2,32,0,0
Mr. Rime,180,stat_points,3,,4.3%,,,32,0,0,32,2,0
Mr. Rime,180,stat_points,4,,4.2%,,,2,0,0,32,32,0
Mr. Rime,180,stat_points,5,,4.1%,,,0,0,2,32,0,32
Mr. Rime,180,stat_points,6,,3.7%,,,0,0,3,32,0,31
Mr. Rime,180,stat_points,7,,3.0%,,,0,0,0,32,2,32
Mr. Rime,180,stat_points,8,,2.7%,,,32,0,0,32,0,2
Mr. Rime,180,stat_points,9,,2.5%,,,32,0,32,0,2,0
Mr. Rime,180,stat_points,10,,2.5%,,,32,0,2,0,0,32
Mr. Rime,180,stat_points,11,,1.7%,,,32,0,32,2,0,0
Mr. Rime,180,ability,1,Screen Cleaner,88.4%,,,,,,,,
Mr. Rime,180,ability,2,Ice Body,8.2%,,,,,,,,
Mr. Rime,180,ability,3,Tangled Feet,3.4%,,,,,,,,
