pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Ninetales,169,move,1,Solar Beam,61.8%,,,,,,,,
Ninetales,169,move,2,Will-O-Wisp,45.2%,,,,,,,,
Ninetales,169,move,3,Encore,34.5%,,,,,,,,
Ninetales,169,move,4,Flamethrower,33.8%,,,,,,,,
Ninetales,169,move,5,Overheat,29.0%,,,,,,,,
Ninetales,169,move,6,Memento,28.1%,,,,,,,,
Ninetales,169,move,7,Weather Ball,18.5%,,,,,,,,
Ninetales,169,move,8,Mystical Fire,17.8%,,,,,,,,
Ninetales,169,move,9,Scorching Sands,13.8%,,,,,,,,
Ninetales,169,move,10,Nasty Plot,7.8%,,,,,,,,
Ninetales,169,held_item,1,Heat Rock,34.9%,,,,,,,,
Ninetales,169,held_item,2,Focus Sash,17.0%,,,,,,,,
Ninetales,169,held_item,3,Choice Scarf,8.7%,,,,,,,,
Ninetales,169,held_item,4,Shuca Berry,8.3%,,,,,,,,
Ninetales,169,held_item,5,Life Orb,5.3%,,,,,,,,
Ninetales,169,held_item,6,Sitrus Berry,4.2%,,,,,,,,
Ninetales,169,held_item,7,Leftovers,3.8%,,,,,,,,
Ninetales,169,held_item,8,Charcoal,3.5%,,,,,,,,
Ninetales,169,held_item,9,White Herb,3.2%,,,,,,,,
Ninetales,169,held_item,10,Chesto Berry,2.0%,,,,,,,,
Ninetales,169,teammate,1,Garchomp,,,,,,,,,
Ninetales,169,teammate,2,Venusaur,,,,,,,,,
Ninetales,169,teammate,3,Raichu,,,,,,,,,
Ninetales,169,teammate,4,Charizard,,,,,,,,,
Ninetales,169,teammate,5,Dragonite,,,,,,,,,
Ninetales,169,teammate,6,Metagross,,,,,,,,,
Ninetales,169,teammate,7,Staraptor,,,,,,,,,
Ninetales,169,teammate,8,Pyroar,,,,,,,,,
Ninetales,169,teammate,9,Meowscarada,,,,,,,,,
Ninetales,169,teammate,10,Mimikyu,,,,,,,,,
Ninetales,169,stat_alignment,1,Timid,57.8%,Speed,Attack,,,,,,
Ninetales,169,stat_alignment,2,Modest,24.6%,Sp. Atk,Attack,,,,,,
Ninetales,169,stat_alignment,3,Calm,6.1%,Sp. Def,Attack,,,,,,
Ninetales,169,stat_alignment,4,Bold,6.0%,Defense,Attack,,,,,,
Ninetales,169,stat_alignment,5,Mild,1.9%,Sp. Atk,Defense,,,,,,
Ninetales,169,stat_alignment,6,Sassy,1.1%,Sp. Def,Speed,,,,,,
Ninetales,169,stat_alignment,7,Naive,0.8%,Speed,Sp. Def,,,,,,
Ninetales,169,stat_alignment,8,Quiet,0.5%,Sp. Atk,Speed,,,,,,
Ninetales,169,stat_alignment,9,Relaxed,0.4%,Defense,Speed,,,,,,
Ninetales,169,stat_alignment,10,Careful,0.3%,Sp. Def,Sp. Atk,,,,,,
Ninetales,169,stat_points,1,,29.1%,,,2,0,0,32,0,32
Ninetales,169,stat_points,2,,6.2%,,,0,0,2,32,0,32
Ninetales,169,stat_points,3,,5.7%,,,1,0,1,32,0,32
Ninetales,169,stat_points,4,,5.5%,,,0,0,0,32,2,32
Ninetales,169,stat_points,5,,4.1%,,,0,0,0,32,0,32
Ninetales,169,stat_points,6,,3.6%,,,32,0,2,0,0,32
Ninetales,169,stat_points,7,,2.6%,,,1,0,0,32,0,32
Ninetales,169,stat_points,8,,2.1%,,,32,0,0,0,32,2
Ninetales,169,stat_points,9,,1.9%,,,1,0,0,32,1,32
Ninetales,169,stat_points,10,,1.7%,,,31,0,21,8,3,3
Ninetales,169,stat_points,11,,1.6%,,,32,0,32,0,2,0
Ninetales,169,stat_points,12,,1.3%,,,0,0,0,32,32,2
Ninetales,169,ability,1,Drought,93.6%,,,,,,,,
Ninetales,169,ability,2,Flash Fire,6.4%,,,,,,,,
