pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Noivern,155,move,1,Draco Meteor,86.1%,,,,,,,,
Noivern,155,move,2,Air Slash,58.1%,,,,,,,,
Noivern,155,move,3,Flamethrower,53.0%,,,,,,,,
Noivern,155,move,4,U-turn,39.2%,,,,,,,,
Noivern,155,move,5,Taunt,22.8%,,,,,,,,
Noivern,155,move,6,Boomburst,22.1%,,,,,,,,
Noivern,155,move,7,Switcheroo,17.6%,,,,,,,,
Noivern,155,move,8,Hurricane,14.3%,,,,,,,,
Noivern,155,move,9,Tailwind,13.5%,,,,,,,,
Noivern,155,move,10,Super Fang,11.8%,,,,,,,,
Noivern,155,held_item,1,Choice Scarf,36.1%,,,,,,,,
Noivern,155,held_item,2,Life Orb,20.5%,,,,,,,,
Noivern,155,held_item,3,Focus Sash,19.6%,,,,,,,,
Noivern,155,held_item,4,White Herb,8.4%,,,,,,,,
Noivern,155,held_item,5,Wise Glasses,1.9%,,,,,,,,
Noivern,155,held_item,6,Haban Berry,1.5%,,,,,,,,
Noivern,155,held_item,7,King's Rock,1.2%,,,,,,,,
Noivern,155,held_item,8,Wide Lens,1.0%,,,,,,,,
Noivern,155,held_item,9,Metronome,1.0%,,,,,,,,
Noivern,155,held_item,10,Leftovers,1.0%,,,,,,,,
Noivern,155,teammate,1,Metagross,,,,,,,,,
Noivern,155,teammate,2,Mawile,,,,,,,,,
Noivern,155,teammate,3,Garchomp,,,,,,,,,
Noivern,155,teammate,4,Mimikyu,,,,,,,,,
Noivern,155,teammate,5,Raichu,,,,,,,,,
Noivern,155,teammate,6,Swampert,,,,,,,,,
Noivern,155,teammate,7,Meowscarada,,,,,,,,,
Noivern,155,teammate,8,Greninja,,,,,,,,,
Noivern,155,teammate,9,Blaziken,,,,,,,,,
Noivern,155,teammate,10,Charizard,,,,,,,,,
Noivern,155,stat_alignment,1,Timid,58.6%,Speed,Attack,,,,,,
Noivern,155,stat_alignment,2,Modest,35.5%,Sp. Atk,Attack,,,,,,
Noivern,155,stat_alignment,3,Mild,2.2%,Sp. Atk,Defense,,,,,,
Noivern,155,stat_alignment,4,Hasty,0.9%,Speed,Defense,,,,,,
Noivern,155,stat_alignment,5,Naive,0.8%,Speed,Sp. Def,,,,,,
Noivern,155,stat_alignment,6,Jolly,0.5%,Speed,Sp. Atk,,,,,,
Noivern,155,stat_alignment,7,Bold,0.5%,Defense,Attack,,,,,,
Noivern,155,stat_alignment,8,Adamant,0.3%,Attack,Sp. Atk,,,,,,
Noivern,155,stat_alignment,9,Calm,0.2%,Sp. Def,Attack,,,,,,
Noivern,155,stat_alignment,10,Hardy,0.1%,,,,,,,,
Noivern,155,stat_points,1,,39.1%,,,2,0,0,32,0,32
Noivern,155,stat_points,2,,19.6%,,,1,0,1,32,0,32
Noivern,155,stat_points,3,,8.8%,,,0,0,2,32,0,32
Noivern,155,stat_points,4,,7.0%,,,0,0,0,32,2,32
Noivern,155,stat_points,5,,3.9%,,,0,0,0,32,0,32
Noivern,155,stat_points,6,,3.9%,,,1,0,0,32,1,32
Noivern,155,stat_points,7,,1.8%,,,0,0,0,32,32,2
Noivern,155,stat_points,8,,1.5%,,,0,0,1,32,1,32
Noivern,155,stat_points,9,,1.4%,,,1,0,0,32,0,32
Noivern,155,stat_points,10,,1.1%,,,7,0,0,32,0,27
Noivern,155,stat_points,11,,0.7%,,,32,0,0,32,0,2
Noivern,155,stat_points,12,,0.4%,,,0,0,5,32,2,27
Noivern,155,ability,1,Frisk,55.8%,,,,,,,,
Noivern,155,ability,2,Infiltrator,42.7%,,,,,,,,
Noivern,155,ability,3,Telepathy,1.5%,,,,,,,,
