pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Oranguru,225,move,1,Psychic,61.9%,,,,,,,,
Oranguru,225,move,2,Trick Room,39.8%,,,,,,,,
Oranguru,225,move,3,Thunderbolt,29.5%,,,,,,,,
Oranguru,225,move,4,Focus Blast,26.1%,,,,,,,,
Oranguru,225,move,5,Reflect,25.0%,,,,,,,,
Oranguru,225,move,6,Encore,23.9%,,,,,,,,
Oranguru,225,move,7,Yawn,23.1%,,,,,,,,
Oranguru,225,move,8,Foul Play,21.3%,,,,,,,,
Oranguru,225,move,9,Light Screen,19.5%,,,,,,,,
Oranguru,225,move,10,Energy Ball,16.7%,,,,,,,,
Oranguru,225,held_item,1,Sitrus Berry,22.2%,,,,,,,,
Oranguru,225,held_item,2,Light Clay,15.7%,,,,,,,,
Oranguru,225,held_item,3,Leftovers,12.2%,,,,,,,,
Oranguru,225,held_item,4,Focus Sash,10.9%,,,,,,,,
Oranguru,225,held_item,5,Expert Belt,8.4%,,,,,,,,
Oranguru,225,held_item,6,Mental Herb,,,,,,,,,
Oranguru,225,held_item,7,Colbur Berry,3.1%,,,,,,,,
Oranguru,225,held_item,8,Quick Claw,2.4%,,,,,,,,
Oranguru,225,held_item,9,Bright Powder,2.2%,,,,,,,,
Oranguru,225,held_item,10,Lum Berry,2.1%,,,,,,,,
Oranguru,225,teammate,1,Archaludon,,,,,,,,,
Oranguru,225,teammate,2,Garchomp,,,,,,,,,
Oranguru,225,teammate,3,Snorlax,,,,,,,,,
Oranguru,225,teammate,4,Mimikyu,,,,,,,,,
Oranguru,225,teammate,5,Staraptor,,,,,,,,,
Oranguru,225,teammate,6,Excadrill,,,,,,,,,
Oranguru,225,teammate,7,Mawile,,,,,,,,,
Oranguru,225,teammate,8,Pelipper,,,,,,,,,
Oranguru,225,teammate,9,Basculegion Male,,,,,,,,,
Oranguru,225,teammate,10,Metagross,,,,,,,,,
Oranguru,225,stat_alignment,1,Modest,34.6%,Sp. Atk,Attack,,,,,,
Oranguru,225,stat_alignment,2,Relaxed,19.0%,Defense,Speed,,,,,,
Oranguru,225,stat_alignment,3,Bold,14.8%,Defense,Attack,,,,,,
Oranguru,225,stat_alignment,4,Calm,14.6%,Sp. Def,Attack,,,,,,
Oranguru,225,stat_alignment,5,Sassy,7.8%,Sp. Def,Speed,,,,,,
Oranguru,225,stat_alignment,6,Quiet,5.4%,Sp. Atk,Speed,,,,,,
Oranguru,225,stat_alignment,7,Mild,1.6%,Sp. Atk,Defense,,,,,,
Oranguru,225,stat_alignment,8,Timid,1.6%,Speed,Attack,,,,,,
Oranguru,225,stat_alignment,9,Hasty,0.2%,Speed,Defense,,,,,,
Oranguru,225,stat_alignment,10,Gentle,0.2%,Sp. Def,Defense,,,,,,
Oranguru,225,stat_points,1,,15.0%,,,32,0,0,32,2,0
Oranguru,225,stat_points,2,,12.1%,,,2,0,32,0,32,0
Oranguru,225,stat_points,3,,10.0%,,,32,0,32,0,2,0
Oranguru,225,stat_points,4,,9.5%,,,26,0,0,32,0,8
Oranguru,225,stat_points,5,,4.9%,,,32,0,2,0,32,0
Oranguru,225,stat_points,6,,4.7%,,,26,0,32,0,0,8
Oranguru,225,stat_points,7,,3.2%,,,2,0,0,32,32,0
Oranguru,225,stat_points,8,,2.9%,,,32,0,0,0,32,0
Oranguru,225,stat_points,9,,2.9%,,,32,0,2,32,0,0
Oranguru,225,stat_points,10,,2.4%,,,32,0,32,0,0,0
Oranguru,225,stat_points,11,,1.9%,,,0,0,32,32,2,0
Oranguru,225,ability,1,Inner Focus,80.7%,,,,,,,,
Oranguru,225,ability,2,Telepathy,14.3%,,,,,,,,
Oranguru,225,ability,3,Symbiosis,5.1%,,,,,,,,
