pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Orthworm,100,move,1,Shed Tail,90.6%,,,,,,,,
Orthworm,100,move,2,Body Press,80.8%,,,,,,,,
Orthworm,100,move,3,Stealth Rock,70.4%,,,,,,,,
Orthworm,100,move,4,Iron Defense,45.4%,,,,,,,,
Orthworm,100,move,5,Metal Burst,23.6%,,,,,,,,
Orthworm,100,move,6,Heavy Slam,21.9%,,,,,,,,
Orthworm,100,move,7,Iron Head,15.1%,,,,,,,,
Orthworm,100,move,8,Earthquake,12.3%,,,,,,,,
Orthworm,100,move,9,Rock Tomb,7.6%,,,,,,,,
Orthworm,100,move,10,Spikes,5.3%,,,,,,,,
Orthworm,100,held_item,1,Sitrus Berry,79.0%,,,,,,,,
Orthworm,100,held_item,2,Leftovers,10.6%,,,,,,,,
Orthworm,100,held_item,3,Focus Sash,2.4%,,,,,,,,
Orthworm,100,held_item,4,Chople Berry,1.8%,,,,,,,,
Orthworm,100,held_item,5,Chesto Berry,1.4%,,,,,,,,
Orthworm,100,held_item,6,Occa Berry,1.1%,,,,,,,,
Orthworm,100,held_item,7,Mental Herb,1.0%,,,,,,,,
Orthworm,100,held_item,8,Lum Berry,0.9%,,,,,,,,
Orthworm,100,held_item,9,Quick Claw,0.5%,,,,,,,,
Orthworm,100,held_item,10,Bright Powder,0.3%,,,,,,,,
Orthworm,100,teammate,1,Raichu,,,,,,,,,
Orthworm,100,teammate,2,Garchomp,,,,,,,,,
Orthworm,100,teammate,3,Mimikyu,,,,,,,,,
Orthworm,100,teammate,4,Meowscarada,,,,,,,,,
Orthworm,100,teammate,5,Blaziken,,,,,,,,,
Orthworm,100,teammate,6,Staraptor,,,,,,,,,
Orthworm,100,teammate,7,Alolan Ninetales,,,,,,,,,
Orthworm,100,teammate,8,Basculegion Male,,,,,,,,,
Orthworm,100,teammate,9,Gyarados,,,,,,,,,
Orthworm,100,teammate,10,Glimmora,,,,,,,,,
Orthworm,100,stat_alignment,1,Impish,50.1%,Defense,Sp. Atk,,,,,,
Orthworm,100,stat_alignment,2,Relaxed,27.1%,Defense,Speed,,,,,,
Orthworm,100,stat_alignment,3,Careful,7.4%,Sp. Def,Sp. Atk,,,,,,
Orthworm,100,stat_alignment,4,Sassy,6.4%,Sp. Def,Speed,,,,,,
Orthworm,100,stat_alignment,5,Bold,3.6%,Defense,Attack,,,,,,
Orthworm,100,stat_alignment,6,Adamant,2.1%,Attack,Sp. Atk,,,,,,
Orthworm,100,stat_alignment,7,Jolly,1.0%,Speed,Sp. Atk,,,,,,
Orthworm,100,stat_alignment,8,Brave,0.8%,Attack,Speed,,,,,,
Orthworm,100,stat_alignment,9,Calm,0.6%,Sp. Def,Attack,,,,,,
Orthworm,100,stat_alignment,10,Naughty,0.3%,Attack,Sp. Def,,,,,,
Orthworm,100,stat_points,1,,34.9%,,,32,0,32,0,2,0
Orthworm,100,stat_points,2,,9.8%,,,32,0,2,0,32,0
Orthworm,100,stat_points,3,,5.8%,,,31,0,32,0,3,0
Orthworm,100,stat_points,4,,4.5%,,,32,0,32,0,0,2
Orthworm,100,stat_points,5,,4.1%,,,32,2,32,0,0,0
Orthworm,100,stat_points,6,,3.5%,,,31,0,3,0,32,0
Orthworm,100,stat_points,7,,3.2%,,,32,0,32,0,0,0
Orthworm,100,stat_points,8,,1.9%,,,32,0,0,0,32,0
Orthworm,100,stat_points,9,,1.8%,,,31,0,25,0,10,0
Orthworm,100,stat_points,10,,1.7%,,,32,0,5,0,29,0
Orthworm,100,stat_points,11,,1.5%,,,31,0,5,0,30,0
Orthworm,100,stat_points,12,,1.2%,,,2,32,32,0,0,0
Orthworm,100,ability,1,Earth Eater,99.4%,,,,,,,,
Orthworm,100,ability,2,Sand Veil,0.6%,,,,,,,,
