pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Overqwil,105,move,1,Barb Barrage,63.3%,,,,,,,,
Overqwil,105,move,2,Crunch,45.8%,,,,,,,,
Overqwil,105,move,3,Minimize,35.1%,,,,,,,,
Overqwil,105,move,4,Toxic Spikes,34.5%,,,,,,,,
Overqwil,105,move,5,Throat Chop,27.2%,,,,,,,,
Overqwil,105,move,6,Destiny Bond,25.1%,,,,,,,,
Overqwil,105,move,7,Substitute,22.4%,,,,,,,,
Overqwil,105,move,8,Toxic,21.1%,,,,,,,,
Overqwil,105,move,9,Taunt,15.6%,,,,,,,,
Overqwil,105,move,10,Swords Dance,14.9%,,,,,,,,
Overqwil,105,held_item,1,Leftovers,,,,,,,,,
Overqwil,105,held_item,2,Sitrus Berry,16.9%,,,,,,,,
Overqwil,105,held_item,3,Life Orb,7.7%,,,,,,,,
Overqwil,105,held_item,4,Shuca Berry,6.9%,,,,,,,,
Overqwil,105,held_item,5,Focus Sash,5.2%,,,,,,,,
Overqwil,105,held_item,6,Bright Powder,3.9%,,,,,,,,
Overqwil,105,held_item,7,Damp Rock,3.5%,,,,,,,,
Overqwil,105,held_item,8,Quick Claw,1.7%,,,,,,,,
Overqwil,105,held_item,9,Lum Berry,1.1%,,,,,,,,
Overqwil,105,held_item,10,Poison Barb,1.1%,,,,,,,,
Overqwil,105,teammate,1,Garchomp,,,,,,,,,
Overqwil,105,teammate,2,Staraptor,,,,,,,,,
Overqwil,105,teammate,3,Swampert,,,,,,,,,
Overqwil,105,teammate,4,Archaludon,,,,,,,,,
Overqwil,105,teammate,5,Pelipper,,,,,,,,,
Overqwil,105,teammate,6,Raichu,,,,,,,,,
Overqwil,105,teammate,7,Mimikyu,,,,,,,,,
Overqwil,105,teammate,8,Blaziken,,,,,,,,,
Overqwil,105,teammate,9,Gholdengo,,,,,,,,,
Overqwil,105,teammate,10,Alolan Ninetales,,,,,,,,,
Overqwil,105,stat_alignment,1,Impish,37.7%,Defense,Sp. Atk,,,,,,
Overqwil,105,stat_alignment,2,Jolly,22.6%,Speed,Sp. Atk,,,,,,
Overqwil,105,stat_alignment,3,Adamant,18.7%,Attack,Sp. Atk,,,,,,
Overqwil,105,stat_alignment,4,Careful,16.1%,Sp. Def,Sp. Atk,,,,,,
Overqwil,105,stat_alignment,5,Bold,0.8%,Defense,Attack,,,,,,
Overqwil,105,stat_alignment,6,Calm,0.7%,Sp. Def,Attack,,,,,,
Overqwil,105,stat_alignment,7,Relaxed,0.7%,Defense,Speed,,,,,,
Overqwil,105,stat_alignment,8,Timid,0.6%,Speed,Attack,,,,,,
Overqwil,105,stat_alignment,9,Naughty,0.5%,Attack,Sp. Def,,,,,,
Overqwil,105,stat_alignment,10,Brave,0.3%,Attack,Speed,,,,,,
Overqwil,105,stat_points,1,,14.4%,,,32,0,32,0,2,0
Overqwil,105,stat_points,2,,6.9%,,,2,32,0,0,0,32
Overqwil,105,stat_points,3,,5.6%,,,32,0,2,0,32,0
Overqwil,105,stat_points,4,,3.5%,,,32,0,32,0,0,2
Overqwil,105,stat_points,5,,3.0%,,,32,2,32,0,0,0
Overqwil,105,stat_points,6,,2.4%,,,31,0,3,0,32,0
Overqwil,105,stat_points,7,,2.2%,,,31,0,32,0,3,0
Overqwil,105,stat_points,8,,2.2%,,,1,32,1,0,0,32
Overqwil,105,stat_points,9,,1.6%,,,0,32,2,0,0,32
Overqwil,105,stat_points,10,,1.6%,,,32,32,2,0,0,0
Overqwil,105,stat_points,11,,1.5%,,,17,17,0,0,0,32
Overqwil,105,stat_points,12,,1.3%,,,32,32,0,0,2,0
Overqwil,105,ability,1,Intimidate,76.7%,,,,,,,,
Overqwil,105,ability,2,Swift Swim,19.5%,,,,,,,,
Overqwil,105,ability,3,Poison Point,3.9%,,,,,,,,
