pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Paldean Tauros Aqua Breed,183,move,1,Raging Bull,81.4%,,,,,,,,
Paldean Tauros Aqua Breed,183,move,2,Close Combat,81.4%,,,,,,,,
Paldean Tauros Aqua Breed,183,move,3,Aqua Jet,53.0%,,,,,,,,
Paldean Tauros Aqua Breed,183,move,4,Wild Charge,36.0%,,,,,,,,
Paldean Tauros Aqua Breed,183,move,5,Earthquake,34.9%,,,,,,,,
Paldean Tauros Aqua Breed,183,move,6,Wave Crash,22.6%,,,,,,,,
Paldean Tauros Aqua Breed,183,move,7,Bulk Up,19.0%,,,,,,,,
Paldean Tauros Aqua Breed,183,move,8,Trailblaze,14.6%,,,,,,,,
Paldean Tauros Aqua Breed,183,move,9,Body Press,10.1%,,,,,,,,
Paldean Tauros Aqua Breed,183,move,10,Iron Head,5.7%,,,,,,,,
Paldean Tauros Aqua Breed,183,held_item,1,Sitrus Berry,24.5%,,,,,,,,
Paldean Tauros Aqua Breed,183,held_item,2,Life Orb,19.6%,,,,,,,,
Paldean Tauros Aqua Breed,183,held_item,3,Focus Sash,12.0%,,,,,,,,
Paldean Tauros Aqua Breed,183,held_item,4,Choice Scarf,10.5%,,,,,,,,
Paldean Tauros Aqua Breed,183,held_item,5,Leftovers,8.2%,,,,,,,,
Paldean Tauros Aqua Breed,183,held_item,6,Expert Belt,6.7%,,,,,,,,
Paldean Tauros Aqua Breed,183,held_item,7,Mystic Water,4.7%,,,,,,,,
Paldean Tauros Aqua Breed,183,held_item,8,Lum Berry,3.0%,,,,,,,,
Paldean Tauros Aqua Breed,183,held_item,9,White Herb,2.4%,,,,,,,,
Paldean Tauros Aqua Breed,183,held_item,10,Muscle Band,2.0%,,,,,,,,
Paldean Tauros Aqua Breed,183,teammate,1,Garchomp,,,,,,,,,
Paldean Tauros Aqua Breed,183,teammate,2,Raichu,,,,,,,,,
Paldean Tauros Aqua Breed,183,teammate,3,Metagross,,,,,,,,,
Paldean Tauros Aqua Breed,183,teammate,4,Meowscarada,,,,,,,,,
Paldean Tauros Aqua Breed,183,teammate,5,Charizard,,,,,,,,,
Paldean Tauros Aqua Breed,183,teammate,6,Dragonite,,,,,,,,,
Paldean Tauros Aqua Breed,183,teammate,7,Staraptor,,,,,,,,,
Paldean Tauros Aqua Breed,183,teammate,8,Archaludon,,,,,,,,,
Paldean Tauros Aqua Breed,183,teammate,9,Blaziken,,,,,,,,,
Paldean Tauros Aqua Breed,183,teammate,10,Skeledirge,,,,,,,,,
Paldean Tauros Aqua Breed,183,stat_alignment,1,Adamant,54.2%,Attack,Sp. Atk,,,,,,
Paldean Tauros Aqua Breed,183,stat_alignment,2,Jolly,29.3%,Speed,Sp. Atk,,,,,,
Paldean Tauros Aqua Breed,183,stat_alignment,3,Impish,11.2%,Defense,Sp. Atk,,,,,,
Paldean Tauros Aqua Breed,183,stat_alignment,4,Careful,1.8%,Sp. Def,Sp. Atk,,,,,,
Paldean Tauros Aqua Breed,183,stat_alignment,5,Naughty,1.8%,Attack,Sp. Def,,,,,,
Paldean Tauros Aqua Breed,183,stat_alignment,6,Lonely,0.9%,Attack,Defense,,,,,,
Paldean Tauros Aqua Breed,183,stat_alignment,7,Timid,0.3%,Speed,Attack,,,,,,
Paldean Tauros Aqua Breed,183,stat_alignment,8,Naive,0.2%,Speed,Sp. Def,,,,,,
Paldean Tauros Aqua Breed,183,stat_alignment,9,Relaxed,0.1%,Defense,Speed,,,,,,
Paldean Tauros Aqua Breed,183,stat_alignment,10,Hasty,0.1%,Speed,Defense,,,,,,
Paldean Tauros Aqua Breed,183,stat_points,1,,27.9%,,,2,32,0,0,0,32
Paldean Tauros Aqua Breed,183,stat_points,2,,8.1%,,,0,32,2,0,0,32
Paldean Tauros Aqua Breed,183,stat_points,3,,6.0%,,,32,32,2,0,0,0
Paldean Tauros Aqua Breed,183,stat_points,4,,5.1%,,,0,32,0,0,2,32
Paldean Tauros Aqua Breed,183,stat_points,5,,4.4%,,,1,32,1,0,0,32
Paldean Tauros Aqua Breed,183,stat_points,6,,3.3%,,,32,2,32,0,0,0
Paldean Tauros Aqua Breed,183,stat_points,7,,2.7%,,,1,32,0,0,1,32
Paldean Tauros Aqua Breed,183,stat_points,8,,2.6%,,,32,0,32,0,0,2
Paldean Tauros Aqua Breed,183,stat_points,9,,2.6%,,,2,32,32,0,0,0
Paldean Tauros Aqua Breed,183,stat_points,10,,2.5%,,,32,32,0,0,0,2
Paldean Tauros Aqua Breed,183,stat_points,11,,2.4%,,,31,32,3,0,0,0
Paldean Tauros Aqua Breed,183,ability,1,Intimidate,83.3%,,,,,,,,
Paldean Tauros Aqua Breed,183,ability,2,Cud Chew,10.8%,,,,,,,,
Paldean Tauros Aqua Breed,183,ability,3,Anger Point,5.9%,,,,,,,,
