pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Paldean Tauros Blaze Breed,126,move,1,Close Combat,90.0%,,,,,,,,
Paldean Tauros Blaze Breed,126,move,2,Raging Bull,85.1%,,,,,,,,
Paldean Tauros Blaze Breed,126,move,3,Earthquake,46.5%,,,,,,,,
Paldean Tauros Blaze Breed,126,move,4,Wild Charge,38.8%,,,,,,,,
Paldean Tauros Blaze Breed,126,move,5,Flare Blitz,26.9%,,,,,,,,
Paldean Tauros Blaze Breed,126,move,6,Stone Edge,23.0%,,,,,,,,
Paldean Tauros Blaze Breed,126,move,7,Will-O-Wisp,17.7%,,,,,,,,
Paldean Tauros Blaze Breed,126,move,8,Flame Charge,16.0%,,,,,,,,
Paldean Tauros Blaze Breed,126,move,9,Rock Tomb,12.5%,,,,,,,,
Paldean Tauros Blaze Breed,126,move,10,Bulk Up,8.2%,,,,,,,,
Paldean Tauros Blaze Breed,126,held_item,1,Choice Scarf,20.9%,,,,,,,,
Paldean Tauros Blaze Breed,126,held_item,2,Sitrus Berry,18.6%,,,,,,,,
Paldean Tauros Blaze Breed,126,held_item,3,Life Orb,13.0%,,,,,,,,
Paldean Tauros Blaze Breed,126,held_item,4,Charcoal,8.8%,,,,,,,,
Paldean Tauros Blaze Breed,126,held_item,5,Expert Belt,8.7%,,,,,,,,
Paldean Tauros Blaze Breed,126,held_item,6,Focus Sash,7.0%,,,,,,,,
Paldean Tauros Blaze Breed,126,held_item,7,Leftovers,5.8%,,,,,,,,
Paldean Tauros Blaze Breed,126,held_item,8,Shuca Berry,2.7%,,,,,,,,
Paldean Tauros Blaze Breed,126,held_item,9,Muscle Band,2.7%,,,,,,,,
Paldean Tauros Blaze Breed,126,held_item,10,Passho Berry,2.0%,,,,,,,,
Paldean Tauros Blaze Breed,126,teammate,1,Gyarados,,,,,,,,,
Paldean Tauros Blaze Breed,126,teammate,2,Garchomp,,,,,,,,,
Paldean Tauros Blaze Breed,126,teammate,3,Raichu,,,,,,,,,
Paldean Tauros Blaze Breed,126,teammate,4,Gholdengo,,,,,,,,,
Paldean Tauros Blaze Breed,126,teammate,5,Meowscarada,,,,,,,,,
Paldean Tauros Blaze Breed,126,teammate,6,Tyranitar,,,,,,,,,
Paldean Tauros Blaze Breed,126,teammate,7,Swampert,,,,,,,,,
Paldean Tauros Blaze Breed,126,teammate,8,Mimikyu,,,,,,,,,
Paldean Tauros Blaze Breed,126,teammate,9,Archaludon,,,,,,,,,
Paldean Tauros Blaze Breed,126,teammate,10,Staraptor,,,,,,,,,
Paldean Tauros Blaze Breed,126,stat_alignment,1,Adamant,62.7%,Attack,Sp. Atk,,,,,,
Paldean Tauros Blaze Breed,126,stat_alignment,2,Jolly,28.5%,Speed,Sp. Atk,,,,,,
Paldean Tauros Blaze Breed,126,stat_alignment,3,Impish,6.2%,Defense,Sp. Atk,,,,,,
Paldean Tauros Blaze Breed,126,stat_alignment,4,Naughty,0.8%,Attack,Sp. Def,,,,,,
Paldean Tauros Blaze Breed,126,stat_alignment,5,Careful,0.6%,Sp. Def,Sp. Atk,,,,,,
Paldean Tauros Blaze Breed,126,stat_alignment,6,Naive,0.3%,Speed,Sp. Def,,,,,,
Paldean Tauros Blaze Breed,126,stat_alignment,7,Lonely,0.2%,Attack,Defense,,,,,,
Paldean Tauros Blaze Breed,126,stat_alignment,8,Brave,0.2%,Attack,Speed,,,,,,
Paldean Tauros Blaze Breed,126,stat_alignment,9,Sassy,0.1%,Sp. Def,Speed,,,,,,
Paldean Tauros Blaze Breed,126,stat_alignment,10,Relaxed,0.1%,Defense,Speed,,,,,,
Paldean Tauros Blaze Breed,126,stat_points,1,,25.3%,,,2,32,0,0,0,32
Paldean Tauros Blaze Breed,126,stat_points,2,,10.7%,,,32,32,2,0,0,0
Paldean Tauros Blaze Breed,126,stat_points,3,,8.1%,,,1,32,1,0,0,32
Paldean Tauros Blaze Breed,126,stat_points,4,,5.9%,,,31,32,3,0,0,0
Paldean Tauros Blaze Breed,126,stat_points,5,,5.9%,,,0,32,2,0,0,32
Paldean Tauros Blaze Breed,126,stat_points,6,,3.5%,,,0,32,0,0,2,32
Paldean Tauros Blaze Breed,126,stat_points,7,,3.0%,,,32,32,0,0,0,2
Paldean Tauros Blaze Breed,126,stat_points,8,,2.8%,,,1,32,0,0,1,32
Paldean Tauros Blaze Breed,126,stat_points,9,,2.1%,,,32,32,0,0,2,0
Paldean Tauros Blaze Breed,126,stat_points,10,,1.6%,,,25,16,0,0,0,25
Paldean Tauros Blaze Breed,126,stat_points,11,,1.1%,,,29,32,5,0,0,0
Paldean Tauros Blaze Breed,126,stat_points,12,,0.9%,,,0,32,32,0,0,2
Paldean Tauros Blaze Breed,126,ability,1,Intimidate,80.9%,,,,,,,,
Paldean Tauros Blaze Breed,126,ability,2,Anger Point,15.5%,,,,,,,,
Paldean Tauros Blaze Breed,126,ability,3,Cud Chew,3.6%,,,,,,,,
