pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Paldean Tauros Combat Breed,228,move,1,Raging Bull,81.9%,,,,,,,,
Paldean Tauros Combat Breed,228,move,2,Earthquake,63.7%,,,,,,,,
Paldean Tauros Combat Breed,228,move,3,Wild Charge,54.2%,,,,,,,,
Paldean Tauros Combat Breed,228,move,4,Iron Head,50.8%,,,,,,,,
Paldean Tauros Combat Breed,228,move,5,Outrage,26.1%,,,,,,,,
Paldean Tauros Combat Breed,228,move,6,Close Combat,25.1%,,,,,,,,
Paldean Tauros Combat Breed,228,move,7,Megahorn,13.7%,,,,,,,,
Paldean Tauros Combat Breed,228,move,8,Rock Tomb,12.5%,,,,,,,,
Paldean Tauros Combat Breed,228,move,9,Throat Chop,10.1%,,,,,,,,
Paldean Tauros Combat Breed,228,move,10,Stone Edge,9.2%,,,,,,,,
Paldean Tauros Combat Breed,228,held_item,1,Sitrus Berry,35.2%,,,,,,,,
Paldean Tauros Combat Breed,228,held_item,2,Life Orb,26.5%,,,,,,,,
Paldean Tauros Combat Breed,228,held_item,3,Choice Scarf,17.8%,,,,,,,,
Paldean Tauros Combat Breed,228,held_item,4,Focus Sash,9.2%,,,,,,,,
Paldean Tauros Combat Breed,228,held_item,5,Quick Claw,3.6%,,,,,,,,
Paldean Tauros Combat Breed,228,held_item,6,Roseli Berry,3.3%,,,,,,,,
Paldean Tauros Combat Breed,228,held_item,7,Leftovers,2.1%,,,,,,,,
Paldean Tauros Combat Breed,228,held_item,8,Lum Berry,1.7%,,,,,,,,
Paldean Tauros Combat Breed,228,held_item,9,Muscle Band,0.7%,,,,,,,,
Paldean Tauros Combat Breed,228,held_item,10,Shell Bell,0.6%,,,,,,,,
Paldean Tauros Combat Breed,228,teammate,1,Garchomp,,,,,,,,,
Paldean Tauros Combat Breed,228,teammate,2,Charizard,,,,,,,,,
Paldean Tauros Combat Breed,228,teammate,3,Dragonite,,,,,,,,,
Paldean Tauros Combat Breed,228,teammate,4,Raichu,,,,,,,,,
Paldean Tauros Combat Breed,228,teammate,5,Gengar,,,,,,,,,
Paldean Tauros Combat Breed,228,teammate,6,Meowscarada,,,,,,,,,
Paldean Tauros Combat Breed,228,teammate,7,Staraptor,,,,,,,,,
Paldean Tauros Combat Breed,228,teammate,8,Mimikyu,,,,,,,,,
Paldean Tauros Combat Breed,228,teammate,9,Greninja,,,,,,,,,
Paldean Tauros Combat Breed,228,teammate,10,Hydreigon,,,,,,,,,
Paldean Tauros Combat Breed,228,stat_alignment,1,Adamant,52.8%,Attack,Sp. Atk,,,,,,
Paldean Tauros Combat Breed,228,stat_alignment,2,Jolly,22.0%,Speed,Sp. Atk,,,,,,
Paldean Tauros Combat Breed,228,stat_alignment,3,Naughty,8.0%,Attack,Sp. Def,,,,,,
Paldean Tauros Combat Breed,228,stat_alignment,4,Impish,7.4%,Defense,Sp. Atk,,,,,,
Paldean Tauros Combat Breed,228,stat_alignment,5,Hasty,6.1%,Speed,Defense,,,,,,
Paldean Tauros Combat Breed,228,stat_alignment,6,Brave,1.9%,Attack,Speed,,,,,,
Paldean Tauros Combat Breed,228,stat_alignment,7,Relaxed,0.7%,Defense,Speed,,,,,,
Paldean Tauros Combat Breed,228,stat_alignment,8,Lonely,0.5%,Attack,Defense,,,,,,
Paldean Tauros Combat Breed,228,stat_alignment,9,Lax,0.4%,Defense,Sp. Def,,,,,,
Paldean Tauros Combat Breed,228,stat_alignment,10,Naive,0.2%,Speed,Sp. Def,,,,,,
Paldean Tauros Combat Breed,228,stat_points,1,,26.4%,,,2,32,0,0,0,32
Paldean Tauros Combat Breed,228,stat_points,2,,14.2%,,,0,32,0,0,2,32
Paldean Tauros Combat Breed,228,stat_points,3,,11.3%,,,2,32,32,0,0,0
Paldean Tauros Combat Breed,228,stat_points,4,,6.6%,,,0,32,2,0,0,32
Paldean Tauros Combat Breed,228,stat_points,5,,6.4%,,,32,32,0,0,0,2
Paldean Tauros Combat Breed,228,stat_points,6,,4.5%,,,0,32,32,0,2,0
Paldean Tauros Combat Breed,228,stat_points,7,,3.6%,,,0,32,0,0,0,32
Paldean Tauros Combat Breed,228,stat_points,8,,3.1%,,,0,32,0,0,32,2
Paldean Tauros Combat Breed,228,stat_points,9,,2.7%,,,0,32,10,0,0,24
Paldean Tauros Combat Breed,228,stat_points,10,,2.4%,,,14,32,0,0,0,20
Paldean Tauros Combat Breed,228,stat_points,11,,2.0%,,,32,32,2,0,0,0
Paldean Tauros Combat Breed,228,stat_points,12,,1.8%,,,0,32,32,0,0,2
Paldean Tauros Combat Breed,228,ability,1,Intimidate,69.0%,,,,,,,,
Paldean Tauros Combat Breed,228,ability,2,Cud Chew,21.9%,,,,,,,,
Paldean Tauros Combat Breed,228,ability,3,Anger Point,9.1%,,,,,,,,
