pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Pelipper,18,move,1,Hurricane,98.4%,,,,,,,,
Pelipper,18,move,2,U-turn,92.4%,,,,,,,,
Pelipper,18,move,3,Ice Beam,65.0%,,,,,,,,
Pelipper,18,move,4,Surf,49.6%,,,,,,,,
Pelipper,18,move,5,Weather Ball,37.2%,,,,,,,,
Pelipper,18,move,6,Tailwind,17.5%,,,,,,,,
Pelipper,18,move,7,Roost,16.2%,,,,,,,,
Pelipper,18,move,8,Hydro Pump,7.7%,,,,,,,,
Pelipper,18,move,9,Quick Attack,2.7%,,,,,,,,
Pelipper,18,move,10,Rain Dance,2.6%,,,,,,,,
Pelipper,18,held_item,1,Damp Rock,73.7%,,,,,,,,
Pelipper,18,held_item,2,Focus Sash,12.1%,,,,,,,,
Pelipper,18,held_item,3,Sitrus Berry,7.9%,,,,,,,,
Pelipper,18,held_item,4,Choice Scarf,1.6%,,,,,,,,
Pelipper,18,held_item,5,Icy Rock,0.7%,,,,,,,,
Pelipper,18,held_item,6,Leftovers,0.7%,,,,,,,,
Pelipper,18,held_item,7,Quick Claw,0.4%,,,,,,,,
Pelipper,18,held_item,8,Life Orb,0.4%,,,,,,,,
Pelipper,18,held_item,9,Wacan Berry,0.4%,,,,,,,,
Pelipper,18,held_item,10,Mystic Water,0.3%,,,,,,,,
Pelipper,18,teammate,1,Swampert,,,,,,,,,
Pelipper,18,teammate,2,Archaludon,,,,,,,,,
Pelipper,18,teammate,3,Garchomp,,,,,,,,,
Pelipper,18,teammate,4,Mimikyu,,,,,,,,,
Pelipper,18,teammate,5,Meowscarada,,,,,,,,,
Pelipper,18,teammate,6,Basculegion Male,,,,,,,,,
Pelipper,18,teammate,7,Raichu,,,,,,,,,
Pelipper,18,teammate,8,Metagross,,,,,,,,,
Pelipper,18,teammate,9,Charizard,,,,,,,,,
Pelipper,18,teammate,10,Staraptor,,,,,,,,,
Pelipper,18,stat_alignment,1,Relaxed,35.2%,Defense,Speed,,,,,,
Pelipper,18,stat_alignment,2,Modest,29.0%,Sp. Atk,Attack,,,,,,
Pelipper,18,stat_alignment,3,Bold,12.7%,Defense,Attack,,,,,,
Pelipper,18,stat_alignment,4,Quiet,9.0%,Sp. Atk,Speed,,,,,,
Pelipper,18,stat_alignment,5,Timid,7.0%,Speed,Attack,,,,,,
Pelipper,18,stat_alignment,6,Calm,3.3%,Sp. Def,Attack,,,,,,
Pelipper,18,stat_alignment,7,Sassy,1.8%,Sp. Def,Speed,,,,,,
Pelipper,18,stat_alignment,8,Mild,0.6%,Sp. Atk,Defense,,,,,,
Pelipper,18,stat_alignment,9,Rash,0.4%,Sp. Atk,Sp. Def,,,,,,
Pelipper,18,stat_alignment,10,Impish,0.2%,Defense,Sp. Atk,,,,,,
Pelipper,18,stat_points,1,,22.0%,,,32,0,32,0,2,0
Pelipper,18,stat_points,2,,9.4%,,,2,0,0,32,0,32
Pelipper,18,stat_points,3,,7.3%,,,32,0,32,2,0,0
Pelipper,18,stat_points,4,,7.0%,,,32,0,2,32,0,0
Pelipper,18,stat_points,5,,6.4%,,,32,0,30,0,4,0
Pelipper,18,stat_points,6,,5.0%,,,32,0,0,32,2,0
Pelipper,18,stat_points,7,,3.0%,,,32,0,0,18,15,1
Pelipper,18,stat_points,8,,2.2%,,,32,0,0,32,0,2
Pelipper,18,stat_points,9,,2.1%,,,32,0,9,5,20,0
Pelipper,18,stat_points,10,,1.9%,,,0,0,2,32,0,32
Pelipper,18,stat_points,11,,1.8%,,,32,0,2,0,32,0
Pelipper,18,stat_points,12,,1.5%,,,0,0,0,32,2,32
Pelipper,18,ability,1,Drizzle,99.5%,,,,,,,,
Pelipper,18,ability,2,Keen Eye,0.2%,,,,,,,,
Pelipper,18,ability,3,Rain Dish,0.2%,,,,,,,,
