pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Pidgeot,154,move,1,Hurricane,99.0%,,,,,,,,
Pidgeot,154,move,2,Heat Wave,95.7%,,,,,,,,
Pidgeot,154,move,3,Hyper Beam,67.0%,,,,,,,,
Pidgeot,154,move,4,Substitute,28.6%,,,,,,,,
Pidgeot,154,move,5,Quick Attack,26.0%,,,,,,,,
Pidgeot,154,move,6,Roost,21.3%,,,,,,,,
Pidgeot,154,move,7,U-turn,19.1%,,,,,,,,
Pidgeot,154,move,8,Tailwind,10.6%,,,,,,,,
Pidgeot,154,move,9,Whirlwind,8.4%,,,,,,,,
Pidgeot,154,move,10,Feather Dance,5.5%,,,,,,,,
Pidgeot,154,held_item,1,Pidgeotite,97.9%,,,,,,,,
Pidgeot,154,held_item,2,Focus Band,0.4%,,,,,,,,
Pidgeot,154,held_item,3,Choice Scarf,0.2%,,,,,,,,
Pidgeot,154,held_item,4,Damp Rock,0.2%,,,,,,,,
Pidgeot,154,held_item,5,Focus Sash,0.1%,,,,,,,,
Pidgeot,154,held_item,6,Silk Scarf,0.1%,,,,,,,,
Pidgeot,154,held_item,7,Bright Powder,0.1%,,,,,,,,
Pidgeot,154,held_item,8,Quick Claw,0.1%,,,,,,,,
Pidgeot,154,held_item,9,Expert Belt,0.1%,,,,,,,,
Pidgeot,154,held_item,10,Lum Berry,0.1%,,,,,,,,
Pidgeot,154,teammate,1,Garchomp,,,,,,,,,
Pidgeot,154,teammate,2,Mimikyu,,,,,,,,,
Pidgeot,154,teammate,3,Archaludon,,,,,,,,,
Pidgeot,154,teammate,4,Meowscarada,,,,,,,,,
Pidgeot,154,teammate,5,Blaziken,,,,,,,,,
Pidgeot,154,teammate,6,Metagross,,,,,,,,,
Pidgeot,154,teammate,7,Raichu,,,,,,,,,
Pidgeot,154,teammate,8,Swampert,,,,,,,,,
Pidgeot,154,teammate,9,Alolan Ninetales,,,,,,,,,
Pidgeot,154,teammate,10,Rotom Wash,,,,,,,,,
Pidgeot,154,stat_alignment,1,Timid,64.8%,Speed,Attack,,,,,,
Pidgeot,154,stat_alignment,2,Modest,31.2%,Sp. Atk,Attack,,,,,,
Pidgeot,154,stat_alignment,3,Hasty,1.1%,Speed,Defense,,,,,,
Pidgeot,154,stat_alignment,4,Bold,1.0%,Defense,Attack,,,,,,
Pidgeot,154,stat_alignment,5,Mild,0.7%,Sp. Atk,Defense,,,,,,
Pidgeot,154,stat_alignment,6,Jolly,0.3%,Speed,Sp. Atk,,,,,,
Pidgeot,154,stat_alignment,7,Naive,0.3%,Speed,Sp. Def,,,,,,
Pidgeot,154,stat_alignment,8,Adamant,0.2%,Attack,Sp. Atk,,,,,,
Pidgeot,154,stat_alignment,9,Rash,0.2%,Sp. Atk,Sp. Def,,,,,,
Pidgeot,154,stat_alignment,10,Lonely,0.1%,Attack,Defense,,,,,,
Pidgeot,154,stat_points,1,,35.4%,,,2,0,0,32,0,32
Pidgeot,154,stat_points,2,,18.8%,,,1,0,1,32,0,32
Pidgeot,154,stat_points,3,,9.1%,,,0,0,2,32,0,32
Pidgeot,154,stat_points,4,,5.2%,,,1,0,0,32,1,32
Pidgeot,154,stat_points,5,,2.8%,,,32,0,2,32,0,0
Pidgeot,154,stat_points,6,,2.1%,,,0,0,0,32,2,32
Pidgeot,154,stat_points,7,,1.6%,,,32,0,0,32,0,2
Pidgeot,154,stat_points,8,,1.5%,,,3,0,0,31,0,32
Pidgeot,154,stat_points,9,,1.5%,,,27,0,1,5,1,32
Pidgeot,154,stat_points,10,,1.2%,,,1,0,0,32,0,32
Pidgeot,154,stat_points,11,,1.1%,,,0,0,0,32,0,32
Pidgeot,154,stat_points,12,,1.1%,,,12,0,0,32,0,22
Pidgeot,154,ability,1,Big Pecks,61.7%,,,,,,,,
Pidgeot,154,ability,2,Keen Eye,28.5%,,,,,,,,
Pidgeot,154,ability,3,Tangled Feet,9.8%,,,,,,,,
