pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Politoed,121,move,1,Waterfall,62.3%,,,,,,,,
Politoed,121,move,2,Ice Beam,61.1%,,,,,,,,
Politoed,121,move,3,Encore,51.8%,,,,,,,,
Politoed,121,move,4,Perish Song,38.7%,,,,,,,,
Politoed,121,move,5,Earth Power,26.3%,,,,,,,,
Politoed,121,move,6,Surf,22.1%,,,,,,,,
Politoed,121,move,7,Protect,16.7%,,,,,,,,
Politoed,121,move,8,Hydro Pump,14.4%,,,,,,,,
Politoed,121,move,9,Hypnosis,13.9%,,,,,,,,
Politoed,121,move,10,Icy Wind,13.2%,,,,,,,,
Politoed,121,held_item,1,Damp Rock,61.1%,,,,,,,,
Politoed,121,held_item,2,Sitrus Berry,11.5%,,,,,,,,
Politoed,121,held_item,3,Mystic Water,4.4%,,,,,,,,
Politoed,121,held_item,4,Leftovers,4.3%,,,,,,,,
Politoed,121,held_item,5,Choice Scarf,4.0%,,,,,,,,
Politoed,121,held_item,6,Focus Sash,3.8%,,,,,,,,
Politoed,121,held_item,7,Quick Claw,2.0%,,,,,,,,
Politoed,121,held_item,8,Life Orb,1.4%,,,,,,,,
Politoed,121,held_item,9,Wacan Berry,0.9%,,,,,,,,
Politoed,121,held_item,10,Lum Berry,0.8%,,,,,,,,
Politoed,121,teammate,1,Swampert,,,,,,,,,
Politoed,121,teammate,2,Archaludon,,,,,,,,,
Politoed,121,teammate,3,Garchomp,,,,,,,,,
Politoed,121,teammate,4,Basculegion Male,,,,,,,,,
Politoed,121,teammate,5,Meowscarada,,,,,,,,,
Politoed,121,teammate,6,Raichu,,,,,,,,,
Politoed,121,teammate,7,Mimikyu,,,,,,,,,
Politoed,121,teammate,8,Dragonite,,,,,,,,,
Politoed,121,teammate,9,Staraptor,,,,,,,,,
Politoed,121,teammate,10,Charizard,,,,,,,,,
Politoed,121,stat_alignment,1,Modest,42.8%,Sp. Atk,Attack,,,,,,
Politoed,121,stat_alignment,2,Bold,20.6%,Defense,Attack,,,,,,
Politoed,121,stat_alignment,3,Calm,14.0%,Sp. Def,Attack,,,,,,
Politoed,121,stat_alignment,4,Timid,11.7%,Speed,Attack,,,,,,
Politoed,121,stat_alignment,5,Quiet,3.3%,Sp. Atk,Speed,,,,,,
Politoed,121,stat_alignment,6,Relaxed,1.9%,Defense,Speed,,,,,,
Politoed,121,stat_alignment,7,Sassy,1.9%,Sp. Def,Speed,,,,,,
Politoed,121,stat_alignment,8,Mild,1.7%,Sp. Atk,Defense,,,,,,
Politoed,121,stat_alignment,9,Gentle,0.7%,Sp. Def,Defense,,,,,,
Politoed,121,stat_alignment,10,Impish,0.2%,Defense,Sp. Atk,,,,,,
Politoed,121,stat_points,1,,12.5%,,,32,0,2,32,0,0
Politoed,121,stat_points,2,,9.0%,,,2,0,0,32,0,32
Politoed,121,stat_points,3,,7.5%,,,32,0,32,0,2,0
Politoed,121,stat_points,4,,6.3%,,,32,0,0,32,0,2
Politoed,121,stat_points,5,,5.2%,,,32,0,0,32,2,0
Politoed,121,stat_points,6,,3.6%,,,0,0,2,32,0,32
Politoed,121,stat_points,7,,3.4%,,,32,0,2,0,32,0
Politoed,121,stat_points,8,,3.0%,,,32,0,32,2,0,0
Politoed,121,stat_points,9,,2.6%,,,0,0,0,32,2,32
Politoed,121,stat_points,10,,2.5%,,,2,0,0,32,32,0
Politoed,121,stat_points,11,,2.5%,,,2,0,32,32,0,0
Politoed,121,stat_points,12,,1.8%,,,0,0,0,32,32,2
Politoed,121,ability,1,Drizzle,95.9%,,,,,,,,
Politoed,121,ability,2,Water Absorb,3.5%,,,,,,,,
Politoed,121,ability,3,Damp,0.6%,,,,,,,,
