pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Polteageist,89,move,1,Shell Smash,97.9%,,,,,,,,
Polteageist,89,move,2,Shadow Ball,85.3%,,,,,,,,
Polteageist,89,move,3,Baton Pass,75.6%,,,,,,,,
Polteageist,89,move,4,Strength Sap,56.5%,,,,,,,,
Polteageist,89,move,5,Stored Power,43.2%,,,,,,,,
Polteageist,89,move,6,Giga Drain,13.6%,,,,,,,,
Polteageist,89,move,7,Sucker Punch,4.8%,,,,,,,,
Polteageist,89,move,8,Substitute,4.8%,,,,,,,,
Polteageist,89,move,9,Will-O-Wisp,3.9%,,,,,,,,
Polteageist,89,move,10,Dark Pulse,2.0%,,,,,,,,
Polteageist,89,held_item,1,White Herb,75.9%,,,,,,,,
Polteageist,89,held_item,2,Focus Sash,21.1%,,,,,,,,
Polteageist,89,held_item,3,Mental Herb,0.4%,,,,,,,,
Polteageist,89,held_item,4,Sitrus Berry,0.4%,,,,,,,,
Polteageist,89,held_item,5,Leftovers,0.3%,,,,,,,,
Polteageist,89,held_item,6,Light Clay,0.2%,,,,,,,,
Polteageist,89,held_item,7,Lum Berry,0.2%,,,,,,,,
Polteageist,89,held_item,8,Big Root,0.2%,,,,,,,,
Polteageist,89,held_item,9,Bright Powder,0.2%,,,,,,,,
Polteageist,89,held_item,10,Kasib Berry,0.1%,,,,,,,,
Polteageist,89,teammate,1,Garchomp,,,,,,,,,
Polteageist,89,teammate,2,Staraptor,,,,,,,,,
Polteageist,89,teammate,3,Grimmsnarl,,,,,,,,,
Polteageist,89,teammate,4,Metagross,,,,,,,,,
Polteageist,89,teammate,5,Gyarados,,,,,,,,,
Polteageist,89,teammate,6,Archaludon,,,,,,,,,
Polteageist,89,teammate,7,Raichu,,,,,,,,,
Polteageist,89,teammate,8,Meowscarada,,,,,,,,,
Polteageist,89,teammate,9,Alolan Ninetales,,,,,,,,,
Polteageist,89,teammate,10,Mimikyu,,,,,,,,,
Polteageist,89,stat_alignment,1,Bold,47.2%,Defense,Attack,,,,,,
Polteageist,89,stat_alignment,2,Timid,27.5%,Speed,Attack,,,,,,
Polteageist,89,stat_alignment,3,Modest,17.1%,Sp. Atk,Attack,,,,,,
Polteageist,89,stat_alignment,4,Calm,4.4%,Sp. Def,Attack,,,,,,
Polteageist,89,stat_alignment,5,Mild,1.6%,Sp. Atk,Defense,,,,,,
Polteageist,89,stat_alignment,6,Relaxed,0.4%,Defense,Speed,,,,,,
Polteageist,89,stat_alignment,7,Hasty,0.3%,Speed,Defense,,,,,,
Polteageist,89,stat_alignment,8,Rash,0.3%,Sp. Atk,Sp. Def,,,,,,
Polteageist,89,stat_alignment,9,Impish,0.2%,Defense,Sp. Atk,,,,,,
Polteageist,89,stat_alignment,10,Jolly,0.2%,Speed,Sp. Atk,,,,,,
Polteageist,89,stat_points,1,,17.2%,,,24,0,24,0,0,18
Polteageist,89,stat_points,2,,11.4%,,,2,0,0,32,0,32
Polteageist,89,stat_points,3,,5.6%,,,32,0,32,0,2,0
Polteageist,89,stat_points,4,,4.0%,,,32,0,16,0,0,18
Polteageist,89,stat_points,5,,3.3%,,,32,0,32,0,0,2
Polteageist,89,stat_points,6,,2.9%,,,0,0,0,32,2,32
Polteageist,89,stat_points,7,,2.8%,,,23,0,17,0,0,26
Polteageist,89,stat_points,8,,2.1%,,,0,0,2,32,0,32
Polteageist,89,stat_points,9,,2.0%,,,32,0,2,0,0,32
Polteageist,89,stat_points,10,,1.7%,,,16,0,32,0,0,18
Polteageist,89,stat_points,11,,1.3%,,,2,0,32,0,0,32
Polteageist,89,ability,1,Cursed Body,72.6%,,,,,,,,
Polteageist,89,ability,2,Weak Armor,27.4%,,,,,,,,
