pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Primarina,15,move,1,Moonblast,96.9%,,,,,,,,
Primarina,15,move,2,Sparkling Aria,86.3%,,,,,,,,
Primarina,15,move,3,Aqua Jet,67.5%,,,,,,,,
Primarina,15,move,4,Encore,40.7%,,,,,,,,
Primarina,15,move,5,Calm Mind,27.6%,,,,,,,,
Primarina,15,move,6,Flip Turn,26.3%,,,,,,,,
Primarina,15,move,7,Surf,9.0%,,,,,,,,
Primarina,15,move,8,Ice Beam,9.0%,,,,,,,,
Primarina,15,move,9,Energy Ball,8.8%,,,,,,,,
Primarina,15,move,10,Psychic Noise,3.5%,,,,,,,,
Primarina,15,held_item,1,Sitrus Berry,58.0%,,,,,,,,
Primarina,15,held_item,2,Leftovers,15.8%,,,,,,,,
Primarina,15,held_item,3,Mystic Water,8.6%,,,,,,,,
Primarina,15,held_item,4,Focus Sash,3.5%,,,,,,,,
Primarina,15,held_item,5,Lum Berry,3.5%,,,,,,,,
Primarina,15,held_item,6,Life Orb,2.0%,,,,,,,,
Primarina,15,held_item,7,Chesto Berry,1.8%,,,,,,,,
Primarina,15,held_item,8,Fairy Feather,1.8%,,,,,,,,
Primarina,15,held_item,9,Quick Claw,1.0%,,,,,,,,
Primarina,15,held_item,10,Choice Scarf,0.7%,,,,,,,,
Primarina,15,teammate,1,Garchomp,,,,,,,,,
Primarina,15,teammate,2,Meowscarada,,,,,,,,,
Primarina,15,teammate,3,Metagross,,,,,,,,,
Primarina,15,teammate,4,Charizard,,,,,,,,,
Primarina,15,teammate,5,Mimikyu,,,,,,,,,
Primarina,15,teammate,6,Raichu,,,,,,,,,
Primarina,15,teammate,7,Archaludon,,,,,,,,,
Primarina,15,teammate,8,Corviknight,,,,,,,,,
Primarina,15,teammate,9,Staraptor,,,,,,,,,
Primarina,15,teammate,10,Hippowdon,,,,,,,,,
Primarina,15,stat_alignment,1,Modest,70.4%,Sp. Atk,Attack,,,,,,
Primarina,15,stat_alignment,2,Quiet,10.3%,Sp. Atk,Speed,,,,,,
Primarina,15,stat_alignment,3,Bold,10.0%,Defense,Attack,,,,,,
Primarina,15,stat_alignment,4,Calm,3.4%,Sp. Def,Attack,,,,,,
Primarina,15,stat_alignment,5,Relaxed,2.2%,Defense,Speed,,,,,,
Primarina,15,stat_alignment,6,Timid,1.4%,Speed,Attack,,,,,,
Primarina,15,stat_alignment,7,Mild,1.0%,Sp. Atk,Defense,,,,,,
Primarina,15,stat_alignment,8,Sassy,0.6%,Sp. Def,Speed,,,,,,
Primarina,15,stat_alignment,9,Rash,0.3%,Sp. Atk,Sp. Def,,,,,,
Primarina,15,stat_alignment,10,Gentle,0.1%,Sp. Def,Defense,,,,,,
Primarina,15,stat_points,1,,15.5%,,,32,0,0,32,0,2
Primarina,15,stat_points,2,,6.8%,,,32,0,2,32,0,0
Primarina,15,stat_points,3,,5.2%,,,32,0,0,32,2,0
Primarina,15,stat_points,4,,4.2%,,,32,0,10,24,0,0
Primarina,15,stat_points,5,,3.7%,,,32,0,20,14,0,0
Primarina,15,stat_points,6,,3.1%,,,32,0,32,2,0,0
Primarina,15,stat_points,7,,2.8%,,,2,0,0,32,0,32
Primarina,15,stat_points,8,,2.5%,,,28,0,32,0,1,5
Primarina,15,stat_points,9,,2.3%,,,32,0,32,0,2,0
Primarina,15,stat_points,10,,2.0%,,,32,0,6,24,0,4
Primarina,15,stat_points,11,,1.6%,,,32,0,0,24,0,10
Primarina,15,stat_points,12,,1.5%,,,32,0,14,4,7,9
Primarina,15,ability,1,Torrent,92.3%,,,,,,,,
Primarina,15,ability,2,Liquid Voice,7.7%,,,,,,,,
