pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Rampardos,212,move,1,Head Smash,84.1%,,,,,,,,
Rampardos,212,move,2,Earthquake,70.7%,,,,,,,,
Rampardos,212,move,3,Supercell Slam,37.0%,,,,,,,,
Rampardos,212,move,4,Iron Head,31.5%,,,,,,,,
Rampardos,212,move,5,Superpower,19.6%,,,,,,,,
Rampardos,212,move,6,Rock Slide,19.3%,,,,,,,,
Rampardos,212,move,7,Outrage,18.1%,,,,,,,,
Rampardos,212,move,8,Fire Punch,17.9%,,,,,,,,
Rampardos,212,move,9,Zen Headbutt,13.0%,,,,,,,,
Rampardos,212,move,10,Thunder Punch,11.0%,,,,,,,,
Rampardos,212,held_item,1,Choice Scarf,40.2%,,,,,,,,
Rampardos,212,held_item,2,Life Orb,27.8%,,,,,,,,
Rampardos,212,held_item,3,Focus Sash,12.0%,,,,,,,,
Rampardos,212,held_item,4,Quick Claw,5.1%,,,,,,,,
Rampardos,212,held_item,5,Hard Stone,3.6%,,,,,,,,
Rampardos,212,held_item,6,Sitrus Berry,1.7%,,,,,,,,
Rampardos,212,held_item,7,Leftovers,1.5%,,,,,,,,
Rampardos,212,held_item,8,Muscle Band,1.1%,,,,,,,,
Rampardos,212,held_item,9,Wide Lens,1.0%,,,,,,,,
Rampardos,212,held_item,10,Expert Belt,1.0%,,,,,,,,
Rampardos,212,teammate,1,Garchomp,,,,,,,,,
Rampardos,212,teammate,2,Staraptor,,,,,,,,,
Rampardos,212,teammate,3,Hatterene,,,,,,,,,
Rampardos,212,teammate,4,Raichu,,,,,,,,,
Rampardos,212,teammate,5,Blaziken,,,,,,,,,
Rampardos,212,teammate,6,Kingambit,,,,,,,,,
Rampardos,212,teammate,7,Charizard,,,,,,,,,
Rampardos,212,teammate,8,Archaludon,,,,,,,,,
Rampardos,212,teammate,9,Dragonite,,,,,,,,,
Rampardos,212,teammate,10,Dragapult,,,,,,,,,
Rampardos,212,stat_alignment,1,Adamant,35.7%,Attack,Sp. Atk,,,,,,
Rampardos,212,stat_alignment,2,Jolly,30.1%,Speed,Sp. Atk,,,,,,
Rampardos,212,stat_alignment,3,Brave,28.3%,Attack,Speed,,,,,,
Rampardos,212,stat_alignment,4,Naive,2.0%,Speed,Sp. Def,,,,,,
Rampardos,212,stat_alignment,5,Naughty,1.4%,Attack,Sp. Def,,,,,,
Rampardos,212,stat_alignment,6,Lonely,1.3%,Attack,Defense,,,,,,
Rampardos,212,stat_alignment,7,Relaxed,0.4%,Defense,Speed,,,,,,
Rampardos,212,stat_alignment,8,Impish,0.3%,Defense,Sp. Atk,,,,,,
Rampardos,212,stat_alignment,9,Hasty,0.2%,Speed,Defense,,,,,,
Rampardos,212,stat_alignment,10,Careful,0.2%,Sp. Def,Sp. Atk,,,,,,
Rampardos,212,stat_points,1,,29.5%,,,2,32,0,0,0,32
Rampardos,212,stat_points,2,,15.8%,,,32,32,2,0,0,0
Rampardos,212,stat_points,3,,6.6%,,,0,32,0,0,0,32
Rampardos,212,stat_points,4,,6.4%,,,0,32,2,0,0,32
Rampardos,212,stat_points,5,,6.4%,,,32,32,0,0,2,0
Rampardos,212,stat_points,6,,3.7%,,,2,32,32,0,0,0
Rampardos,212,stat_points,7,,3.3%,,,0,32,0,0,2,32
Rampardos,212,stat_points,8,,3.2%,,,32,32,0,0,0,2
Rampardos,212,stat_points,9,,1.9%,,,0,32,1,0,1,32
Rampardos,212,stat_points,10,,1.8%,,,9,32,0,25,0,0
Rampardos,212,stat_points,11,,1.8%,,,1,32,1,0,0,32
Rampardos,212,stat_points,12,,1.7%,,,0,32,0,0,32,2
Rampardos,212,ability,1,Mold Breaker,60.1%,,,,,,,,
Rampardos,212,ability,2,Sheer Force,39.9%,,,,,,,,
