pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Reuniclus,128,move,1,Focus Blast,58.3%,,,,,,,,
Reuniclus,128,move,2,Trick Room,55.3%,,,,,,,,
Reuniclus,128,move,3,Psychic,48.8%,,,,,,,,
Reuniclus,128,move,4,Recover,44.0%,,,,,,,,
Reuniclus,128,move,5,Energy Ball,34.0%,,,,,,,,
Reuniclus,128,move,6,Calm Mind,33.3%,,,,,,,,
Reuniclus,128,move,7,Thunder,20.0%,,,,,,,,
Reuniclus,128,move,8,Psychic Noise,18.1%,,,,,,,,
Reuniclus,128,move,9,Shadow Ball,17.8%,,,,,,,,
Reuniclus,128,move,10,Stored Power,12.1%,,,,,,,,
Reuniclus,128,held_item,1,Life Orb,50.8%,,,,,,,,
Reuniclus,128,held_item,2,Leftovers,17.2%,,,,,,,,
Reuniclus,128,held_item,3,Sitrus Berry,9.7%,,,,,,,,
Reuniclus,128,held_item,4,Focus Sash,6.0%,,,,,,,,
Reuniclus,128,held_item,5,Twisted Spoon,2.8%,,,,,,,,
Reuniclus,128,held_item,6,Light Clay,2.0%,,,,,,,,
Reuniclus,128,held_item,7,Wide Lens,2.0%,,,,,,,,
Reuniclus,128,held_item,8,Lum Berry,1.5%,,,,,,,,
Reuniclus,128,held_item,9,Quick Claw,1.1%,,,,,,,,
Reuniclus,128,held_item,10,Expert Belt,1.1%,,,,,,,,
Reuniclus,128,teammate,1,Mawile,,,,,,,,,
Reuniclus,128,teammate,2,Garchomp,,,,,,,,,
Reuniclus,128,teammate,3,Raichu,,,,,,,,,
Reuniclus,128,teammate,4,Staraptor,,,,,,,,,
Reuniclus,128,teammate,5,Meowscarada,,,,,,,,,
Reuniclus,128,teammate,6,Corviknight,,,,,,,,,
Reuniclus,128,teammate,7,Blaziken,,,,,,,,,
Reuniclus,128,teammate,8,Mimikyu,,,,,,,,,
Reuniclus,128,teammate,9,Charizard,,,,,,,,,
Reuniclus,128,teammate,10,Hydreigon,,,,,,,,,
Reuniclus,128,stat_alignment,1,Quiet,34.3%,Sp. Atk,Speed,,,,,,
Reuniclus,128,stat_alignment,2,Bold,28.0%,Defense,Attack,,,,,,
Reuniclus,128,stat_alignment,3,Modest,20.3%,Sp. Atk,Attack,,,,,,
Reuniclus,128,stat_alignment,4,Calm,9.0%,Sp. Def,Attack,,,,,,
Reuniclus,128,stat_alignment,5,Relaxed,5.1%,Defense,Speed,,,,,,
Reuniclus,128,stat_alignment,6,Sassy,2.1%,Sp. Def,Speed,,,,,,
Reuniclus,128,stat_alignment,7,Mild,0.3%,Sp. Atk,Defense,,,,,,
Reuniclus,128,stat_alignment,8,Docile,0.1%,,,,,,,,
Reuniclus,128,stat_alignment,9,Lonely,0.1%,Attack,Defense,,,,,,
Reuniclus,128,stat_alignment,10,Timid,0.1%,Speed,Attack,,,,,,
Reuniclus,128,stat_points,1,,21.4%,,,32,0,2,32,0,0
Reuniclus,128,stat_points,2,,13.2%,,,32,0,32,0,2,0
Reuniclus,128,stat_points,3,,8.4%,,,32,0,0,32,2,0
Reuniclus,128,stat_points,4,,4.0%,,,32,0,32,2,0,0
Reuniclus,128,stat_points,5,,3.8%,,,32,0,2,0,32,0
Reuniclus,128,stat_points,6,,2.9%,,,2,0,32,32,0,0
Reuniclus,128,stat_points,7,,2.5%,,,32,0,32,1,1,0
Reuniclus,128,stat_points,8,,1.8%,,,32,0,1,32,1,0
Reuniclus,128,stat_points,9,,1.6%,,,32,0,0,32,0,0
Reuniclus,128,stat_points,10,,1.5%,,,32,0,0,2,32,0
Reuniclus,128,ability,1,Magic Guard,85.9%,,,,,,,,
Reuniclus,128,ability,2,Regenerator,12.7%,,,,,,,,
Reuniclus,128,ability,3,Overcoat,1.4%,,,,,,,,
