pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Rhyperior,174,move,1,Earthquake,93.8%,,,,,,,,
Rhyperior,174,move,2,Ice Punch,41.4%,,,,,,,,
Rhyperior,174,move,3,Rock Blast,30.8%,,,,,,,,
Rhyperior,174,move,4,Metal Burst,26.4%,,,,,,,,
Rhyperior,174,move,5,Supercell Slam,24.0%,,,,,,,,
Rhyperior,174,move,6,Stone Edge,21.0%,,,,,,,,
Rhyperior,174,move,7,Horn Drill,15.5%,,,,,,,,
Rhyperior,174,move,8,Rock Wrecker,14.4%,,,,,,,,
Rhyperior,174,move,9,Stealth Rock,12.9%,,,,,,,,
Rhyperior,174,move,10,Rock Slide,10.3%,,,,,,,,
Rhyperior,174,held_item,1,Focus Sash,24.3%,,,,,,,,
Rhyperior,174,held_item,2,Sitrus Berry,13.6%,,,,,,,,
Rhyperior,174,held_item,3,Quick Claw,13.1%,,,,,,,,
Rhyperior,174,held_item,4,Life Orb,12.3%,,,,,,,,
Rhyperior,174,held_item,5,Leftovers,6.3%,,,,,,,,
Rhyperior,174,held_item,6,Expert Belt,6.1%,,,,,,,,
Rhyperior,174,held_item,7,Rindo Berry,5.7%,,,,,,,,
Rhyperior,174,held_item,8,Passho Berry,4.2%,,,,,,,,
Rhyperior,174,held_item,9,Lum Berry,3.5%,,,,,,,,
Rhyperior,174,held_item,10,Muscle Band,1.7%,,,,,,,,
Rhyperior,174,teammate,1,Raichu,,,,,,,,,
Rhyperior,174,teammate,2,Mimikyu,,,,,,,,,
Rhyperior,174,teammate,3,Staraptor,,,,,,,,,
Rhyperior,174,teammate,4,Dragonite,,,,,,,,,
Rhyperior,174,teammate,5,Metagross,,,,,,,,,
Rhyperior,174,teammate,6,Charizard,,,,,,,,,
Rhyperior,174,teammate,7,Garchomp,,,,,,,,,
Rhyperior,174,teammate,8,Meowscarada,,,,,,,,,
Rhyperior,174,teammate,9,Hydreigon,,,,,,,,,
Rhyperior,174,teammate,10,Gyarados,,,,,,,,,
Rhyperior,174,stat_alignment,1,Adamant,45.7%,Attack,Sp. Atk,,,,,,
Rhyperior,174,stat_alignment,2,Brave,25.0%,Attack,Speed,,,,,,
Rhyperior,174,stat_alignment,3,Impish,10.1%,Defense,Sp. Atk,,,,,,
Rhyperior,174,stat_alignment,4,Careful,6.3%,Sp. Def,Sp. Atk,,,,,,
Rhyperior,174,stat_alignment,5,Relaxed,5.1%,Defense,Speed,,,,,,
Rhyperior,174,stat_alignment,6,Jolly,2.9%,Speed,Sp. Atk,,,,,,
Rhyperior,174,stat_alignment,7,Sassy,1.9%,Sp. Def,Speed,,,,,,
Rhyperior,174,stat_alignment,8,Naughty,1.5%,Attack,Sp. Def,,,,,,
Rhyperior,174,stat_alignment,9,Lonely,0.6%,Attack,Defense,,,,,,
Rhyperior,174,stat_alignment,10,Bold,0.3%,Defense,Attack,,,,,,
Rhyperior,174,stat_points,1,,21.6%,,,32,32,2,0,0,0
Rhyperior,174,stat_points,2,,7.7%,,,2,32,32,0,0,0
Rhyperior,174,stat_points,3,,7.2%,,,32,32,0,0,2,0
Rhyperior,174,stat_points,4,,5.6%,,,2,32,0,0,32,0
Rhyperior,174,stat_points,5,,2.8%,,,1,32,1,0,32,0
Rhyperior,174,stat_points,6,,2.6%,,,32,2,32,0,0,0
Rhyperior,174,stat_points,7,,2.3%,,,32,0,32,0,2,0
Rhyperior,174,stat_points,8,,2.2%,,,2,32,0,0,0,32
Rhyperior,174,stat_points,9,,1.7%,,,31,32,3,0,0,0
Rhyperior,174,stat_points,10,,1.6%,,,32,0,2,0,32,0
Rhyperior,174,ability,1,Solid Rock,90.6%,,,,,,,,
Rhyperior,174,ability,2,Reckless,6.4%,,,,,,,,
Rhyperior,174,ability,3,Lightning Rod,3.1%,,,,,,,,
