pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Rotom Frost,191,move,1,Blizzard,93.8%,,,,,,,,
Rotom Frost,191,move,2,Volt Switch,72.2%,,,,,,,,
Rotom Frost,191,move,3,Thunderbolt,57.1%,,,,,,,,
Rotom Frost,191,move,4,Will-O-Wisp,48.7%,,,,,,,,
Rotom Frost,191,move,5,Trick,35.4%,,,,,,,,
Rotom Frost,191,move,6,Shadow Ball,14.6%,,,,,,,,
Rotom Frost,191,move,7,Dark Pulse,11.1%,,,,,,,,
Rotom Frost,191,move,8,Foul Play,8.3%,,,,,,,,
Rotom Frost,191,move,9,Pain Split,6.1%,,,,,,,,
Rotom Frost,191,move,10,Discharge,5.6%,,,,,,,,
Rotom Frost,191,held_item,1,Choice Scarf,44.2%,,,,,,,,
Rotom Frost,191,held_item,2,Sitrus Berry,20.3%,,,,,,,,
Rotom Frost,191,held_item,3,Leftovers,7.7%,,,,,,,,
Rotom Frost,191,held_item,4,Quick Claw,4.9%,,,,,,,,
Rotom Frost,191,held_item,5,Focus Sash,3.7%,,,,,,,,
Rotom Frost,191,held_item,6,Life Orb,3.2%,,,,,,,,
Rotom Frost,191,held_item,7,Wide Lens,2.5%,,,,,,,,
Rotom Frost,191,held_item,8,Light Clay,2.1%,,,,,,,,
Rotom Frost,191,held_item,9,Zoom Lens,1.8%,,,,,,,,
Rotom Frost,191,held_item,10,Bright Powder,1.1%,,,,,,,,
Rotom Frost,191,teammate,1,Garchomp,,,,,,,,,
Rotom Frost,191,teammate,2,Raichu,,,,,,,,,
Rotom Frost,191,teammate,3,Mimikyu,,,,,,,,,
Rotom Frost,191,teammate,4,Staraptor,,,,,,,,,
Rotom Frost,191,teammate,5,Froslass,,,,,,,,,
Rotom Frost,191,teammate,6,Meowscarada,,,,,,,,,
Rotom Frost,191,teammate,7,Blaziken,,,,,,,,,
Rotom Frost,191,teammate,8,Metagross,,,,,,,,,
Rotom Frost,191,teammate,9,Dragonite,,,,,,,,,
Rotom Frost,191,teammate,10,Kingambit,,,,,,,,,
Rotom Frost,191,stat_alignment,1,Modest,41.7%,Sp. Atk,Attack,,,,,,
Rotom Frost,191,stat_alignment,2,Timid,31.1%,Speed,Attack,,,,,,
Rotom Frost,191,stat_alignment,3,Bold,13.2%,Defense,Attack,,,,,,
Rotom Frost,191,stat_alignment,4,Calm,5.3%,Sp. Def,Attack,,,,,,
Rotom Frost,191,stat_alignment,5,Relaxed,2.0%,Defense,Speed,,,,,,
Rotom Frost,191,stat_alignment,6,Quiet,1.9%,Sp. Atk,Speed,,,,,,
Rotom Frost,191,stat_alignment,7,Sassy,1.7%,Sp. Def,Speed,,,,,,
Rotom Frost,191,stat_alignment,8,Mild,1.4%,Sp. Atk,Defense,,,,,,
Rotom Frost,191,stat_alignment,9,Hasty,1.4%,Speed,Defense,,,,,,
Rotom Frost,191,stat_alignment,10,Gentle,0.1%,Sp. Def,Defense,,,,,,
Rotom Frost,191,stat_points,1,,33.7%,,,2,0,0,32,0,32
Rotom Frost,191,stat_points,2,,5.6%,,,0,0,2,32,0,32
Rotom Frost,191,stat_points,3,,4.3%,,,0,0,0,32,2,32
Rotom Frost,191,stat_points,4,,4.1%,,,32,0,32,0,2,0
Rotom Frost,191,stat_points,5,,4.1%,,,32,0,0,32,0,2
Rotom Frost,191,stat_points,6,,3.8%,,,32,0,2,32,0,0
Rotom Frost,191,stat_points,7,,2.7%,,,2,0,32,32,0,0
Rotom Frost,191,stat_points,8,,2.3%,,,0,0,32,32,2,0
Rotom Frost,191,stat_points,9,,2.0%,,,0,0,32,32,0,2
Rotom Frost,191,stat_points,10,,2.0%,,,32,0,2,0,32,0
Rotom Frost,191,stat_points,11,,2.0%,,,0,0,2,32,32,0
Rotom Frost,191,stat_points,12,,1.7%,,,32,0,0,32,2,0
Rotom Frost,191,ability,1,Levitate,100.0%,,,,,,,,
