pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Rotom Mow,111,move,1,Leaf Storm,98.2%,,,,,,,,
Rotom Mow,111,move,2,Volt Switch,83.4%,,,,,,,,
Rotom Mow,111,move,3,Will-O-Wisp,63.8%,,,,,,,,
Rotom Mow,111,move,4,Thunderbolt,37.2%,,,,,,,,
Rotom Mow,111,move,5,Trick,22.9%,,,,,,,,
Rotom Mow,111,move,6,Pain Split,11.8%,,,,,,,,
Rotom Mow,111,move,7,Shadow Ball,9.3%,,,,,,,,
Rotom Mow,111,move,8,Discharge,8.5%,,,,,,,,
Rotom Mow,111,move,9,Thunder,6.5%,,,,,,,,
Rotom Mow,111,move,10,Dark Pulse,5.2%,,,,,,,,
Rotom Mow,111,held_item,1,Sitrus Berry,30.9%,,,,,,,,
Rotom Mow,111,held_item,2,Choice Scarf,27.7%,,,,,,,,
Rotom Mow,111,held_item,3,Leftovers,11.8%,,,,,,,,
Rotom Mow,111,held_item,4,White Herb,7.0%,,,,,,,,
Rotom Mow,111,held_item,5,Life Orb,3.0%,,,,,,,,
Rotom Mow,111,held_item,6,Yache Berry,2.8%,,,,,,,,
Rotom Mow,111,held_item,7,Focus Sash,2.1%,,,,,,,,
Rotom Mow,111,held_item,8,Miracle Seed,2.0%,,,,,,,,
Rotom Mow,111,held_item,9,Wide Lens,1.9%,,,,,,,,
Rotom Mow,111,held_item,10,Lum Berry,1.4%,,,,,,,,
Rotom Mow,111,teammate,1,Garchomp,,,,,,,,,
Rotom Mow,111,teammate,2,Mimikyu,,,,,,,,,
Rotom Mow,111,teammate,3,Metagross,,,,,,,,,
Rotom Mow,111,teammate,4,Blaziken,,,,,,,,,
Rotom Mow,111,teammate,5,Staraptor,,,,,,,,,
Rotom Mow,111,teammate,6,Archaludon,,,,,,,,,
Rotom Mow,111,teammate,7,Swampert,,,,,,,,,
Rotom Mow,111,teammate,8,Charizard,,,,,,,,,
Rotom Mow,111,teammate,9,Gyarados,,,,,,,,,
Rotom Mow,111,teammate,10,Skeledirge,,,,,,,,,
Rotom Mow,111,stat_alignment,1,Modest,42.9%,Sp. Atk,Attack,,,,,,
Rotom Mow,111,stat_alignment,2,Bold,25.1%,Defense,Attack,,,,,,
Rotom Mow,111,stat_alignment,3,Timid,21.2%,Speed,Attack,,,,,,
Rotom Mow,111,stat_alignment,4,Calm,7.2%,Sp. Def,Attack,,,,,,
Rotom Mow,111,stat_alignment,5,Quiet,1.3%,Sp. Atk,Speed,,,,,,
Rotom Mow,111,stat_alignment,6,Relaxed,0.7%,Defense,Speed,,,,,,
Rotom Mow,111,stat_alignment,7,Sassy,0.7%,Sp. Def,Speed,,,,,,
Rotom Mow,111,stat_alignment,8,Mild,0.3%,Sp. Atk,Defense,,,,,,
Rotom Mow,111,stat_alignment,9,Impish,0.2%,Defense,Sp. Atk,,,,,,
Rotom Mow,111,stat_alignment,10,Hasty,0.2%,Speed,Defense,,,,,,
Rotom Mow,111,stat_points,1,,20.8%,,,2,0,0,32,0,32
Rotom Mow,111,stat_points,2,,5.3%,,,32,0,2,32,0,0
Rotom Mow,111,stat_points,3,,4.6%,,,32,0,32,2,0,0
Rotom Mow,111,stat_points,4,,4.4%,,,32,0,32,0,2,0
Rotom Mow,111,stat_points,5,,4.1%,,,32,0,0,32,0,2
Rotom Mow,111,stat_points,6,,3.8%,,,32,0,0,32,2,0
Rotom Mow,111,stat_points,7,,3.6%,,,0,0,2,32,0,32
Rotom Mow,111,stat_points,8,,3.2%,,,0,0,0,32,2,32
Rotom Mow,111,stat_points,9,,2.9%,,,32,0,32,0,0,2
Rotom Mow,111,stat_points,10,,2.1%,,,32,0,1,32,1,0
Rotom Mow,111,stat_points,11,,1.5%,,,32,0,2,0,32,0
Rotom Mow,111,stat_points,12,,1.5%,,,0,0,0,32,0,32
Rotom Mow,111,ability,1,Levitate,100.0%,,,,,,,,
