pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Rotom,213,move,1,Will-O-Wisp,74.1%,,,,,,,,
Rotom,213,move,2,Thunderbolt,58.0%,,,,,,,,
Rotom,213,move,3,Volt Switch,48.7%,,,,,,,,
Rotom,213,move,4,Shadow Ball,42.6%,,,,,,,,
Rotom,213,move,5,Hex,39.1%,,,,,,,,
Rotom,213,move,6,Pain Split,20.7%,,,,,,,,
Rotom,213,move,7,Trick,20.2%,,,,,,,,
Rotom,213,move,8,Discharge,11.1%,,,,,,,,
Rotom,213,move,9,Foul Play,10.2%,,,,,,,,
Rotom,213,move,10,Thunder,8.7%,,,,,,,,
Rotom,213,held_item,1,Choice Scarf,22.4%,,,,,,,,
Rotom,213,held_item,2,Sitrus Berry,21.8%,,,,,,,,
Rotom,213,held_item,3,Leftovers,18.0%,,,,,,,,
Rotom,213,held_item,4,Focus Sash,12.9%,,,,,,,,
Rotom,213,held_item,5,Wide Lens,3.8%,,,,,,,,
Rotom,213,held_item,6,Quick Claw,3.1%,,,,,,,,
Rotom,213,held_item,7,Magnet,2.6%,,,,,,,,
Rotom,213,held_item,8,Life Orb,2.0%,,,,,,,,
Rotom,213,held_item,9,Kasib Berry,1.5%,,,,,,,,
Rotom,213,held_item,10,Light Clay,1.4%,,,,,,,,
Rotom,213,teammate,1,Garchomp,,,,,,,,,
Rotom,213,teammate,2,Meowscarada,,,,,,,,,
Rotom,213,teammate,3,Charizard,,,,,,,,,
Rotom,213,teammate,4,Staraptor,,,,,,,,,
Rotom,213,teammate,5,Kingambit,,,,,,,,,
Rotom,213,teammate,6,Blaziken,,,,,,,,,
Rotom,213,teammate,7,Metagross,,,,,,,,,
Rotom,213,teammate,8,Mimikyu,,,,,,,,,
Rotom,213,teammate,9,Gyarados,,,,,,,,,
Rotom,213,teammate,10,Primarina,,,,,,,,,
Rotom,213,stat_alignment,1,Bold,29.9%,Defense,Attack,,,,,,
Rotom,213,stat_alignment,2,Modest,29.6%,Sp. Atk,Attack,,,,,,
Rotom,213,stat_alignment,3,Timid,28.2%,Speed,Attack,,,,,,
Rotom,213,stat_alignment,4,Calm,6.2%,Sp. Def,Attack,,,,,,
Rotom,213,stat_alignment,5,Quiet,2.4%,Sp. Atk,Speed,,,,,,
Rotom,213,stat_alignment,6,Mild,1.7%,Sp. Atk,Defense,,,,,,
Rotom,213,stat_alignment,7,Impish,1.2%,Defense,Sp. Atk,,,,,,
Rotom,213,stat_alignment,8,Relaxed,0.4%,Defense,Speed,,,,,,
Rotom,213,stat_alignment,9,Hasty,0.2%,Speed,Defense,,,,,,
Rotom,213,stat_alignment,10,Lonely,0.1%,Attack,Defense,,,,,,
Rotom,213,stat_points,1,,22.5%,,,2,0,0,32,0,32
Rotom,213,stat_points,2,,7.6%,,,32,0,32,0,2,0
Rotom,213,stat_points,3,,7.3%,,,32,0,32,2,0,0
Rotom,213,stat_points,4,,6.4%,,,32,0,32,0,0,2
Rotom,213,stat_points,5,,4.2%,,,0,0,0,32,0,32
Rotom,213,stat_points,6,,3.9%,,,2,0,32,32,0,0
Rotom,213,stat_points,7,,3.2%,,,0,0,32,32,0,2
Rotom,213,stat_points,8,,3.2%,,,0,0,2,32,0,32
Rotom,213,stat_points,9,,2.9%,,,20,0,32,14,0,0
Rotom,213,stat_points,10,,2.7%,,,0,0,2,32,32,0
Rotom,213,stat_points,11,,2.6%,,,32,0,2,32,0,0
Rotom,213,stat_points,12,,2.5%,,,0,0,0,32,2,32
Rotom,213,ability,1,Levitate,100.0%,,,,,,,,
