pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Runerigus,109,move,1,Earthquake,66.6%,,,,,,,,
Runerigus,109,move,2,Stealth Rock,60.8%,,,,,,,,
Runerigus,109,move,3,Will-O-Wisp,52.1%,,,,,,,,
Runerigus,109,move,4,Trick Room,38.9%,,,,,,,,
Runerigus,109,move,5,Poltergeist,32.4%,,,,,,,,
Runerigus,109,move,6,Curse,31.5%,,,,,,,,
Runerigus,109,move,7,Body Press,20.6%,,,,,,,,
Runerigus,109,move,8,Memento,17.7%,,,,,,,,
Runerigus,109,move,9,Destiny Bond,16.1%,,,,,,,,
Runerigus,109,move,10,Iron Defense,10.3%,,,,,,,,
Runerigus,109,held_item,1,Sitrus Berry,38.0%,,,,,,,,
Runerigus,109,held_item,2,Leftovers,22.2%,,,,,,,,
Runerigus,109,held_item,3,Focus Sash,8.3%,,,,,,,,
Runerigus,109,held_item,4,Mental Herb,7.9%,,,,,,,,
Runerigus,109,held_item,5,Quick Claw,3.9%,,,,,,,,
Runerigus,109,held_item,6,Passho Berry,2.6%,,,,,,,,
Runerigus,109,held_item,7,Rindo Berry,2.3%,,,,,,,,
Runerigus,109,held_item,8,Chesto Berry,1.8%,,,,,,,,
Runerigus,109,held_item,9,Lum Berry,1.8%,,,,,,,,
Runerigus,109,held_item,10,Zoom Lens,1.4%,,,,,,,,
Runerigus,109,teammate,1,Meowscarada,,,,,,,,,
Runerigus,109,teammate,2,Mawile,,,,,,,,,
Runerigus,109,teammate,3,Staraptor,,,,,,,,,
Runerigus,109,teammate,4,Raichu,,,,,,,,,
Runerigus,109,teammate,5,Archaludon,,,,,,,,,
Runerigus,109,teammate,6,Garchomp,,,,,,,,,
Runerigus,109,teammate,7,Mimikyu,,,,,,,,,
Runerigus,109,teammate,8,Metagross,,,,,,,,,
Runerigus,109,teammate,9,Alolan Ninetales,,,,,,,,,
Runerigus,109,teammate,10,Charizard,,,,,,,,,
Runerigus,109,stat_alignment,1,Impish,37.5%,Defense,Sp. Atk,,,,,,
Runerigus,109,stat_alignment,2,Careful,20.1%,Sp. Def,Sp. Atk,,,,,,
Runerigus,109,stat_alignment,3,Relaxed,13.2%,Defense,Speed,,,,,,
Runerigus,109,stat_alignment,4,Sassy,11.9%,Sp. Def,Speed,,,,,,
Runerigus,109,stat_alignment,5,Adamant,7.5%,Attack,Sp. Atk,,,,,,
Runerigus,109,stat_alignment,6,Brave,4.8%,Attack,Speed,,,,,,
Runerigus,109,stat_alignment,7,Bold,2.8%,Defense,Attack,,,,,,
Runerigus,109,stat_alignment,8,Calm,1.3%,Sp. Def,Attack,,,,,,
Runerigus,109,stat_alignment,9,Jolly,0.3%,Speed,Sp. Atk,,,,,,
Runerigus,109,stat_alignment,10,Lonely,0.3%,Attack,Defense,,,,,,
Runerigus,109,stat_points,1,,22.9%,,,32,0,32,0,2,0
Runerigus,109,stat_points,2,,18.8%,,,32,0,2,0,32,0
Runerigus,109,stat_points,3,,3.5%,,,32,32,0,0,2,0
Runerigus,109,stat_points,4,,3.4%,,,32,2,32,0,0,0
Runerigus,109,stat_points,5,,3.0%,,,32,32,2,0,0,0
Runerigus,109,stat_points,6,,2.2%,,,31,0,3,0,32,0
Runerigus,109,stat_points,7,,2.1%,,,2,0,32,0,32,0
Runerigus,109,stat_points,8,,2.0%,,,32,2,0,0,32,0
Runerigus,109,stat_points,9,,1.8%,,,0,32,32,0,2,0
Runerigus,109,stat_points,10,,1.8%,,,31,0,32,0,3,0
Runerigus,109,stat_points,11,,1.8%,,,32,0,0,0,32,0
Runerigus,109,stat_points,12,,1.7%,,,32,0,5,0,29,0
Runerigus,109,ability,1,Wandering Spirit,100.0%,,,,,,,,
