pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Salazzle,143,move,1,Toxic,84.0%,,,,,,,,
Salazzle,143,move,2,Encore,51.3%,,,,,,,,
Salazzle,143,move,3,Flamethrower,44.1%,,,,,,,,
Salazzle,143,move,4,Endeavor,34.9%,,,,,,,,
Salazzle,143,move,5,Overheat,30.7%,,,,,,,,
Salazzle,143,move,6,Protect,25.3%,,,,,,,,
Salazzle,143,move,7,Sludge Wave,21.4%,,,,,,,,
Salazzle,143,move,8,Substitute,12.9%,,,,,,,,
Salazzle,143,move,9,Disable,12.6%,,,,,,,,
Salazzle,143,move,10,Toxic Spikes,11.9%,,,,,,,,
Salazzle,143,held_item,1,Focus Sash,70.5%,,,,,,,,
Salazzle,143,held_item,2,Leftovers,11.4%,,,,,,,,
Salazzle,143,held_item,3,Life Orb,2.8%,,,,,,,,
Salazzle,143,held_item,4,Sitrus Berry,2.1%,,,,,,,,
Salazzle,143,held_item,5,Charcoal,2.1%,,,,,,,,
Salazzle,143,held_item,6,White Herb,1.6%,,,,,,,,
Salazzle,143,held_item,7,Shuca Berry,1.3%,,,,,,,,
Salazzle,143,held_item,8,Mental Herb,1.3%,,,,,,,,
Salazzle,143,held_item,9,Bright Powder,1.0%,,,,,,,,
Salazzle,143,held_item,10,Quick Claw,1.0%,,,,,,,,
Salazzle,143,teammate,1,Garchomp,,,,,,,,,
Salazzle,143,teammate,2,Meowscarada,,,,,,,,,
Salazzle,143,teammate,3,Corviknight,,,,,,,,,
Salazzle,143,teammate,4,Dragalge,,,,,,,,,
Salazzle,143,teammate,5,Staraptor,,,,,,,,,
Salazzle,143,teammate,6,Raichu,,,,,,,,,
Salazzle,143,teammate,7,Mimikyu,,,,,,,,,
Salazzle,143,teammate,8,Gengar,,,,,,,,,
Salazzle,143,teammate,9,Toxapex,,,,,,,,,
Salazzle,143,teammate,10,Archaludon,,,,,,,,,
Salazzle,143,stat_alignment,1,Timid,86.1%,Speed,Attack,,,,,,
Salazzle,143,stat_alignment,2,Modest,6.9%,Sp. Atk,Attack,,,,,,
Salazzle,143,stat_alignment,3,Hasty,1.9%,Speed,Defense,,,,,,
Salazzle,143,stat_alignment,4,Naive,1.7%,Speed,Sp. Def,,,,,,
Salazzle,143,stat_alignment,5,Jolly,1.6%,Speed,Sp. Atk,,,,,,
Salazzle,143,stat_alignment,6,Mild,0.5%,Sp. Atk,Defense,,,,,,
Salazzle,143,stat_alignment,7,Bold,0.5%,Defense,Attack,,,,,,
Salazzle,143,stat_alignment,8,Calm,0.4%,Sp. Def,Attack,,,,,,
Salazzle,143,stat_alignment,9,Quiet,0.1%,Sp. Atk,Speed,,,,,,
Salazzle,143,stat_alignment,10,Serious,0.1%,,,,,,,,
Salazzle,143,stat_points,1,,49.6%,,,2,0,0,32,0,32
Salazzle,143,stat_points,2,,6.5%,,,0,0,2,32,0,32
Salazzle,143,stat_points,3,,6.4%,,,0,0,0,32,2,32
Salazzle,143,stat_points,4,,4.6%,,,32,0,2,0,0,32
Salazzle,143,stat_points,5,,3.8%,,,0,0,0,32,0,32
Salazzle,143,stat_points,6,,3.2%,,,32,0,0,0,2,32
Salazzle,143,stat_points,7,,2.5%,,,32,0,0,2,0,32
Salazzle,143,stat_points,8,,1.9%,,,32,0,1,0,1,32
Salazzle,143,stat_points,9,,1.4%,,,2,0,32,0,0,32
Salazzle,143,stat_points,10,,1.1%,,,0,0,1,32,1,32
Salazzle,143,stat_points,11,,1.1%,,,2,0,4,32,0,28
Salazzle,143,stat_points,12,,1.0%,,,32,0,0,0,0,32
Salazzle,143,ability,1,Corrosion,90.0%,,,,,,,,
Salazzle,143,ability,2,Oblivious,10.0%,,,,,,,,
