pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Samurott,221,move,1,Ice Beam,67.4%,,,,,,,,
Samurott,221,move,2,Hydro Pump,53.1%,,,,,,,,
Samurott,221,move,3,Grass Knot,45.3%,,,,,,,,
Samurott,221,move,4,Vacuum Wave,43.8%,,,,,,,,
Samurott,221,move,5,Aqua Jet,28.2%,,,,,,,,
Samurott,221,move,6,Surf,24.0%,,,,,,,,
Samurott,221,move,7,Encore,17.3%,,,,,,,,
Samurott,221,move,8,Flip Turn,15.2%,,,,,,,,
Samurott,221,move,9,Sacred Sword,12.1%,,,,,,,,
Samurott,221,move,10,Taunt,9.8%,,,,,,,,
Samurott,221,held_item,1,Sitrus Berry,19.6%,,,,,,,,
Samurott,221,held_item,2,Life Orb,15.0%,,,,,,,,
Samurott,221,held_item,3,Focus Sash,9.8%,,,,,,,,
Samurott,221,held_item,4,Choice Scarf,7.0%,,,,,,,,
Samurott,221,held_item,5,Quick Claw,6.5%,,,,,,,,
Samurott,221,held_item,6,Lum Berry,5.7%,,,,,,,,
Samurott,221,held_item,7,Expert Belt,5.6%,,,,,,,,
Samurott,221,held_item,8,Leftovers,4.6%,,,,,,,,
Samurott,221,held_item,9,Mystic Water,3.6%,,,,,,,,
Samurott,221,held_item,10,Wise Glasses,3.6%,,,,,,,,
Samurott,221,teammate,1,Garchomp,,,,,,,,,
Samurott,221,teammate,2,Raichu,,,,,,,,,
Samurott,221,teammate,3,Charizard,,,,,,,,,
Samurott,221,teammate,4,Alolan Ninetales,,,,,,,,,
Samurott,221,teammate,5,Mimikyu,,,,,,,,,
Samurott,221,teammate,6,Sceptile,,,,,,,,,
Samurott,221,teammate,7,Meowscarada,,,,,,,,,
Samurott,221,teammate,8,Dragonite,,,,,,,,,
Samurott,221,teammate,9,Blaziken,,,,,,,,,
Samurott,221,teammate,10,Metagross,,,,,,,,,
Samurott,221,stat_alignment,1,Modest,50.6%,Sp. Atk,Attack,,,,,,
Samurott,221,stat_alignment,2,Quiet,11.7%,Sp. Atk,Speed,,,,,,
Samurott,221,stat_alignment,3,Adamant,9.5%,Attack,Sp. Atk,,,,,,
Samurott,221,stat_alignment,4,Timid,8.0%,Speed,Attack,,,,,,
Samurott,221,stat_alignment,5,Bold,4.6%,Defense,Attack,,,,,,
Samurott,221,stat_alignment,6,Rash,3.8%,Sp. Atk,Sp. Def,,,,,,
Samurott,221,stat_alignment,7,Calm,2.9%,Sp. Def,Attack,,,,,,
Samurott,221,stat_alignment,8,Impish,1.3%,Defense,Sp. Atk,,,,,,
Samurott,221,stat_alignment,9,Mild,1.3%,Sp. Atk,Defense,,,,,,
Samurott,221,stat_alignment,10,Sassy,1.2%,Sp. Def,Speed,,,,,,
Samurott,221,stat_points,1,,14.5%,,,32,0,2,32,0,0
Samurott,221,stat_points,2,,7.5%,,,2,0,0,32,0,32
Samurott,221,stat_points,3,,7.3%,,,2,32,0,0,0,32
Samurott,221,stat_points,4,,7.0%,,,32,0,0,32,0,2
Samurott,221,stat_points,5,,6.1%,,,32,0,0,32,2,0
Samurott,221,stat_points,6,,2.8%,,,0,0,32,32,0,2
Samurott,221,stat_points,7,,2.4%,,,1,0,1,32,0,32
Samurott,221,stat_points,8,,2.4%,,,32,2,30,2,0,0
Samurott,221,stat_points,9,,2.3%,,,0,0,13,32,0,20
Samurott,221,stat_points,10,,2.1%,,,0,0,2,32,32,0
Samurott,221,ability,1,Sharpness,51.9%,,,,,,,,
Samurott,221,ability,2,Torrent,48.1%,,,,,,,,
