pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Sandaconda,176,move,1,Earthquake,85.7%,,,,,,,,
Sandaconda,176,move,2,Stealth Rock,75.1%,,,,,,,,
Sandaconda,176,move,3,Glare,63.0%,,,,,,,,
Sandaconda,176,move,4,Endeavor,60.7%,,,,,,,,
Sandaconda,176,move,5,Rock Tomb,32.6%,,,,,,,,
Sandaconda,176,move,6,Minimize,11.9%,,,,,,,,
Sandaconda,176,move,7,Body Press,11.8%,,,,,,,,
Sandaconda,176,move,8,Coil,7.6%,,,,,,,,
Sandaconda,176,move,9,Thunder Fang,5.3%,,,,,,,,
Sandaconda,176,move,10,Iron Defense,4.3%,,,,,,,,
Sandaconda,176,held_item,1,Focus Sash,59.6%,,,,,,,,
Sandaconda,176,held_item,2,Smooth Rock,9.4%,,,,,,,,
Sandaconda,176,held_item,3,Leftovers,8.2%,,,,,,,,
Sandaconda,176,held_item,4,Sitrus Berry,7.7%,,,,,,,,
Sandaconda,176,held_item,5,Bright Powder,3.8%,,,,,,,,
Sandaconda,176,held_item,6,Passho Berry,1.9%,,,,,,,,
Sandaconda,176,held_item,7,Quick Claw,1.6%,,,,,,,,
Sandaconda,176,held_item,8,Soft Sand,1.5%,,,,,,,,
Sandaconda,176,held_item,9,Choice Scarf,1.1%,,,,,,,,
Sandaconda,176,held_item,10,Rindo Berry,1.0%,,,,,,,,
Sandaconda,176,teammate,1,Excadrill,,,,,,,,,
Sandaconda,176,teammate,2,Houndstone,,,,,,,,,
Sandaconda,176,teammate,3,Gyarados,,,,,,,,,
Sandaconda,176,teammate,4,Hippowdon,,,,,,,,,
Sandaconda,176,teammate,5,Banette,,,,,,,,,
Sandaconda,176,teammate,6,Staraptor,,,,,,,,,
Sandaconda,176,teammate,7,Raichu,,,,,,,,,
Sandaconda,176,teammate,8,Garchomp,,,,,,,,,
Sandaconda,176,teammate,9,Meowscarada,,,,,,,,,
Sandaconda,176,teammate,10,Mimikyu,,,,,,,,,
Sandaconda,176,stat_alignment,1,Jolly,50.2%,Speed,Sp. Atk,,,,,,
Sandaconda,176,stat_alignment,2,Impish,18.9%,Defense,Sp. Atk,,,,,,
Sandaconda,176,stat_alignment,3,Adamant,17.0%,Attack,Sp. Atk,,,,,,
Sandaconda,176,stat_alignment,4,Careful,7.1%,Sp. Def,Sp. Atk,,,,,,
Sandaconda,176,stat_alignment,5,Hasty,1.7%,Speed,Defense,,,,,,
Sandaconda,176,stat_alignment,6,Brave,1.3%,Attack,Speed,,,,,,
Sandaconda,176,stat_alignment,7,Naughty,0.6%,Attack,Sp. Def,,,,,,
Sandaconda,176,stat_alignment,8,Naive,0.6%,Speed,Sp. Def,,,,,,
Sandaconda,176,stat_alignment,9,Sassy,0.5%,Sp. Def,Speed,,,,,,
Sandaconda,176,stat_alignment,10,Relaxed,0.5%,Defense,Speed,,,,,,
Sandaconda,176,stat_points,1,,30.7%,,,2,32,0,0,0,32
Sandaconda,176,stat_points,2,,10.3%,,,0,32,2,0,0,32
Sandaconda,176,stat_points,3,,7.2%,,,32,0,32,0,2,0
Sandaconda,176,stat_points,4,,4.4%,,,0,32,0,0,0,32
Sandaconda,176,stat_points,5,,3.9%,,,32,0,2,0,32,0
Sandaconda,176,stat_points,6,,2.5%,,,0,32,0,0,2,32
Sandaconda,176,stat_points,7,,2.4%,,,32,2,32,0,0,0
Sandaconda,176,stat_points,8,,1.7%,,,32,0,0,0,2,32
Sandaconda,176,stat_points,9,,1.6%,,,32,32,0,0,2,0
Sandaconda,176,stat_points,10,,1.6%,,,32,0,2,0,0,32
Sandaconda,176,stat_points,11,,1.5%,,,32,0,32,0,0,2
Sandaconda,176,ability,1,Sand Spit,87.2%,,,,,,,,
Sandaconda,176,ability,2,Shed Skin,7.7%,,,,,,,,
Sandaconda,176,ability,3,Sand Veil,5.2%,,,,,,,,
