pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Sceptile,68,move,1,Earth Power,86.0%,,,,,,,,
Sceptile,68,move,2,Dragon Pulse,78.6%,,,,,,,,
Sceptile,68,move,3,Leaf Storm,75.0%,,,,,,,,
Sceptile,68,move,4,Shed Tail,48.0%,,,,,,,,
Sceptile,68,move,5,Vacuum Wave,29.4%,,,,,,,,
Sceptile,68,move,6,Energy Ball,21.2%,,,,,,,,
Sceptile,68,move,7,Focus Blast,10.1%,,,,,,,,
Sceptile,68,move,8,Endeavor,7.0%,,,,,,,,
Sceptile,68,move,9,Giga Drain,7.0%,,,,,,,,
Sceptile,68,move,10,Rock Slide,3.9%,,,,,,,,
Sceptile,68,held_item,1,Sceptilite,78.4%,,,,,,,,
Sceptile,68,held_item,2,Focus Sash,7.4%,,,,,,,,
Sceptile,68,held_item,3,White Herb,4.8%,,,,,,,,
Sceptile,68,held_item,4,Sitrus Berry,4.3%,,,,,,,,
Sceptile,68,held_item,5,Choice Scarf,1.4%,,,,,,,,
Sceptile,68,held_item,6,Life Orb,0.8%,,,,,,,,
Sceptile,68,held_item,7,Light Ball,0.3%,,,,,,,,
Sceptile,68,held_item,8,Yache Berry,0.3%,,,,,,,,
Sceptile,68,held_item,9,Leftovers,0.2%,,,,,,,,
Sceptile,68,held_item,10,Wide Lens,0.2%,,,,,,,,
Sceptile,68,teammate,1,Garchomp,,,,,,,,,
Sceptile,68,teammate,2,Mimikyu,,,,,,,,,
Sceptile,68,teammate,3,Blaziken,,,,,,,,,
Sceptile,68,teammate,4,Metagross,,,,,,,,,
Sceptile,68,teammate,5,Archaludon,,,,,,,,,
Sceptile,68,teammate,6,Staraptor,,,,,,,,,
Sceptile,68,teammate,7,Corviknight,,,,,,,,,
Sceptile,68,teammate,8,Swampert,,,,,,,,,
Sceptile,68,teammate,9,Raichu,,,,,,,,,
Sceptile,68,teammate,10,Alolan Ninetales,,,,,,,,,
Sceptile,68,stat_alignment,1,Timid,71.7%,Speed,Attack,,,,,,
Sceptile,68,stat_alignment,2,Modest,15.7%,Sp. Atk,Attack,,,,,,
Sceptile,68,stat_alignment,3,Naive,2.6%,Speed,Sp. Def,,,,,,
Sceptile,68,stat_alignment,4,Hasty,2.3%,Speed,Defense,,,,,,
Sceptile,68,stat_alignment,5,Adamant,1.9%,Attack,Sp. Atk,,,,,,
Sceptile,68,stat_alignment,6,Mild,1.5%,Sp. Atk,Defense,,,,,,
Sceptile,68,stat_alignment,7,Jolly,1.4%,Speed,Sp. Atk,,,,,,
Sceptile,68,stat_alignment,8,Rash,0.9%,Sp. Atk,Sp. Def,,,,,,
Sceptile,68,stat_alignment,9,Calm,0.4%,Sp. Def,Attack,,,,,,
Sceptile,68,stat_alignment,10,Bold,0.4%,Defense,Attack,,,,,,
Sceptile,68,stat_points,1,,58.6%,,,2,0,0,32,0,32
Sceptile,68,stat_points,2,,7.9%,,,0,0,2,32,0,32
Sceptile,68,stat_points,3,,6.1%,,,0,0,0,32,2,32
Sceptile,68,stat_points,4,,2.1%,,,0,0,0,32,0,32
Sceptile,68,stat_points,5,,1.8%,,,1,0,1,32,0,32
Sceptile,68,stat_points,6,,1.6%,,,2,32,0,0,0,32
Sceptile,68,stat_points,7,,1.6%,,,0,2,0,32,0,32
Sceptile,68,stat_points,8,,1.2%,,,0,0,1,32,1,32
Sceptile,68,stat_points,9,,1.0%,,,1,0,0,32,1,32
Sceptile,68,stat_points,10,,0.8%,,,3,0,0,32,0,31
Sceptile,68,stat_points,11,,0.6%,,,2,0,1,32,0,31
Sceptile,68,stat_points,12,,0.4%,,,1,0,0,32,0,32
Sceptile,68,ability,1,Overgrow,72.1%,,,,,,,,
Sceptile,68,ability,2,Unburden,27.9%,,,,,,,,
