pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Scizor,32,move,1,Bullet Punch,99.7%,,,,,,,,
Scizor,32,move,2,Swords Dance,84.2%,,,,,,,,
Scizor,32,move,3,Close Combat,60.5%,,,,,,,,
Scizor,32,move,4,Knock Off,48.0%,,,,,,,,
Scizor,32,move,5,U-turn,31.1%,,,,,,,,
Scizor,32,move,6,Roost,28.1%,,,,,,,,
Scizor,32,move,7,Dual Wingbeat,15.3%,,,,,,,,
Scizor,32,move,8,Bug Bite,7.2%,,,,,,,,
Scizor,32,move,9,Brick Break,5.8%,,,,,,,,
Scizor,32,move,10,Trailblaze,3.5%,,,,,,,,
Scizor,32,held_item,1,Scizorite,62.1%,,,,,,,,
Scizor,32,held_item,2,Life Orb,13.2%,,,,,,,,
Scizor,32,held_item,3,Sitrus Berry,6.6%,,,,,,,,
Scizor,32,held_item,4,Metal Coat,6.4%,,,,,,,,
Scizor,32,held_item,5,Leftovers,3.3%,,,,,,,,
Scizor,32,held_item,6,Lum Berry,2.3%,,,,,,,,
Scizor,32,held_item,7,Focus Sash,2.0%,,,,,,,,
Scizor,32,held_item,8,Occa Berry,1.1%,,,,,,,,
Scizor,32,held_item,9,Muscle Band,0.7%,,,,,,,,
Scizor,32,held_item,10,Expert Belt,0.5%,,,,,,,,
Scizor,32,teammate,1,Garchomp,,,,,,,,,
Scizor,32,teammate,2,Meowscarada,,,,,,,,,
Scizor,32,teammate,3,Archaludon,,,,,,,,,
Scizor,32,teammate,4,Mimikyu,,,,,,,,,
Scizor,32,teammate,5,Raichu,,,,,,,,,
Scizor,32,teammate,6,Primarina,,,,,,,,,
Scizor,32,teammate,7,Charizard,,,,,,,,,
Scizor,32,teammate,8,Basculegion Male,,,,,,,,,
Scizor,32,teammate,9,Rotom Wash,,,,,,,,,
Scizor,32,teammate,10,Hippowdon,,,,,,,,,
Scizor,32,stat_alignment,1,Adamant,88.9%,Attack,Sp. Atk,,,,,,
Scizor,32,stat_alignment,2,Impish,4.6%,Defense,Sp. Atk,,,,,,
Scizor,32,stat_alignment,3,Brave,1.7%,Attack,Speed,,,,,,
Scizor,32,stat_alignment,4,Jolly,1.6%,Speed,Sp. Atk,,,,,,
Scizor,32,stat_alignment,5,Careful,1.4%,Sp. Def,Sp. Atk,,,,,,
Scizor,32,stat_alignment,6,Naughty,0.5%,Attack,Sp. Def,,,,,,
Scizor,32,stat_alignment,7,Relaxed,0.4%,Defense,Speed,,,,,,
Scizor,32,stat_alignment,8,Lonely,0.3%,Attack,Defense,,,,,,
Scizor,32,stat_alignment,9,Sassy,0.2%,Sp. Def,Speed,,,,,,
Scizor,32,stat_alignment,10,Naive,0.1%,Speed,Sp. Def,,,,,,
Scizor,32,stat_points,1,,21.4%,,,32,32,2,0,0,0
Scizor,32,stat_points,2,,12.6%,,,32,32,0,0,0,2
Scizor,32,stat_points,3,,9.3%,,,32,32,0,0,2,0
Scizor,32,stat_points,4,,3.9%,,,30,32,0,0,0,4
Scizor,32,stat_points,5,,3.5%,,,2,32,0,0,0,32
Scizor,32,stat_points,6,,2.9%,,,32,13,21,0,0,0
Scizor,32,stat_points,7,,2.1%,,,32,2,32,0,0,0
Scizor,32,stat_points,8,,2.0%,,,2,32,32,0,0,0
Scizor,32,stat_points,9,,2.0%,,,12,32,0,0,0,22
Scizor,32,stat_points,10,,1.7%,,,32,32,1,0,1,0
Scizor,32,stat_points,11,,1.6%,,,32,24,10,0,0,0
Scizor,32,stat_points,12,,1.3%,,,30,32,1,0,1,2
Scizor,32,ability,1,Technician,97.2%,,,,,,,,
Scizor,32,ability,2,Swarm,1.6%,,,,,,,,
Scizor,32,ability,3,Light Metal,1.2%,,,,,,,,
