pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Scolipede,78,move,1,Swords Dance,72.4%,,,,,,,,
Scolipede,78,move,2,Baton Pass,62.5%,,,,,,,,
Scolipede,78,move,3,Protect,58.8%,,,,,,,,
Scolipede,78,move,4,Earthquake,45.1%,,,,,,,,
Scolipede,78,move,5,Iron Defense,34.5%,,,,,,,,
Scolipede,78,move,6,Leech Life,31.1%,,,,,,,,
Scolipede,78,move,7,Poison Jab,26.8%,,,,,,,,
Scolipede,78,move,8,Gunk Shot,14.4%,,,,,,,,
Scolipede,78,move,9,Substitute,13.5%,,,,,,,,
Scolipede,78,move,10,Megahorn,10.3%,,,,,,,,
Scolipede,78,held_item,1,Scolipite,31.5%,,,,,,,,
Scolipede,78,held_item,2,Focus Sash,24.6%,,,,,,,,
Scolipede,78,held_item,3,Sitrus Berry,14.4%,,,,,,,,
Scolipede,78,held_item,4,Leftovers,14.0%,,,,,,,,
Scolipede,78,held_item,5,Mental Herb,3.9%,,,,,,,,
Scolipede,78,held_item,6,Life Orb,3.8%,,,,,,,,
Scolipede,78,held_item,7,Lum Berry,1.9%,,,,,,,,
Scolipede,78,held_item,8,Bright Powder,1.2%,,,,,,,,
Scolipede,78,held_item,9,Occa Berry,0.8%,,,,,,,,
Scolipede,78,held_item,10,Wide Lens,0.5%,,,,,,,,
Scolipede,78,teammate,1,Garchomp,,,,,,,,,
Scolipede,78,teammate,2,Staraptor,,,,,,,,,
Scolipede,78,teammate,3,Raichu,,,,,,,,,
Scolipede,78,teammate,4,Mimikyu,,,,,,,,,
Scolipede,78,teammate,5,Metagross,,,,,,,,,
Scolipede,78,teammate,6,Archaludon,,,,,,,,,
Scolipede,78,teammate,7,Alolan Ninetales,,,,,,,,,
Scolipede,78,teammate,8,Grimmsnarl,,,,,,,,,
Scolipede,78,teammate,9,Meowscarada,,,,,,,,,
Scolipede,78,teammate,10,Clefable,,,,,,,,,
Scolipede,78,stat_alignment,1,Jolly,32.0%,Speed,Sp. Atk,,,,,,
Scolipede,78,stat_alignment,2,Adamant,29.9%,Attack,Sp. Atk,,,,,,
Scolipede,78,stat_alignment,3,Impish,18.5%,Defense,Sp. Atk,,,,,,
Scolipede,78,stat_alignment,4,Careful,13.2%,Sp. Def,Sp. Atk,,,,,,
Scolipede,78,stat_alignment,5,Bold,2.1%,Defense,Attack,,,,,,
Scolipede,78,stat_alignment,6,Timid,1.2%,Speed,Attack,,,,,,
Scolipede,78,stat_alignment,7,Calm,1.2%,Sp. Def,Attack,,,,,,
Scolipede,78,stat_alignment,8,Brave,0.4%,Attack,Speed,,,,,,
Scolipede,78,stat_alignment,9,Relaxed,0.3%,Defense,Speed,,,,,,
Scolipede,78,stat_alignment,10,Naughty,0.3%,Attack,Sp. Def,,,,,,
Scolipede,78,stat_points,1,,13.2%,,,2,32,0,0,0,32
Scolipede,78,stat_points,2,,7.0%,,,32,0,2,0,32,0
Scolipede,78,stat_points,3,,5.9%,,,32,0,32,0,2,0
Scolipede,78,stat_points,4,,4.8%,,,32,0,2,0,0,32
Scolipede,78,stat_points,5,,3.4%,,,32,0,0,0,2,32
Scolipede,78,stat_points,6,,3.3%,,,32,32,0,0,0,2
Scolipede,78,stat_points,7,,2.9%,,,0,32,2,0,0,32
Scolipede,78,stat_points,8,,2.6%,,,32,0,32,0,0,2
Scolipede,78,stat_points,9,,1.7%,,,32,2,0,0,0,32
Scolipede,78,stat_points,10,,1.7%,,,32,32,2,0,0,0
Scolipede,78,stat_points,11,,1.6%,,,0,32,0,0,2,32
Scolipede,78,ability,1,Speed Boost,98.9%,,,,,,,,
Scolipede,78,ability,2,Poison Point,0.8%,,,,,,,,
Scolipede,78,ability,3,Swarm,0.4%,,,,,,,,
