pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Scovillain,76,move,1,Leech Seed,89.9%,,,,,,,,
Scovillain,76,move,2,Protect,85.9%,,,,,,,,
Scovillain,76,move,3,Giga Drain,72.9%,,,,,,,,
Scovillain,76,move,4,Flamethrower,69.9%,,,,,,,,
Scovillain,76,move,5,Substitute,21.2%,,,,,,,,
Scovillain,76,move,6,Burning Jealousy,13.0%,,,,,,,,
Scovillain,76,move,7,Leaf Storm,8.5%,,,,,,,,
Scovillain,76,move,8,Overheat,8.1%,,,,,,,,
Scovillain,76,move,9,Fire Spin,3.9%,,,,,,,,
Scovillain,76,move,10,Flare Blitz,3.5%,,,,,,,,
Scovillain,76,held_item,1,Scovillainite,82.3%,,,,,,,,
Scovillain,76,held_item,2,Leftovers,11.5%,,,,,,,,
Scovillain,76,held_item,3,Big Root,1.2%,,,,,,,,
Scovillain,76,held_item,4,Life Orb,1.1%,,,,,,,,
Scovillain,76,held_item,5,Sitrus Berry,0.8%,,,,,,,,
Scovillain,76,held_item,6,Focus Sash,0.8%,,,,,,,,
Scovillain,76,held_item,7,Bright Powder,0.3%,,,,,,,,
Scovillain,76,held_item,8,Quick Claw,0.2%,,,,,,,,
Scovillain,76,held_item,9,White Herb,0.1%,,,,,,,,
Scovillain,76,held_item,10,Wise Glasses,0.1%,,,,,,,,
Scovillain,76,teammate,1,Garchomp,,,,,,,,,
Scovillain,76,teammate,2,Mimikyu,,,,,,,,,
Scovillain,76,teammate,3,Basculegion Male,,,,,,,,,
Scovillain,76,teammate,4,Archaludon,,,,,,,,,
Scovillain,76,teammate,5,Corviknight,,,,,,,,,
Scovillain,76,teammate,6,Meowscarada,,,,,,,,,
Scovillain,76,teammate,7,Raichu,,,,,,,,,
Scovillain,76,teammate,8,Grimmsnarl,,,,,,,,,
Scovillain,76,teammate,9,Staraptor,,,,,,,,,
Scovillain,76,teammate,10,Glimmora,,,,,,,,,
Scovillain,76,stat_alignment,1,Bold,54.4%,Defense,Attack,,,,,,
Scovillain,76,stat_alignment,2,Modest,14.5%,Sp. Atk,Attack,,,,,,
Scovillain,76,stat_alignment,3,Calm,13.0%,Sp. Def,Attack,,,,,,
Scovillain,76,stat_alignment,4,Timid,9.8%,Speed,Attack,,,,,,
Scovillain,76,stat_alignment,5,Relaxed,2.1%,Defense,Speed,,,,,,
Scovillain,76,stat_alignment,6,Adamant,1.3%,Attack,Sp. Atk,,,,,,
Scovillain,76,stat_alignment,7,Quiet,0.9%,Sp. Atk,Speed,,,,,,
Scovillain,76,stat_alignment,8,Sassy,0.8%,Sp. Def,Speed,,,,,,
Scovillain,76,stat_alignment,9,Careful,0.6%,Sp. Def,Sp. Atk,,,,,,
Scovillain,76,stat_alignment,10,Mild,0.5%,Sp. Atk,Defense,,,,,,
Scovillain,76,stat_points,1,,24.0%,,,32,0,32,0,2,0
Scovillain,76,stat_points,2,,9.0%,,,32,0,32,2,0,0
Scovillain,76,stat_points,3,,5.0%,,,32,0,2,0,32,0
Scovillain,76,stat_points,4,,3.8%,,,32,0,32,0,0,2
Scovillain,76,stat_points,5,,3.4%,,,31,0,32,0,3,0
Scovillain,76,stat_points,6,,1.4%,,,32,0,0,32,0,2
Scovillain,76,stat_points,7,,1.4%,,,2,0,0,32,0,32
Scovillain,76,stat_points,8,,1.3%,,,32,0,32,0,0,0
Scovillain,76,stat_points,9,,1.3%,,,21,0,6,0,7,32
Scovillain,76,stat_points,10,,1.2%,,,32,0,2,32,0,0
Scovillain,76,ability,1,Moody,75.2%,,,,,,,,
Scovillain,76,ability,2,Insomnia,19.7%,,,,,,,,
Scovillain,76,ability,3,Chlorophyll,5.1%,,,,,,,,
